scenario,protocol,command,trial_id,session_setup_ms
default,ssh,ls,1,1481.687500
default,ssh,ls,2,717.637047
default,ssh,ls,3,768.205575
default,ssh,ls,4,715.661084
default,ssh,ls,5,759.608351
default,ssh,ls,6,701.801411
default,ssh,ls,7,729.912121
default,ssh,ls,8,720.628372
default,ssh,ls,9,755.354296
default,ssh,ls,10,698.000432
default,ssh,df -h,1,697.280844
default,ssh,df -h,2,711.211136
default,ssh,df -h,3,713.558872
default,ssh,df -h,4,809.254525
default,ssh,df -h,5,704.198378
default,ssh,df -h,6,706.526322
default,ssh,df -h,7,770.822608
default,ssh,df -h,8,747.574839
default,ssh,df -h,9,706.368301
default,ssh,df -h,10,684.723448
default,ssh,ps aux,1,947.600049
default,ssh,ps aux,2,944.207985
default,ssh,ps aux,3,711.727504
default,ssh,ps aux,4,673.745204
default,ssh,ps aux,5,687.579344
default,ssh,ps aux,6,684.955098
default,ssh,ps aux,7,711.207648
default,ssh,ps aux,8,682.212062
default,ssh,ps aux,9,725.892105
default,ssh,ps aux,10,721.891619
default,ssh,grep -rn root /etc/,1,744.896782
default,ssh,grep -rn root /etc/,2,703.968451
default,ssh,grep -rn root /etc/,3,695.611671
default,ssh,grep -rn root /etc/,4,1127.297516
default,ssh,grep -rn root /etc/,5,1359.392885
default,ssh,grep -rn root /etc/,6,1162.379183
default,ssh,grep -rn root /etc/,7,697.140082
default,ssh,grep -rn root /etc/,8,755.174162
default,ssh,grep -rn root /etc/,9,700.322161
default,ssh,grep -rn root /etc/,10,694.084522
default,ssh,cat /proc/meminfo,1,737.500207
default,ssh,cat /proc/meminfo,2,709.571851
default,ssh,cat /proc/meminfo,3,735.847770
default,ssh,cat /proc/meminfo,4,742.582279
default,ssh,cat /proc/meminfo,5,755.099516
default,ssh,cat /proc/meminfo,6,687.496529
default,ssh,cat /proc/meminfo,7,750.273836
default,ssh,cat /proc/meminfo,8,682.235053
default,ssh,cat /proc/meminfo,9,717.430120
default,ssh,cat /proc/meminfo,10,684.943679
default,ssh,find /usr -maxdepth 3,1,888.485355
default,ssh,find /usr -maxdepth 3,2,678.201540
default,ssh,find /usr -maxdepth 3,3,735.954031
default,ssh,find /usr -maxdepth 3,4,702.585689
default,ssh,find /usr -maxdepth 3,5,708.214804
default,ssh,find /usr -maxdepth 3,6,701.773969
default,ssh,find /usr -maxdepth 3,7,688.697203
default,ssh,find /usr -maxdepth 3,8,685.315131
default,ssh,find /usr -maxdepth 3,9,814.125609
default,ssh,find /usr -maxdepth 3,10,670.559678
default,ssh3,ls,1,227.034981
default,ssh3,ls,2,202.453129
default,ssh3,ls,3,209.655957
default,ssh3,ls,4,221.097119
default,ssh3,ls,5,234.806953
default,ssh3,ls,6,224.184904
default,ssh3,ls,7,226.621569
default,ssh3,ls,8,213.241913
default,ssh3,ls,9,239.588244
default,ssh3,ls,10,186.440873
default,ssh3,df -h,1,190.822661
default,ssh3,df -h,2,392.163534
default,ssh3,df -h,3,208.901528
default,ssh3,df -h,4,193.647411
default,ssh3,df -h,5,202.864961
default,ssh3,df -h,6,191.733291
default,ssh3,df -h,7,219.746033
default,ssh3,df -h,8,189.055489
default,ssh3,df -h,9,201.318798
default,ssh3,df -h,10,226.536557
default,ssh3,ps aux,1,194.562966
default,ssh3,ps aux,2,215.566744
default,ssh3,ps aux,3,382.659376
default,ssh3,ps aux,4,383.520336
default,ssh3,ps aux,5,187.517706
default,ssh3,ps aux,6,186.859816
default,ssh3,ps aux,7,187.362675
default,ssh3,ps aux,8,220.852500
default,ssh3,ps aux,9,183.449312
default,ssh3,ps aux,10,186.124336
default,ssh3,grep -rn root /etc/,1,262.258717
default,ssh3,grep -rn root /etc/,2,190.590866
default,ssh3,grep -rn root /etc/,3,264.760527
default,ssh3,grep -rn root /etc/,4,207.796712
default,ssh3,grep -rn root /etc/,5,188.467077
default,ssh3,grep -rn root /etc/,6,188.917345
default,ssh3,grep -rn root /etc/,7,193.069649
default,ssh3,grep -rn root /etc/,8,187.432496
default,ssh3,grep -rn root /etc/,9,185.390260
default,ssh3,grep -rn root /etc/,10,198.449719
default,ssh3,cat /proc/meminfo,1,184.751724
default,ssh3,cat /proc/meminfo,2,195.387118
default,ssh3,cat /proc/meminfo,3,226.121568
default,ssh3,cat /proc/meminfo,4,181.255143
default,ssh3,cat /proc/meminfo,5,475.254833
default,ssh3,cat /proc/meminfo,6,207.085538
default,ssh3,cat /proc/meminfo,7,203.575657
default,ssh3,cat /proc/meminfo,8,214.246944
default,ssh3,cat /proc/meminfo,9,188.565290
default,ssh3,cat /proc/meminfo,10,214.847879
default,ssh3,find /usr -maxdepth 3,1,194.220623
default,ssh3,find /usr -maxdepth 3,2,294.208470
default,ssh3,find /usr -maxdepth 3,3,182.400448
