scenario,protocol,workload,round_id,sample_id,command_id,command,latency_ms,status,warmup,error_type,error_message
default,mosh,command_loop,1,1,2,df -h,113.799913,ok,1,,
default,mosh,command_loop,1,2,2,df -h,109.572662,ok,1,,
default,mosh,command_loop,1,3,2,df -h,109.189978,ok,1,,
default,mosh,command_loop,1,4,2,df -h,109.669430,ok,0,,
default,mosh,command_loop,1,5,2,df -h,111.840041,ok,0,,
default,mosh,command_loop,1,6,2,df -h,111.460159,ok,0,,
default,mosh,command_loop,1,7,2,df -h,110.525154,ok,0,,
default,mosh,command_loop,1,8,2,df -h,110.158969,ok,0,,
default,mosh,command_loop,1,9,2,df -h,127.285918,ok,0,,
default,mosh,command_loop,1,10,2,df -h,106.954918,ok,0,,
default,mosh,command_loop,1,11,2,df -h,109.687401,ok,0,,
default,mosh,command_loop,1,12,2,df -h,109.693937,ok,0,,
default,mosh,command_loop,1,13,2,df -h,107.348437,ok,0,,
default,mosh,command_loop,1,14,2,df -h,109.445361,ok,0,,
default,mosh,command_loop,1,15,2,df -h,124.722249,ok,0,,
default,mosh,command_loop,1,16,2,df -h,111.442837,ok,0,,
default,mosh,command_loop,1,17,2,df -h,110.696534,ok,0,,
default,mosh,command_loop,1,18,2,df -h,108.881889,ok,0,,
default,mosh,command_loop,1,19,2,df -h,108.712146,ok,0,,
default,mosh,command_loop,1,20,2,df -h,124.547838,ok,0,,
default,mosh,command_loop,1,21,2,df -h,107.936403,ok,0,,
default,mosh,command_loop,1,22,2,df -h,109.276813,ok,0,,
default,mosh,command_loop,1,23,2,df -h,108.536370,ok,0,,
default,mosh,command_loop,1,24,2,df -h,110.255076,ok,0,,
default,mosh,command_loop,1,25,2,df -h,110.955345,ok,0,,
default,mosh,command_loop,1,26,2,df -h,113.228749,ok,0,,
default,mosh,command_loop,1,27,2,df -h,120.806136,ok,0,,
default,mosh,command_loop,1,28,2,df -h,107.746144,ok,0,,
default,mosh,command_loop,1,29,2,df -h,129.257095,ok,0,,
default,mosh,command_loop,1,30,2,df -h,109.391796,ok,0,,
default,mosh,command_loop,1,31,2,df -h,107.391335,ok,0,,
default,mosh,command_loop,1,32,2,df -h,126.421602,ok,0,,
default,mosh,command_loop,1,33,2,df -h,109.776319,ok,0,,
default,mosh,command_loop,1,34,2,df -h,122.578571,ok,0,,
default,mosh,command_loop,1,35,2,df -h,107.408984,ok,0,,
default,mosh,command_loop,1,36,2,df -h,110.768475,ok,0,,
default,mosh,command_loop,1,37,2,df -h,109.009293,ok,0,,
default,mosh,command_loop,1,38,2,df -h,114.172237,ok,0,,
default,mosh,command_loop,1,39,2,df -h,109.818945,ok,0,,
default,mosh,command_loop,1,40,2,df -h,109.214667,ok,0,,
default,mosh,command_loop,1,41,2,df -h,112.216415,ok,0,,
default,mosh,command_loop,1,42,2,df -h,111.242087,ok,0,,
default,mosh,command_loop,1,43,2,df -h,109.926432,ok,0,,
default,mosh,command_loop,1,44,2,df -h,108.230418,ok,0,,
default,mosh,command_loop,1,45,2,df -h,111.128454,ok,0,,
default,mosh,command_loop,1,46,2,df -h,107.627665,ok,0,,
default,mosh,command_loop,1,47,2,df -h,112.887571,ok,0,,
default,mosh,command_loop,1,48,2,df -h,108.789282,ok,0,,
default,mosh,command_loop,1,49,2,df -h,111.156962,ok,0,,
default,mosh,command_loop,1,50,2,df -h,109.969354,ok,0,,
default,mosh,command_loop,2,1,2,df -h,108.439266,ok,1,,
default,mosh,command_loop,2,2,2,df -h,111.033958,ok,1,,
default,mosh,command_loop,2,3,2,df -h,123.541155,ok,1,,
default,mosh,command_loop,2,4,2,df -h,107.407540,ok,0,,
default,mosh,command_loop,2,5,2,df -h,109.152805,ok,0,,
default,mosh,command_loop,2,6,2,df -h,110.265103,ok,0,,
default,mosh,command_loop,2,7,2,df -h,112.970309,ok,0,,
default,mosh,command_loop,2,8,2,df -h,115.085477,ok,0,,
default,mosh,command_loop,2,9,2,df -h,112.933285,ok,0,,
default,mosh,command_loop,2,10,2,df -h,109.217652,ok,0,,
default,mosh,command_loop,2,11,2,df -h,110.157767,ok,0,,
default,mosh,command_loop,2,12,2,df -h,127.309077,ok,0,,
default,mosh,command_loop,2,13,2,df -h,111.037889,ok,0,,
default,mosh,command_loop,2,14,2,df -h,109.719039,ok,0,,
default,mosh,command_loop,2,15,2,df -h,108.869463,ok,0,,
default,mosh,command_loop,2,16,2,df -h,108.617221,ok,0,,
default,mosh,command_loop,2,17,2,df -h,118.694188,ok,0,,
default,mosh,command_loop,2,18,2,df -h,110.014821,ok,0,,
default,mosh,command_loop,2,19,2,df -h,108.484489,ok,0,,
default,mosh,command_loop,2,20,2,df -h,108.802733,ok,0,,
default,mosh,command_loop,2,21,2,df -h,108.159529,ok,0,,
default,mosh,command_loop,2,22,2,df -h,109.292393,ok,0,,
default,mosh,command_loop,2,23,2,df -h,109.494942,ok,0,,
default,mosh,command_loop,2,24,2,df -h,112.387386,ok,0,,
default,mosh,command_loop,2,25,2,df -h,111.600891,ok,0,,
default,mosh,command_loop,2,26,2,df -h,113.418343,ok,0,,
default,mosh,command_loop,2,27,2,df -h,113.870710,ok,0,,
default,mosh,command_loop,2,28,2,df -h,108.942886,ok,0,,
default,mosh,command_loop,2,29,2,df -h,107.372206,ok,0,,
default,mosh,command_loop,2,30,2,df -h,111.952814,ok,0,,
default,mosh,command_loop,2,31,2,df -h,109.177232,ok,0,,
default,mosh,command_loop,2,32,2,df -h,108.996330,ok,0,,
default,mosh,command_loop,2,33,2,df -h,114.327021,ok,0,,
default,mosh,command_loop,2,34,2,df -h,111.424053,ok,0,,
default,mosh,command_loop,2,35,2,df -h,108.012916,ok,0,,
default,mosh,command_loop,2,36,2,df -h,111.456090,ok,0,,
default,mosh,command_loop,2,37,2,df -h,109.238084,ok,0,,
default,mosh,command_loop,2,38,2,df -h,109.978232,ok,0,,
default,mosh,command_loop,2,39,2,df -h,112.243723,ok,0,,
default,mosh,command_loop,2,40,2,df -h,110.417404,ok,0,,
default,mosh,command_loop,2,41,2,df -h,108.093550,ok,0,,
default,mosh,command_loop,2,42,2,df -h,108.893186,ok,0,,
default,mosh,command_loop,2,43,2,df -h,124.623713,ok,0,,
default,mosh,command_loop,2,44,2,df -h,107.744271,ok,0,,
default,mosh,command_loop,2,45,2,df -h,110.480023,ok,0,,
default,mosh,command_loop,2,46,2,df -h,108.403815,ok,0,,
default,mosh,command_loop,2,47,2,df -h,110.349385,ok,0,,
default,mosh,command_loop,2,48,2,df -h,126.714566,ok,0,,
default,mosh,command_loop,2,49,2,df -h,108.793202,ok,0,,
default,mosh,command_loop,2,50,2,df -h,126.153487,ok,0,,
default,mosh,command_loop,3,1,2,df -h,108.243020,ok,1,,
default,mosh,command_loop,3,2,2,df -h,108.870626,ok,1,,
default,mosh,command_loop,3,3,2,df -h,108.077079,ok,1,,
default,mosh,command_loop,3,4,2,df -h,108.079120,ok,0,,
default,mosh,command_loop,3,5,2,df -h,113.914462,ok,0,,
default,mosh,command_loop,3,6,2,df -h,111.435208,ok,0,,
default,mosh,command_loop,3,7,2,df -h,109.060582,ok,0,,
default,mosh,command_loop,3,8,2,df -h,109.953109,ok,0,,
default,mosh,command_loop,3,9,2,df -h,108.494160,ok,0,,
default,mosh,command_loop,3,10,2,df -h,109.264567,ok,0,,
default,mosh,command_loop,3,11,2,df -h,109.196372,ok,0,,
default,mosh,command_loop,3,12,2,df -h,109.435618,ok,0,,
default,mosh,command_loop,3,13,2,df -h,108.747042,ok,0,,
default,mosh,command_loop,3,14,2,df -h,112.011450,ok,0,,
default,mosh,command_loop,3,15,2,df -h,107.750507,ok,0,,
default,mosh,command_loop,3,16,2,df -h,114.207632,ok,0,,
default,mosh,command_loop,3,17,2,df -h,110.505710,ok,0,,
default,mosh,command_loop,3,18,2,df -h,110.196725,ok,0,,
default,mosh,command_loop,3,19,2,df -h,121.824631,ok,0,,
default,mosh,command_loop,3,20,2,df -h,109.796974,ok,0,,
default,mosh,command_loop,3,21,2,df -h,122.686102,ok,0,,
default,mosh,command_loop,3,22,2,df -h,108.249311,ok,0,,
default,mosh,command_loop,3,23,2,df -h,124.208882,ok,0,,
default,mosh,command_loop,3,24,2,df -h,115.239057,ok,0,,
default,mosh,command_loop,3,25,2,df -h,110.223453,ok,0,,
default,mosh,command_loop,3,26,2,df -h,109.913364,ok,0,,
default,mosh,command_loop,3,27,2,df -h,108.396868,ok,0,,
default,mosh,command_loop,3,28,2,df -h,108.653809,ok,0,,
default,mosh,command_loop,3,29,2,df -h,108.174375,ok,0,,
default,mosh,command_loop,3,30,2,df -h,108.429420,ok,0,,
default,mosh,command_loop,3,31,2,df -h,125.968475,ok,0,,
default,mosh,command_loop,3,32,2,df -h,109.755401,ok,0,,
default,mosh,command_loop,3,33,2,df -h,125.770704,ok,0,,
default,mosh,command_loop,3,34,2,df -h,108.673418,ok,0,,
default,mosh,command_loop,3,35,2,df -h,107.326703,ok,0,,
default,mosh,command_loop,3,36,2,df -h,108.375054,ok,0,,
default,mosh,command_loop,3,37,2,df -h,111.020808,ok,0,,
default,mosh,command_loop,3,38,2,df -h,108.726156,ok,0,,
default,mosh,command_loop,3,39,2,df -h,107.568441,ok,0,,
default,mosh,command_loop,3,40,2,df -h,108.323799,ok,0,,
default,mosh,command_loop,3,41,2,df -h,126.094462,ok,0,,
default,mosh,command_loop,3,42,2,df -h,108.613520,ok,0,,
default,mosh,command_loop,3,43,2,df -h,106.370360,ok,0,,
default,mosh,command_loop,3,44,2,df -h,205.008494,ok,0,,
default,mosh,command_loop,3,45,2,df -h,224.037604,ok,0,,
default,mosh,command_loop,3,46,2,df -h,172.345317,ok,0,,
default,mosh,command_loop,3,47,2,df -h,159.381994,ok,0,,
default,mosh,command_loop,3,48,2,df -h,201.086251,ok,0,,
default,mosh,command_loop,3,49,2,df -h,175.423056,ok,0,,
default,mosh,command_loop,3,50,2,df -h,112.136656,ok,0,,
