scenario,protocol,command,trial_id,session_setup_ms
default,ssh,ls,1,815.719879
default,ssh,ls,2,788.675829
default,ssh,ls,3,810.915547
default,ssh,ls,4,789.206144
default,ssh,ls,5,807.546779
default,ssh,ls,6,846.906250
default,ssh,ls,7,889.532147
default,ssh,ls,8,824.924404
default,ssh,ls,9,801.228050
default,ssh,ls,10,817.140041
default,ssh,df -h,1,870.590280
default,ssh,df -h,2,821.794080
default,ssh,df -h,3,820.578497
default,ssh,df -h,4,820.013504
default,ssh,df -h,5,891.805133
default,ssh,df -h,6,760.214332
default,ssh,df -h,7,791.085312
default,ssh,df -h,8,966.923692
default,ssh,df -h,9,812.256231
default,ssh,df -h,10,807.543675
default,ssh,ps aux,1,778.805865
default,ssh,ps aux,2,806.426317
default,ssh,ps aux,3,797.865929
default,ssh,ps aux,4,789.064657
default,ssh,ps aux,5,2552.725113
default,ssh,ps aux,6,808.726175
default,ssh,ps aux,7,1111.222839
default,ssh,ps aux,8,780.329790
default,ssh,ps aux,9,762.153551
default,ssh,ps aux,10,774.351102
default,ssh,grep -n root /etc/passwd,1,866.070782
default,ssh,grep -n root /etc/passwd,2,818.714315
default,ssh,grep -n root /etc/passwd,3,823.525491
default,ssh,grep -n root /etc/passwd,4,852.519398
default,ssh,grep -n root /etc/passwd,5,792.161429
default,ssh,grep -n root /etc/passwd,6,784.324518
default,ssh,grep -n root /etc/passwd,7,823.440710
default,ssh,grep -n root /etc/passwd,8,870.326910
default,ssh,grep -n root /etc/passwd,9,904.160555
default,ssh,grep -n root /etc/passwd,10,879.336313
default,ssh,cat /proc/meminfo,1,823.174649
default,ssh,cat /proc/meminfo,2,785.384549
default,ssh,cat /proc/meminfo,3,796.438090
default,ssh,cat /proc/meminfo,4,1075.251492
default,ssh,cat /proc/meminfo,5,793.945097
default,ssh,cat /proc/meminfo,6,780.882239
default,ssh,cat /proc/meminfo,7,848.393013
default,ssh,cat /proc/meminfo,8,810.312619
default,ssh,cat /proc/meminfo,9,784.413369
default,ssh,cat /proc/meminfo,10,1630.240590
default,ssh,find /usr -maxdepth 3,1,792.048956
default,ssh,find /usr -maxdepth 3,2,829.856349
default,ssh,find /usr -maxdepth 3,3,853.388128
default,ssh,find /usr -maxdepth 3,4,793.123287
default,ssh,find /usr -maxdepth 3,5,825.220140
default,ssh,find /usr -maxdepth 3,6,799.055023
