scenario,protocol,workload,round_id,sample_id,command_id,command,latency_ms,status,warmup,error_type,error_message
high,mosh,command_loop,1,1,2,df -h,257.349871,ok,1,,
high,mosh,command_loop,1,2,2,df -h,273.848639,ok,1,,
high,mosh,command_loop,1,3,2,df -h,242.814829,ok,1,,
high,mosh,command_loop,1,4,2,df -h,270.851286,ok,0,,
high,mosh,command_loop,1,5,2,df -h,286.054327,ok,0,,
high,mosh,command_loop,1,6,2,df -h,246.717911,ok,0,,
high,mosh,command_loop,1,7,2,df -h,242.470790,ok,0,,
high,mosh,command_loop,1,8,2,df -h,255.377137,ok,0,,
high,mosh,command_loop,1,9,2,df -h,284.938383,ok,0,,
high,mosh,command_loop,1,10,2,df -h,258.834303,ok,0,,
high,mosh,command_loop,1,11,2,df -h,252.723717,ok,0,,
high,mosh,command_loop,1,12,2,df -h,289.509228,ok,0,,
high,mosh,command_loop,1,13,2,df -h,266.052760,ok,0,,
high,mosh,command_loop,1,14,2,df -h,222.800497,ok,0,,
high,mosh,command_loop,1,15,2,df -h,247.881499,ok,0,,
high,mosh,command_loop,1,16,2,df -h,237.134274,ok,0,,
high,mosh,command_loop,1,17,2,df -h,295.425555,ok,0,,
high,mosh,command_loop,1,18,2,df -h,291.783377,ok,0,,
high,mosh,command_loop,1,19,2,df -h,227.080576,ok,0,,
high,mosh,command_loop,1,20,2,df -h,264.634727,ok,0,,
high,mosh,command_loop,1,21,2,df -h,226.704670,ok,0,,
high,mosh,command_loop,1,22,2,df -h,307.497414,ok,0,,
high,mosh,command_loop,1,23,2,df -h,294.830447,ok,0,,
high,mosh,command_loop,1,24,2,df -h,301.279083,ok,0,,
high,mosh,command_loop,1,25,2,df -h,246.349311,ok,0,,
high,mosh,command_loop,1,26,2,df -h,263.551390,ok,0,,
high,mosh,command_loop,1,27,2,df -h,276.711240,ok,0,,
high,mosh,command_loop,1,28,2,df -h,402.367876,ok,0,,
high,mosh,command_loop,1,29,2,df -h,246.289467,ok,0,,
high,mosh,command_loop,1,30,2,df -h,420.653563,ok,0,,
high,mosh,command_loop,1,31,2,df -h,256.063481,ok,0,,
high,mosh,command_loop,1,32,2,df -h,276.661647,ok,0,,
high,mosh,command_loop,1,33,2,df -h,266.316663,ok,0,,
high,mosh,command_loop,1,34,2,df -h,258.822769,ok,0,,
high,mosh,command_loop,1,35,2,df -h,263.800844,ok,0,,
high,mosh,command_loop,1,36,2,df -h,440.569032,ok,0,,
high,mosh,command_loop,1,37,2,df -h,259.166364,ok,0,,
high,mosh,command_loop,1,38,2,df -h,280.397749,ok,0,,
high,mosh,command_loop,1,39,2,df -h,263.264680,ok,0,,
high,mosh,command_loop,1,40,2,df -h,257.562355,ok,0,,
high,mosh,command_loop,1,41,2,df -h,268.672905,ok,0,,
high,mosh,command_loop,1,42,2,df -h,264.561993,ok,0,,
high,mosh,command_loop,1,43,2,df -h,214.024819,ok,0,,
high,mosh,command_loop,1,44,2,df -h,251.447815,ok,0,,
high,mosh,command_loop,1,45,2,df -h,289.211177,ok,0,,
high,mosh,command_loop,1,46,2,df -h,252.254900,ok,0,,
high,mosh,command_loop,1,47,2,df -h,280.819673,ok,0,,
high,mosh,command_loop,1,48,2,df -h,246.932957,ok,0,,
high,mosh,command_loop,1,49,2,df -h,245.734581,ok,0,,
high,mosh,command_loop,1,50,2,df -h,247.435790,ok,0,,
high,mosh,command_loop,2,1,2,df -h,283.052816,ok,1,,
high,mosh,command_loop,2,2,2,df -h,289.293601,ok,1,,
high,mosh,command_loop,2,3,2,df -h,218.594200,ok,1,,
high,mosh,command_loop,2,4,2,df -h,269.226316,ok,0,,
high,mosh,command_loop,2,5,2,df -h,269.655907,ok,0,,
high,mosh,command_loop,2,6,2,df -h,251.668574,ok,0,,
high,mosh,command_loop,2,7,2,df -h,263.684342,ok,0,,
high,mosh,command_loop,2,8,2,df -h,228.452503,ok,0,,
high,mosh,command_loop,2,9,2,df -h,314.378668,ok,0,,
high,mosh,command_loop,2,10,2,df -h,298.242270,ok,0,,
high,mosh,command_loop,2,11,2,df -h,281.345073,ok,0,,
high,mosh,command_loop,2,12,2,df -h,259.929325,ok,0,,
high,mosh,command_loop,2,13,2,df -h,246.482567,ok,0,,
high,mosh,command_loop,2,14,2,df -h,284.573983,ok,0,,
high,mosh,command_loop,2,15,2,df -h,216.298686,ok,0,,
high,mosh,command_loop,2,16,2,df -h,253.795364,ok,0,,
high,mosh,command_loop,2,17,2,df -h,289.212847,ok,0,,
high,mosh,command_loop,2,18,2,df -h,236.029806,ok,0,,
high,mosh,command_loop,2,19,2,df -h,223.028732,ok,0,,
high,mosh,command_loop,2,20,2,df -h,329.507693,ok,0,,
high,mosh,command_loop,2,21,2,df -h,223.424748,ok,0,,
high,mosh,command_loop,2,22,2,df -h,290.986767,ok,0,,
high,mosh,command_loop,2,23,2,df -h,273.797667,ok,0,,
high,mosh,command_loop,2,24,2,df -h,278.937692,ok,0,,
high,mosh,command_loop,2,25,2,df -h,679.620248,ok,0,,
high,mosh,command_loop,2,26,2,df -h,244.256062,ok,0,,
high,mosh,command_loop,2,27,2,df -h,273.813427,ok,0,,
high,mosh,command_loop,2,28,2,df -h,231.527528,ok,0,,
high,mosh,command_loop,2,29,2,df -h,223.629137,ok,0,,
high,mosh,command_loop,2,30,2,df -h,395.206330,ok,0,,
high,mosh,command_loop,2,31,2,df -h,277.484012,ok,0,,
high,mosh,command_loop,2,32,2,df -h,272.419977,ok,0,,
high,mosh,command_loop,2,33,2,df -h,258.882937,ok,0,,
high,mosh,command_loop,2,34,2,df -h,208.128710,ok,0,,
high,mosh,command_loop,2,35,2,df -h,305.505371,ok,0,,
high,mosh,command_loop,2,36,2,df -h,275.223183,ok,0,,
high,mosh,command_loop,2,37,2,df -h,248.389627,ok,0,,
high,mosh,command_loop,2,38,2,df -h,300.759852,ok,0,,
high,mosh,command_loop,2,39,2,df -h,275.637008,ok,0,,
high,mosh,command_loop,2,40,2,df -h,243.285396,ok,0,,
high,mosh,command_loop,2,41,2,df -h,282.433881,ok,0,,
high,mosh,command_loop,2,42,2,df -h,266.610541,ok,0,,
high,mosh,command_loop,2,43,2,df -h,251.204736,ok,0,,
high,mosh,command_loop,2,44,2,df -h,279.725835,ok,0,,
high,mosh,command_loop,2,45,2,df -h,208.754271,ok,0,,
high,mosh,command_loop,2,46,2,df -h,313.749768,ok,0,,
high,mosh,command_loop,2,47,2,df -h,245.796992,ok,0,,
high,mosh,command_loop,2,48,2,df -h,436.494325,ok,0,,
high,mosh,command_loop,2,49,2,df -h,223.154456,ok,0,,
high,mosh,command_loop,2,50,2,df -h,278.694057,ok,0,,
high,mosh,command_loop,3,1,2,df -h,234.328030,ok,1,,
high,mosh,command_loop,3,2,2,df -h,307.343456,ok,1,,
high,mosh,command_loop,3,3,2,df -h,286.773604,ok,1,,
high,mosh,command_loop,3,4,2,df -h,263.505016,ok,0,,
high,mosh,command_loop,3,5,2,df -h,256.861460,ok,0,,
high,mosh,command_loop,3,6,2,df -h,316.241048,ok,0,,
high,mosh,command_loop,3,7,2,df -h,259.142584,ok,0,,
high,mosh,command_loop,3,8,2,df -h,251.944339,ok,0,,
high,mosh,command_loop,3,9,2,df -h,297.152494,ok,0,,
high,mosh,command_loop,3,10,2,df -h,247.622407,ok,0,,
high,mosh,command_loop,3,11,2,df -h,252.435152,ok,0,,
high,mosh,command_loop,3,12,2,df -h,269.176118,ok,0,,
high,mosh,command_loop,3,13,2,df -h,227.170777,ok,0,,
high,mosh,command_loop,3,14,2,df -h,265.230177,ok,0,,
high,mosh,command_loop,3,15,2,df -h,235.579147,ok,0,,
high,mosh,command_loop,3,16,2,df -h,232.882299,ok,0,,
high,mosh,command_loop,3,17,2,df -h,298.751990,ok,0,,
high,mosh,command_loop,3,18,2,df -h,294.284224,ok,0,,
high,mosh,command_loop,3,19,2,df -h,244.391559,ok,0,,
high,mosh,command_loop,3,20,2,df -h,296.615544,ok,0,,
high,mosh,command_loop,3,21,2,df -h,269.531622,ok,0,,
high,mosh,command_loop,3,22,2,df -h,245.569779,ok,0,,
high,mosh,command_loop,3,23,2,df -h,245.264391,ok,0,,
high,mosh,command_loop,3,24,2,df -h,270.513078,ok,0,,
high,mosh,command_loop,3,25,2,df -h,251.752925,ok,0,,
high,mosh,command_loop,3,26,2,df -h,265.970776,ok,0,,
high,mosh,command_loop,3,27,2,df -h,288.653395,ok,0,,
high,mosh,command_loop,3,28,2,df -h,264.769362,ok,0,,
high,mosh,command_loop,3,29,2,df -h,257.819514,ok,0,,
high,mosh,command_loop,3,30,2,df -h,259.677794,ok,0,,
high,mosh,command_loop,3,31,2,df -h,240.840735,ok,0,,
high,mosh,command_loop,3,32,2,df -h,247.281161,ok,0,,
high,mosh,command_loop,3,33,2,df -h,262.567884,ok,0,,
high,mosh,command_loop,3,34,2,df -h,272.560022,ok,0,,
high,mosh,command_loop,3,35,2,df -h,243.586373,ok,0,,
high,mosh,command_loop,3,36,2,df -h,266.305158,ok,0,,
high,mosh,command_loop,3,37,2,df -h,281.107559,ok,0,,
high,mosh,command_loop,3,38,2,df -h,239.436038,ok,0,,
high,mosh,command_loop,3,39,2,df -h,251.420089,ok,0,,
high,mosh,command_loop,3,40,2,df -h,276.222245,ok,0,,
high,mosh,command_loop,3,41,2,df -h,268.563532,ok,0,,
high,mosh,command_loop,3,42,2,df -h,439.470459,ok,0,,
high,mosh,command_loop,3,43,2,df -h,253.378039,ok,0,,
high,mosh,command_loop,3,44,2,df -h,292.886093,ok,0,,
high,mosh,command_loop,3,45,2,df -h,239.206455,ok,0,,
high,mosh,command_loop,3,46,2,df -h,263.466334,ok,0,,
high,mosh,command_loop,3,47,2,df -h,258.293590,ok,0,,
high,mosh,command_loop,3,48,2,df -h,227.000394,ok,0,,
high,mosh,command_loop,3,49,2,df -h,292.177716,ok,0,,
high,mosh,command_loop,3,50,2,df -h,236.907116,ok,0,,
high,mosh,command_loop,4,1,2,df -h,247.857416,ok,1,,
high,mosh,command_loop,4,2,2,df -h,283.770166,ok,1,,
high,mosh,command_loop,4,3,2,df -h,245.471794,ok,1,,
high,mosh,command_loop,4,4,2,df -h,282.717937,ok,0,,
high,mosh,command_loop,4,5,2,df -h,260.955842,ok,0,,
high,mosh,command_loop,4,6,2,df -h,263.366993,ok,0,,
high,mosh,command_loop,4,7,2,df -h,255.984876,ok,0,,
high,mosh,command_loop,4,8,2,df -h,299.758131,ok,0,,
high,mosh,command_loop,4,9,2,df -h,242.789241,ok,0,,
high,mosh,command_loop,4,10,2,df -h,286.375688,ok,0,,
high,mosh,command_loop,4,11,2,df -h,249.411628,ok,0,,
high,mosh,command_loop,4,12,2,df -h,249.377909,ok,0,,
high,mosh,command_loop,4,13,2,df -h,287.075278,ok,0,,
high,mosh,command_loop,4,14,2,df -h,230.289070,ok,0,,
high,mosh,command_loop,4,15,2,df -h,260.668793,ok,0,,
high,mosh,command_loop,4,16,2,df -h,323.030577,ok,0,,
high,mosh,command_loop,4,17,2,df -h,216.137627,ok,0,,
high,mosh,command_loop,4,18,2,df -h,273.816500,ok,0,,
high,mosh,command_loop,4,19,2,df -h,267.339409,ok,0,,
high,mosh,command_loop,4,20,2,df -h,257.850046,ok,0,,
high,mosh,command_loop,4,21,2,df -h,267.977960,ok,0,,
high,mosh,command_loop,4,22,2,df -h,275.283003,ok,0,,
high,mosh,command_loop,4,23,2,df -h,265.041300,ok,0,,
high,mosh,command_loop,4,24,2,df -h,273.031924,ok,0,,
high,mosh,command_loop,4,25,2,df -h,263.160920,ok,0,,
high,mosh,command_loop,4,26,2,df -h,314.325443,ok,0,,
high,mosh,command_loop,4,27,2,df -h,292.456913,ok,0,,
high,mosh,command_loop,4,28,2,df -h,284.834326,ok,0,,
high,mosh,command_loop,4,29,2,df -h,257.347990,ok,0,,
high,mosh,command_loop,4,30,2,df -h,389.228112,ok,0,,
high,mosh,command_loop,4,31,2,df -h,296.860516,ok,0,,
high,mosh,command_loop,4,32,2,df -h,293.191266,ok,0,,
high,mosh,command_loop,4,33,2,df -h,235.390581,ok,0,,
high,mosh,command_loop,4,34,2,df -h,290.163561,ok,0,,
high,mosh,command_loop,4,35,2,df -h,437.596205,ok,0,,
high,mosh,command_loop,4,36,2,df -h,291.499973,ok,0,,
high,mosh,command_loop,4,37,2,df -h,235.922525,ok,0,,
high,mosh,command_loop,4,38,2,df -h,284.967287,ok,0,,
high,mosh,command_loop,4,39,2,df -h,213.175853,ok,0,,
high,mosh,command_loop,4,40,2,df -h,301.856846,ok,0,,
high,mosh,command_loop,4,41,2,df -h,274.417484,ok,0,,
high,mosh,command_loop,4,42,2,df -h,238.189933,ok,0,,
high,mosh,command_loop,4,43,2,df -h,277.136612,ok,0,,
high,mosh,command_loop,4,44,2,df -h,299.205689,ok,0,,
high,mosh,command_loop,4,45,2,df -h,257.980573,ok,0,,
high,mosh,command_loop,4,46,2,df -h,282.234117,ok,0,,
high,mosh,command_loop,4,47,2,df -h,239.046145,ok,0,,
high,mosh,command_loop,4,48,2,df -h,274.997473,ok,0,,
high,mosh,command_loop,4,49,2,df -h,262.660579,ok,0,,
high,mosh,command_loop,4,50,2,df -h,273.860643,ok,0,,
high,mosh,command_loop,5,1,2,df -h,280.586380,ok,1,,
high,mosh,command_loop,5,2,2,df -h,278.101433,ok,1,,
high,mosh,command_loop,5,3,2,df -h,268.924438,ok,1,,
high,mosh,command_loop,5,4,2,df -h,278.006207,ok,0,,
high,mosh,command_loop,5,5,2,df -h,280.743042,ok,0,,
high,mosh,command_loop,5,6,2,df -h,268.653098,ok,0,,
high,mosh,command_loop,5,7,2,df -h,398.013349,ok,0,,
high,mosh,command_loop,5,8,2,df -h,292.362122,ok,0,,
high,mosh,command_loop,5,9,2,df -h,244.901649,ok,0,,
high,mosh,command_loop,5,10,2,df -h,245.334566,ok,0,,
high,mosh,command_loop,5,11,2,df -h,253.641508,ok,0,,
high,mosh,command_loop,5,12,2,df -h,253.259566,ok,0,,
high,mosh,command_loop,5,13,2,df -h,288.738972,ok,0,,
high,mosh,command_loop,5,14,2,df -h,359.726127,ok,0,,
high,mosh,command_loop,5,15,2,df -h,251.292830,ok,0,,
high,mosh,command_loop,5,16,2,df -h,281.974203,ok,0,,
high,mosh,command_loop,5,17,2,df -h,307.184049,ok,0,,
high,mosh,command_loop,5,18,2,df -h,253.642220,ok,0,,
high,mosh,command_loop,5,19,2,df -h,260.482370,ok,0,,
high,mosh,command_loop,5,20,2,df -h,278.938385,ok,0,,
high,mosh,command_loop,5,21,2,df -h,258.799387,ok,0,,
high,mosh,command_loop,5,22,2,df -h,400.436592,ok,0,,
high,mosh,command_loop,5,23,2,df -h,297.650786,ok,0,,
high,mosh,command_loop,5,24,2,df -h,272.771522,ok,0,,
high,mosh,command_loop,5,25,2,df -h,215.544540,ok,0,,
high,mosh,command_loop,5,26,2,df -h,297.483264,ok,0,,
high,mosh,command_loop,5,27,2,df -h,277.264353,ok,0,,
high,mosh,command_loop,5,28,2,df -h,272.749738,ok,0,,
high,mosh,command_loop,5,29,2,df -h,232.062931,ok,0,,
high,mosh,command_loop,5,30,2,df -h,772.632166,ok,0,,
high,mosh,command_loop,5,31,2,df -h,311.085391,ok,0,,
