scenario,command,protocol,n,mean,std,ci95_half_width,source_file
default,ls,ssh,470,119.29382335106384,20.752546796822283,1.8761974624825462,/home/twan/NETWORK/COMPARE_MOSH_SSH_SSH3/w3/SSH-SCRIPT/w1-da-chinh-sua/w1_results/default/w1_line_log.csv
default,ls,ssh3,470,105.55535071276596,28.498312634001135,2.5764771125409305,/home/twan/NETWORK/COMPARE_MOSH_SSH_SSH3/w3/SSH-SCRIPT/w1-da-chinh-sua/w1_results/default/w1_line_log.csv
default,ls,mosh,470,118.10983769148936,18.176485160980924,1.6433007317013257,/home/twan/NETWORK/COMPARE_MOSH_SSH_SSH3/w3/SSH-SCRIPT/w1-da-chinh-sua/w1_results/default/w1_line_log.csv
default,df -h,ssh,470,116.52331869787234,19.657163614183677,1.7771659957506025,/home/twan/NETWORK/COMPARE_MOSH_SSH_SSH3/w3/SSH-SCRIPT/w1-da-chinh-sua/w1_results/default/w1_line_log.csv
default,df -h,ssh3,470,105.49242241914894,15.110966469477647,1.3661531388539767,/home/twan/NETWORK/COMPARE_MOSH_SSH_SSH3/w3/SSH-SCRIPT/w1-da-chinh-sua/w1_results/default/w1_line_log.csv
default,df -h,mosh,470,117.06898893404255,14.967844640572183,1.3532137721898614,/home/twan/NETWORK/COMPARE_MOSH_SSH_SSH3/w3/SSH-SCRIPT/w1-da-chinh-sua/w1_results/default/w1_line_log.csv
default,grep -n root /etc/passwd,ssh,470,116.59197445106383,16.26358817228897,1.4703594290596709,/home/twan/NETWORK/COMPARE_MOSH_SSH_SSH3/w3/SSH-SCRIPT/w1-da-chinh-sua/w1_results/default/w1_line_log.csv
default,grep -n root /etc/passwd,ssh3,470,109.98669870851064,60.63990754961727,5.482336302317815,/home/twan/NETWORK/COMPARE_MOSH_SSH_SSH3/w3/SSH-SCRIPT/w1-da-chinh-sua/w1_results/default/w1_line_log.csv
default,grep -n root /etc/passwd,mosh,470,132.16474222340426,116.77671215186038,10.557555810447518,/home/twan/NETWORK/COMPARE_MOSH_SSH_SSH3/w3/SSH-SCRIPT/w1-da-chinh-sua/w1_results/default/w1_line_log.csv
default,git status,ssh,1000,20.027304192,1.289062368366006,0.07989691334893223,/home/twan/NETWORK/COMPARE_MOSH_SSH_SSH3/w3/SSH-SCRIPT/w1-da-chinh-sua/w1_results/default/w1_line_log.csv
default,git status,ssh3,1000,5.164531775,1.999891465916355,0.12395455726640214,/home/twan/NETWORK/COMPARE_MOSH_SSH_SSH3/w3/SSH-SCRIPT/w1-da-chinh-sua/w1_results/default/w1_line_log.csv
default,git status,mosh,910,20.506269071428573,3.9607107929566774,0.2573407172185335,/home/twan/NETWORK/COMPARE_MOSH_SSH_SSH3/w3/SSH-SCRIPT/w1-da-chinh-sua/w1_results/default/w1_line_log.csv
low,ls,ssh,470,78.68694323617021,2.331389987215959,0.21077644208669297,/home/twan/NETWORK/COMPARE_MOSH_SSH_SSH3/w3/SSH-SCRIPT/w1-da-chinh-sua/w1_results/low/w1_line_log.csv
low,ls,ssh3,470,71.2417251787234,0.2997218822476155,0.027097273430053224,/home/twan/NETWORK/COMPARE_MOSH_SSH_SSH3/w3/SSH-SCRIPT/w1-da-chinh-sua/w1_results/low/w1_line_log.csv
low,ls,mosh,470,80.51092631276596,0.548219354904724,0.04956344744701697,/home/twan/NETWORK/COMPARE_MOSH_SSH_SSH3/w3/SSH-SCRIPT/w1-da-chinh-sua/w1_results/low/w1_line_log.csv
low,df -h,ssh,470,77.93569043617022,2.8072841063765446,0.2538011053977126,/home/twan/NETWORK/COMPARE_MOSH_SSH_SSH3/w3/SSH-SCRIPT/w1-da-chinh-sua/w1_results/low/w1_line_log.csv
low,df -h,ssh3,470,71.24599999574468,0.39338865872312967,0.03556550482655774,/home/twan/NETWORK/COMPARE_MOSH_SSH_SSH3/w3/SSH-SCRIPT/w1-da-chinh-sua/w1_results/low/w1_line_log.csv
low,df -h,mosh,470,80.61800229148936,0.6063460712162939,0.05481857100914812,/home/twan/NETWORK/COMPARE_MOSH_SSH_SSH3/w3/SSH-SCRIPT/w1-da-chinh-sua/w1_results/low/w1_line_log.csv
low,grep -n root /etc/passwd,ssh,470,78.08094597021277,2.131080992073547,0.19266689475845042,/home/twan/NETWORK/COMPARE_MOSH_SSH_SSH3/w3/SSH-SCRIPT/w1-da-chinh-sua/w1_results/low/w1_line_log.csv
low,grep -n root /etc/passwd,ssh3,470,71.28890083404255,0.31917753577179264,0.028856221289820985,/home/twan/NETWORK/COMPARE_MOSH_SSH_SSH3/w3/SSH-SCRIPT/w1-da-chinh-sua/w1_results/low/w1_line_log.csv
