scenario,protocol,command,trial_id,session_setup_ms
low,ssh,ls,1,681.410061
low,ssh,ls,2,422.789923
low,ssh,ls,3,444.471145
low,ssh,ls,4,406.027891
low,ssh,ls,5,421.459048
low,ssh,ls,6,447.449141
low,ssh,ls,7,424.970263
low,ssh,ls,8,428.534822
low,ssh,ls,9,426.444704
low,ssh,ls,10,418.992957
low,ssh,df -h,1,443.562040
low,ssh,df -h,2,424.095492
low,ssh,df -h,3,420.830060
low,ssh,df -h,4,425.423048
low,ssh,df -h,5,414.229111
low,ssh,df -h,6,427.558364
low,ssh,df -h,7,450.317202
low,ssh,df -h,8,445.708277
low,ssh,df -h,9,423.386036
low,ssh,df -h,10,461.240134
low,ssh,ps aux,1,696.682865
low,ssh,ps aux,2,419.976717
low,ssh,ps aux,3,421.727480
low,ssh,ps aux,4,447.810189
low,ssh,ps aux,5,434.496529
low,ssh,ps aux,6,419.281949
low,ssh,ps aux,7,438.847541
low,ssh,ps aux,8,418.341359
low,ssh,ps aux,9,444.732205
low,ssh,ps aux,10,456.052714
low,ssh,grep -n root /etc/passwd,1,437.675845
low,ssh,grep -n root /etc/passwd,2,433.450034
low,ssh,grep -n root /etc/passwd,3,460.252782
low,ssh,grep -n root /etc/passwd,4,451.597584
low,ssh,grep -n root /etc/passwd,5,462.074841
low,ssh,grep -n root /etc/passwd,6,422.594406
low,ssh,grep -n root /etc/passwd,7,425.697705
low,ssh,grep -n root /etc/passwd,8,431.872262
low,ssh,grep -n root /etc/passwd,9,434.489766
low,ssh,grep -n root /etc/passwd,10,434.832208
low,ssh,cat /proc/meminfo,1,428.370302
low,ssh,cat /proc/meminfo,2,419.444291
low,ssh,cat /proc/meminfo,3,427.160241
low,ssh,cat /proc/meminfo,4,506.476794
low,ssh,cat /proc/meminfo,5,450.448691
low,ssh,cat /proc/meminfo,6,421.843057
low,ssh,cat /proc/meminfo,7,422.557578
low,ssh,cat /proc/meminfo,8,437.896153
low,ssh,cat /proc/meminfo,9,440.567679
low,ssh,cat /proc/meminfo,10,418.339736
low,ssh,find /usr -maxdepth 3,1,648.308985
low,ssh,find /usr -maxdepth 3,2,472.693323
low,ssh,find /usr -maxdepth 3,3,421.465300
low,ssh,find /usr -maxdepth 3,4,458.498383
low,ssh,find /usr -maxdepth 3,5,426.374109
low,ssh,find /usr -maxdepth 3,6,421.088782
low,ssh,find /usr -maxdepth 3,7,439.119232
low,ssh,find /usr -maxdepth 3,8,432.869626
low,ssh,find /usr -maxdepth 3,9,460.705527
low,ssh,find /usr -maxdepth 3,10,432.448439
low,ssh3,ls,1,117.264026
low,ssh3,ls,2,116.849825
low,ssh3,ls,3,119.170837
low,ssh3,ls,4,127.579177
low,ssh3,ls,5,112.398544
low,ssh3,ls,6,117.318987
low,ssh3,ls,7,118.095532
low,ssh3,ls,8,137.365355
low,ssh3,ls,9,121.932006
low,ssh3,ls,10,115.568260
low,ssh3,df -h,1,115.944202
low,ssh3,df -h,2,141.385460
low,ssh3,df -h,3,116.295937
low,ssh3,df -h,4,110.225696
low,ssh3,df -h,5,123.321843
low,ssh3,df -h,6,139.936139
low,ssh3,df -h,7,116.063458
low,ssh3,df -h,8,117.359953
low,ssh3,df -h,9,118.394257
