scenario,protocol,workload,round_id,sample_id,command_id,command,latency_ms,received_pct,status,warmup,error_type,error_message
low,mosh,command_loop,1,1,2,df -h,50.319500,2.68,ok,1,,
low,mosh,command_loop,1,2,2,df -h,50.426446,100.00,ok,1,,
low,mosh,command_loop,1,3,2,df -h,50.318033,100.00,ok,1,,
low,mosh,command_loop,1,4,2,df -h,50.423898,0.56,ok,0,,
low,mosh,command_loop,1,5,2,df -h,50.103356,100.00,ok,0,,
low,mosh,command_loop,1,6,2,df -h,50.341888,2.68,ok,0,,
low,mosh,command_loop,1,7,2,df -h,50.404909,100.00,ok,0,,
low,mosh,command_loop,1,8,2,df -h,50.364953,100.00,ok,0,,
low,mosh,command_loop,1,9,2,df -h,50.496618,0.56,ok,0,,
low,mosh,command_loop,1,10,2,df -h,50.180227,100.00,ok,0,,
low,mosh,command_loop,1,11,2,df -h,50.442657,2.68,ok,0,,
low,mosh,command_loop,1,12,2,df -h,50.328980,100.00,ok,0,,
low,mosh,command_loop,1,13,2,df -h,50.344664,100.00,ok,0,,
low,mosh,command_loop,1,14,2,df -h,50.367814,0.56,ok,0,,
low,mosh,command_loop,1,15,2,df -h,50.137143,100.00,ok,0,,
low,mosh,command_loop,1,16,2,df -h,50.316153,2.68,ok,0,,
low,mosh,command_loop,1,17,2,df -h,50.325406,100.00,ok,0,,
low,mosh,command_loop,1,18,2,df -h,50.328370,100.00,ok,0,,
low,mosh,command_loop,1,19,2,df -h,50.418397,0.56,ok,0,,
low,mosh,command_loop,1,20,2,df -h,50.124846,100.00,ok,0,,
low,mosh,command_loop,1,21,2,df -h,50.476061,2.68,ok,0,,
low,mosh,command_loop,1,22,2,df -h,50.327898,100.00,ok,0,,
low,mosh,command_loop,1,23,2,df -h,50.364207,100.00,ok,0,,
low,mosh,command_loop,1,24,2,df -h,50.367764,0.56,ok,0,,
low,mosh,command_loop,1,25,2,df -h,50.136296,100.00,ok,0,,
low,mosh,command_loop,1,26,2,df -h,50.308778,2.68,ok,0,,
low,mosh,command_loop,1,27,2,df -h,50.390548,100.00,ok,0,,
low,mosh,command_loop,1,28,2,df -h,50.290742,100.00,ok,0,,
low,mosh,command_loop,1,29,2,df -h,50.329085,0.56,ok,0,,
low,mosh,command_loop,1,30,2,df -h,50.129568,100.00,ok,0,,
low,mosh,command_loop,1,31,2,df -h,50.292612,2.68,ok,0,,
low,mosh,command_loop,1,32,2,df -h,50.330570,100.00,ok,0,,
low,mosh,command_loop,1,33,2,df -h,50.324547,100.00,ok,0,,
low,mosh,command_loop,1,34,2,df -h,50.358540,0.56,ok,0,,
low,mosh,command_loop,1,35,2,df -h,50.242207,100.00,ok,0,,
low,mosh,command_loop,1,36,2,df -h,50.384928,2.68,ok,0,,
low,mosh,command_loop,1,37,2,df -h,50.323990,100.00,ok,0,,
low,mosh,command_loop,1,38,2,df -h,50.295083,100.00,ok,0,,
low,mosh,command_loop,1,39,2,df -h,50.388630,0.56,ok,0,,
low,mosh,command_loop,1,40,2,df -h,50.146560,100.00,ok,0,,
low,mosh,command_loop,1,41,2,df -h,50.314829,2.68,ok,0,,
low,mosh,command_loop,1,42,2,df -h,50.293045,100.00,ok,0,,
low,mosh,command_loop,1,43,2,df -h,50.325787,100.00,ok,0,,
low,mosh,command_loop,1,44,2,df -h,50.338279,0.56,ok,0,,
low,mosh,command_loop,1,45,2,df -h,50.173982,100.00,ok,0,,
low,mosh,command_loop,1,46,2,df -h,50.486610,2.68,ok,0,,
low,mosh,command_loop,1,47,2,df -h,50.332303,100.00,ok,0,,
low,mosh,command_loop,1,48,2,df -h,50.348575,100.00,ok,0,,
low,mosh,command_loop,1,49,2,df -h,50.326205,0.56,ok,0,,
low,mosh,command_loop,1,50,2,df -h,50.134813,100.00,ok,0,,
low,mosh,command_loop,2,1,2,df -h,50.289102,2.68,ok,1,,
low,mosh,command_loop,2,2,2,df -h,50.306282,100.00,ok,1,,
low,mosh,command_loop,2,3,2,df -h,50.352126,100.00,ok,1,,
low,mosh,command_loop,2,4,2,df -h,50.379929,0.56,ok,0,,
low,mosh,command_loop,2,5,2,df -h,50.114828,100.00,ok,0,,
low,mosh,command_loop,2,6,2,df -h,50.293618,2.68,ok,0,,
low,mosh,command_loop,2,7,2,df -h,50.398848,100.00,ok,0,,
low,mosh,command_loop,2,8,2,df -h,50.338672,100.00,ok,0,,
low,mosh,command_loop,2,9,2,df -h,50.390456,0.56,ok,0,,
low,mosh,command_loop,2,10,2,df -h,50.149163,100.00,ok,0,,
low,mosh,command_loop,2,11,2,df -h,50.325000,2.68,ok,0,,
low,mosh,command_loop,2,12,2,df -h,50.300764,100.00,ok,0,,
low,mosh,command_loop,2,13,2,df -h,50.339948,100.00,ok,0,,
low,mosh,command_loop,2,14,2,df -h,50.327805,0.56,ok,0,,
low,mosh,command_loop,2,15,2,df -h,50.154739,100.00,ok,0,,
low,mosh,command_loop,2,16,2,df -h,50.296069,2.68,ok,0,,
low,mosh,command_loop,2,17,2,df -h,50.382726,100.00,ok,0,,
low,mosh,command_loop,2,18,2,df -h,50.295635,100.00,ok,0,,
low,mosh,command_loop,2,19,2,df -h,50.384946,0.56,ok,0,,
low,mosh,command_loop,2,20,2,df -h,50.121269,100.00,ok,0,,
low,mosh,command_loop,2,21,2,df -h,50.415325,2.68,ok,0,,
low,mosh,command_loop,2,22,2,df -h,50.327434,100.00,ok,0,,
low,mosh,command_loop,2,23,2,df -h,50.417760,100.00,ok,0,,
low,mosh,command_loop,2,24,2,df -h,50.425090,0.56,ok,0,,
low,mosh,command_loop,2,25,2,df -h,50.140480,100.00,ok,0,,
low,mosh,command_loop,2,26,2,df -h,50.325438,2.68,ok,0,,
low,mosh,command_loop,2,27,2,df -h,50.299905,100.00,ok,0,,
low,mosh,command_loop,2,28,2,df -h,50.340717,100.00,ok,0,,
low,mosh,command_loop,2,29,2,df -h,50.390469,0.56,ok,0,,
low,mosh,command_loop,2,30,2,df -h,50.145995,100.00,ok,0,,
low,mosh,command_loop,2,31,2,df -h,50.356820,2.68,ok,0,,
low,mosh,command_loop,2,32,2,df -h,50.387203,100.00,ok,0,,
low,mosh,command_loop,2,33,2,df -h,50.381800,100.00,ok,0,,
low,mosh,command_loop,2,34,2,df -h,50.295457,0.56,ok,0,,
low,mosh,command_loop,2,35,2,df -h,50.135306,100.00,ok,0,,
low,mosh,command_loop,2,36,2,df -h,50.329593,2.68,ok,0,,
low,mosh,command_loop,2,37,2,df -h,50.385571,100.00,ok,0,,
low,mosh,command_loop,2,38,2,df -h,50.369456,100.00,ok,0,,
low,mosh,command_loop,2,39,2,df -h,50.537272,0.56,ok,0,,
low,mosh,command_loop,2,40,2,df -h,50.205172,100.00,ok,0,,
low,mosh,command_loop,2,41,2,df -h,50.318315,2.68,ok,0,,
low,mosh,command_loop,2,42,2,df -h,50.337547,100.00,ok,0,,
low,mosh,command_loop,2,43,2,df -h,50.294995,100.00,ok,0,,
low,mosh,command_loop,2,44,2,df -h,50.364582,0.56,ok,0,,
low,mosh,command_loop,2,45,2,df -h,50.229205,100.00,ok,0,,
low,mosh,command_loop,2,46,2,df -h,50.312234,2.68,ok,0,,
low,mosh,command_loop,2,47,2,df -h,50.326658,100.00,ok,0,,
low,mosh,command_loop,2,48,2,df -h,50.355788,100.00,ok,0,,
low,mosh,command_loop,2,49,2,df -h,50.323404,0.56,ok,0,,
low,mosh,command_loop,2,50,2,df -h,50.256327,100.00,ok,0,,
low,mosh,command_loop,3,1,2,df -h,50.368359,2.68,ok,1,,
low,mosh,command_loop,3,2,2,df -h,50.439039,100.00,ok,1,,
low,mosh,command_loop,3,3,2,df -h,50.443079,100.00,ok,1,,
low,mosh,command_loop,3,4,2,df -h,50.320617,0.56,ok,0,,
low,mosh,command_loop,3,5,2,df -h,50.246478,100.00,ok,0,,
low,mosh,command_loop,3,6,2,df -h,50.382021,2.68,ok,0,,
low,mosh,command_loop,3,7,2,df -h,50.323525,100.00,ok,0,,
low,mosh,command_loop,3,8,2,df -h,50.418329,100.00,ok,0,,
low,mosh,command_loop,3,9,2,df -h,50.320956,0.56,ok,0,,
low,mosh,command_loop,3,10,2,df -h,50.185994,100.00,ok,0,,
low,mosh,command_loop,3,11,2,df -h,50.378457,2.68,ok,0,,
low,mosh,command_loop,3,12,2,df -h,50.330836,100.00,ok,0,,
low,mosh,command_loop,3,13,2,df -h,50.420861,100.00,ok,0,,
low,mosh,command_loop,3,14,2,df -h,50.442210,0.56,ok,0,,
low,mosh,command_loop,3,15,2,df -h,50.239824,100.00,ok,0,,
low,mosh,command_loop,3,16,2,df -h,50.315585,2.68,ok,0,,
low,mosh,command_loop,3,17,2,df -h,50.321517,100.00,ok,0,,
low,mosh,command_loop,3,18,2,df -h,50.435073,100.00,ok,0,,
low,mosh,command_loop,3,19,2,df -h,50.396639,0.56,ok,0,,
low,mosh,command_loop,3,20,2,df -h,50.122492,100.00,ok,0,,
low,mosh,command_loop,3,21,2,df -h,50.250786,2.68,ok,0,,
low,mosh,command_loop,3,22,2,df -h,50.310568,100.00,ok,0,,
low,mosh,command_loop,3,23,2,df -h,50.365458,100.00,ok,0,,
low,mosh,command_loop,3,24,2,df -h,50.273390,0.56,ok,0,,
low,mosh,command_loop,3,25,2,df -h,50.152339,100.00,ok,0,,
low,mosh,command_loop,3,26,2,df -h,50.312056,2.68,ok,0,,
low,mosh,command_loop,3,27,2,df -h,50.438559,100.00,ok,0,,
low,mosh,command_loop,3,28,2,df -h,50.321244,100.00,ok,0,,
low,mosh,command_loop,3,29,2,df -h,50.394852,0.56,ok,0,,
low,mosh,command_loop,3,30,2,df -h,50.122715,100.00,ok,0,,
low,mosh,command_loop,3,31,2,df -h,50.385060,2.68,ok,0,,
low,mosh,command_loop,3,32,2,df -h,50.337494,100.00,ok,0,,
low,mosh,command_loop,3,33,2,df -h,50.497082,100.00,ok,0,,
low,mosh,command_loop,3,34,2,df -h,50.303868,0.56,ok,0,,
low,mosh,command_loop,3,35,2,df -h,50.160174,100.00,ok,0,,
low,mosh,command_loop,3,36,2,df -h,50.373648,2.68,ok,0,,
low,mosh,command_loop,3,37,2,df -h,50.319619,100.00,ok,0,,
low,mosh,command_loop,3,38,2,df -h,50.299923,100.00,ok,0,,
low,mosh,command_loop,3,39,2,df -h,50.330012,0.56,ok,0,,
low,mosh,command_loop,3,40,2,df -h,50.117640,100.00,ok,0,,
low,mosh,command_loop,3,41,2,df -h,50.286476,2.68,ok,0,,
low,mosh,command_loop,3,42,2,df -h,50.450677,100.00,ok,0,,
low,mosh,command_loop,3,43,2,df -h,50.348521,100.00,ok,0,,
low,mosh,command_loop,3,44,2,df -h,50.354136,0.56,ok,0,,
low,mosh,command_loop,3,45,2,df -h,50.272599,100.00,ok,0,,
low,mosh,command_loop,3,46,2,df -h,50.421443,2.68,ok,0,,
low,mosh,command_loop,3,47,2,df -h,50.465711,100.00,ok,0,,
low,mosh,command_loop,3,48,2,df -h,50.338529,100.00,ok,0,,
low,mosh,command_loop,3,49,2,df -h,50.376139,0.56,ok,0,,
low,mosh,command_loop,3,50,2,df -h,50.120102,100.00,ok,0,,
low,mosh,command_loop,4,1,2,df -h,50.382549,2.68,ok,1,,
low,mosh,command_loop,4,2,2,df -h,50.326313,100.00,ok,1,,
low,mosh,command_loop,4,3,2,df -h,50.301233,100.00,ok,1,,
low,mosh,command_loop,4,4,2,df -h,50.300287,0.56,ok,0,,
low,mosh,command_loop,4,5,2,df -h,50.117773,100.00,ok,0,,
low,mosh,command_loop,4,6,2,df -h,50.469587,2.68,ok,0,,
low,mosh,command_loop,4,7,2,df -h,50.354493,100.00,ok,0,,
low,mosh,command_loop,4,8,2,df -h,50.325410,100.00,ok,0,,
low,mosh,command_loop,4,9,2,df -h,50.303971,0.56,ok,0,,
low,mosh,command_loop,4,10,2,df -h,50.120102,100.00,ok,0,,
low,mosh,command_loop,4,11,2,df -h,50.289979,2.68,ok,0,,
low,mosh,command_loop,4,12,2,df -h,50.346607,100.00,ok,0,,
low,mosh,command_loop,4,13,2,df -h,50.304250,100.00,ok,0,,
low,mosh,command_loop,4,14,2,df -h,50.373237,0.56,ok,0,,
low,mosh,command_loop,4,15,2,df -h,50.211633,100.00,ok,0,,
low,mosh,command_loop,4,16,2,df -h,50.336951,2.68,ok,0,,
low,mosh,command_loop,4,17,2,df -h,50.313429,100.00,ok,0,,
low,mosh,command_loop,4,18,2,df -h,50.292953,100.00,ok,0,,
low,mosh,command_loop,4,19,2,df -h,50.384488,0.56,ok,0,,
low,mosh,command_loop,4,20,2,df -h,50.137331,100.00,ok,0,,
low,mosh,command_loop,4,21,2,df -h,50.380287,2.68,ok,0,,
low,mosh,command_loop,4,22,2,df -h,50.332216,100.00,ok,0,,
low,mosh,command_loop,4,23,2,df -h,50.296142,100.00,ok,0,,
low,mosh,command_loop,4,24,2,df -h,50.300597,0.56,ok,0,,
low,mosh,command_loop,4,25,2,df -h,50.120682,100.00,ok,0,,
low,mosh,command_loop,4,26,2,df -h,50.293961,2.68,ok,0,,
low,mosh,command_loop,4,27,2,df -h,50.392055,100.00,ok,0,,
low,mosh,command_loop,4,28,2,df -h,50.292577,100.00,ok,0,,
low,mosh,command_loop,4,29,2,df -h,50.354359,0.56,ok,0,,
low,mosh,command_loop,4,30,2,df -h,50.248563,100.00,ok,0,,
low,mosh,command_loop,4,31,2,df -h,50.327251,2.68,ok,0,,
low,mosh,command_loop,4,32,2,df -h,50.342683,100.00,ok,0,,
low,mosh,command_loop,4,33,2,df -h,50.349447,100.00,ok,0,,
low,mosh,command_loop,4,34,2,df -h,50.388164,0.56,ok,0,,
low,mosh,command_loop,4,35,2,df -h,50.119399,100.00,ok,0,,
low,mosh,command_loop,4,36,2,df -h,50.310362,2.68,ok,0,,
low,mosh,command_loop,4,37,2,df -h,50.402724,100.00,ok,0,,
low,mosh,command_loop,4,38,2,df -h,50.331406,100.00,ok,0,,
low,mosh,command_loop,4,39,2,df -h,50.425924,0.56,ok,0,,
low,mosh,command_loop,4,40,2,df -h,50.132785,100.00,ok,0,,
low,mosh,command_loop,4,41,2,df -h,50.285075,2.68,ok,0,,
low,mosh,command_loop,4,42,2,df -h,50.389298,100.00,ok,0,,
low,mosh,command_loop,4,43,2,df -h,50.294188,100.00,ok,0,,
low,mosh,command_loop,4,44,2,df -h,50.386149,0.56,ok,0,,
low,mosh,command_loop,4,45,2,df -h,50.155258,100.00,ok,0,,
low,mosh,command_loop,4,46,2,df -h,50.316495,2.68,ok,0,,
low,mosh,command_loop,4,47,2,df -h,50.326803,100.00,ok,0,,
low,mosh,command_loop,4,48,2,df -h,50.379776,100.00,ok,0,,
low,mosh,command_loop,4,49,2,df -h,50.304229,0.56,ok,0,,
low,mosh,command_loop,4,50,2,df -h,50.124659,100.00,ok,0,,
low,mosh,command_loop,5,1,2,df -h,50.332208,2.68,ok,1,,
low,mosh,command_loop,5,2,2,df -h,50.438404,100.00,ok,1,,
low,mosh,command_loop,5,3,2,df -h,50.325409,100.00,ok,1,,
low,mosh,command_loop,5,4,2,df -h,50.334524,0.56,ok,0,,
low,mosh,command_loop,5,5,2,df -h,50.126062,100.00,ok,0,,
low,mosh,command_loop,5,6,2,df -h,50.359143,2.68,ok,0,,
low,mosh,command_loop,5,7,2,df -h,50.295488,100.00,ok,0,,
low,mosh,command_loop,5,8,2,df -h,50.342498,100.00,ok,0,,
low,mosh,command_loop,5,9,2,df -h,50.425921,0.56,ok,0,,
low,mosh,command_loop,5,10,2,df -h,50.124659,100.00,ok,0,,
low,mosh,command_loop,5,11,2,df -h,50.407735,2.68,ok,0,,
low,mosh,command_loop,5,12,2,df -h,50.301715,100.00,ok,0,,
