scenario,protocol,workload,round_id,sample_id,command_id,command,latency_ms,received_pct,residual_bytes,status,warmup,error_type,error_message
high,ssh3,command_loop,1,1,4,grep -n root /etc/passwd,421.717042,55.88,0,ok,1,,
high,ssh3,command_loop,1,2,4,grep -n root /etc/passwd,50.288383,100.00,0,ok,1,,
high,ssh3,command_loop,1,3,4,grep -n root /etc/passwd,185.701209,100.00,0,ok,1,,
high,ssh3,command_loop,1,4,4,grep -n root /etc/passwd,62.178303,100.00,0,ok,0,,
high,ssh3,command_loop,1,5,4,grep -n root /etc/passwd,176.051941,100.00,0,ok,0,,
high,ssh3,command_loop,1,6,4,grep -n root /etc/passwd,93.747774,100.00,0,ok,0,,
high,ssh3,command_loop,1,7,4,grep -n root /etc/passwd,203.292053,100.00,0,ok,0,,
high,ssh3,command_loop,1,8,4,grep -n root /etc/passwd,59.876521,100.00,0,ok,0,,
high,ssh3,command_loop,1,9,4,grep -n root /etc/passwd,220.969878,100.00,0,ok,0,,
high,ssh3,command_loop,1,10,4,grep -n root /etc/passwd,50.486344,100.00,0,ok,0,,
high,ssh3,command_loop,1,11,4,grep -n root /etc/passwd,218.723819,100.00,0,ok,0,,
high,ssh3,command_loop,1,12,4,grep -n root /etc/passwd,50.509918,100.00,0,ok,0,,
high,ssh3,command_loop,1,13,4,grep -n root /etc/passwd,195.599123,100.00,0,ok,0,,
high,ssh3,command_loop,1,14,4,grep -n root /etc/passwd,72.291974,100.00,0,ok,0,,
high,ssh3,command_loop,1,15,4,grep -n root /etc/passwd,235.882111,100.00,0,ok,0,,
high,ssh3,command_loop,1,16,4,grep -n root /etc/passwd,50.484603,100.00,0,ok,0,,
high,ssh3,command_loop,1,17,4,grep -n root /etc/passwd,211.170555,100.00,0,ok,0,,
high,ssh3,command_loop,1,18,4,grep -n root /etc/passwd,51.123952,100.00,0,ok,0,,
high,ssh3,command_loop,1,19,4,grep -n root /etc/passwd,223.263510,100.00,0,ok,0,,
high,ssh3,command_loop,1,20,4,grep -n root /etc/passwd,50.834972,100.00,0,ok,0,,
high,ssh3,command_loop,1,21,4,grep -n root /etc/passwd,195.631327,100.00,0,ok,0,,
high,ssh3,command_loop,1,22,4,grep -n root /etc/passwd,87.687297,100.00,0,ok,0,,
high,ssh3,command_loop,1,23,4,grep -n root /etc/passwd,168.648750,100.00,0,ok,0,,
high,ssh3,command_loop,1,24,4,grep -n root /etc/passwd,82.010390,100.00,0,ok,0,,
high,ssh3,command_loop,1,25,4,grep -n root /etc/passwd,206.869528,100.00,0,ok,0,,
high,ssh3,command_loop,1,26,4,grep -n root /etc/passwd,210.543929,100.00,0,ok,0,,
high,ssh3,command_loop,1,27,4,grep -n root /etc/passwd,52.936458,100.00,0,ok,0,,
high,ssh3,command_loop,1,28,4,grep -n root /etc/passwd,450.091386,100.00,147,ok,0,,
high,ssh3,command_loop,1,29,4,grep -n root /etc/passwd,266.335405,100.00,0,ok,0,,
high,ssh3,command_loop,1,30,4,grep -n root /etc/passwd,280.364457,100.00,0,ok,0,,
high,ssh3,command_loop,1,31,4,grep -n root /etc/passwd,300.683487,100.00,0,ok,0,,
high,ssh3,command_loop,1,32,4,grep -n root /etc/passwd,239.616863,100.00,0,ok,0,,
high,ssh3,command_loop,1,33,4,grep -n root /etc/passwd,583.480576,100.00,0,ok,0,,
high,ssh3,command_loop,1,34,4,grep -n root /etc/passwd,280.662511,100.00,0,ok,0,,
