scenario,protocol,command,trial_id,session_setup_ms
default,ssh,ls,1,2232.495591
default,ssh,ls,2,2345.069938
default,ssh,ls,3,2000.452706
default,ssh,ls,4,2198.279135
default,ssh,ls,5,2027.983059
default,ssh,ls,6,2005.155662
default,ssh,ls,7,2056.841998
default,ssh,ls,8,1989.250281
default,ssh,ls,9,2076.962173
default,ssh,ls,10,2201.006624
default,ssh,df -h,1,2607.937138
default,ssh,df -h,2,2299.576336
default,ssh,df -h,3,2288.511180
default,ssh,df -h,4,3571.482916
default,ssh,df -h,5,2483.406729
default,ssh,df -h,6,2413.339018
default,ssh,df -h,7,2199.484260
default,ssh,df -h,8,2612.782546
default,ssh,df -h,9,2278.642502
default,ssh,df -h,10,2275.631311
default,ssh,grep -n root /etc/passwd,1,3138.856278
default,ssh,grep -n root /etc/passwd,2,3617.208756
default,ssh,grep -n root /etc/passwd,3,3900.232420
default,ssh,grep -n root /etc/passwd,4,4446.761641
default,ssh,grep -n root /etc/passwd,5,3850.338371
default,ssh,grep -n root /etc/passwd,6,5096.357517
default,ssh,grep -n root /etc/passwd,7,3726.549562
default,ssh,grep -n root /etc/passwd,8,3902.829931
default,ssh,grep -n root /etc/passwd,9,4002.340981
default,ssh,grep -n root /etc/passwd,10,3521.619445
default,ssh,git status,1,2165.098191
default,ssh,git status,2,2102.820542
default,ssh,git status,3,2062.483043
default,ssh,git status,4,1975.650983
default,ssh,git status,5,2162.518568
default,ssh,git status,6,2255.319703
default,ssh,git status,7,2462.584913
default,ssh,git status,8,2049.241022
default,ssh,git status,9,2339.322956
default,ssh,git status,10,2831.512571
default,ssh3,ls,1,712.283720
default,ssh3,ls,2,641.293426
default,ssh3,ls,3,694.154829
default,ssh3,ls,4,628.556994
default,ssh3,ls,5,713.802340
default,ssh3,ls,6,718.948581
default,ssh3,ls,7,729.784853
default,ssh3,ls,8,631.468194
default,ssh3,ls,9,655.806503
default,ssh3,ls,10,741.875115
default,ssh3,df -h,1,1044.544348
default,ssh3,df -h,2,1375.502195
default,ssh3,df -h,3,1251.838884
default,ssh3,df -h,4,1086.856508
default,ssh3,df -h,5,1121.705113
default,ssh3,df -h,6,996.008689
default,ssh3,df -h,7,918.731146
default,ssh3,df -h,8,1056.768370
default,ssh3,df -h,9,1454.042913
default,ssh3,df -h,10,888.217655
default,ssh3,grep -n root /etc/passwd,1,742.596596
default,ssh3,grep -n root /etc/passwd,2,730.764785
default,ssh3,grep -n root /etc/passwd,3,726.585534
default,ssh3,grep -n root /etc/passwd,4,692.449932
default,ssh3,grep -n root /etc/passwd,5,1007.745852
default,ssh3,grep -n root /etc/passwd,6,724.739327
default,ssh3,grep -n root /etc/passwd,7,710.467413
default,ssh3,grep -n root /etc/passwd,8,639.306919
default,ssh3,grep -n root /etc/passwd,9,748.081112
default,ssh3,grep -n root /etc/passwd,10,691.158661
default,ssh3,git status,1,1086.452124
default,ssh3,git status,2,918.691840
default,ssh3,git status,3,1055.903676
default,ssh3,git status,4,857.437114
default,ssh3,git status,5,914.575544
default,ssh3,git status,6,1118.150415
default,ssh3,git status,7,1356.984141
default,ssh3,git status,8,1327.495099
default,ssh3,git status,9,1262.489760
default,ssh3,git status,10,1441.326302
default,mosh,ls,1,3532.251390
default,mosh,ls,2,4000.811662
default,mosh,ls,3,4584.370006
default,mosh,ls,4,3889.958383
default,mosh,ls,5,4212.044071
default,mosh,ls,6,4154.154504
default,mosh,ls,7,4165.757102
default,mosh,ls,8,2854.729578
default,mosh,ls,9,4281.387769
default,mosh,ls,10,2797.143249
default,mosh,df -h,1,3465.540497
default,mosh,df -h,2,2960.677814
default,mosh,df -h,3,2606.608158
default,mosh,df -h,4,2716.075326
default,mosh,df -h,5,2504.902891
default,mosh,df -h,6,2382.724592
default,mosh,df -h,7,2698.984286
default,mosh,df -h,8,2360.693570
default,mosh,df -h,9,2806.101582
default,mosh,df -h,10,2479.480973
default,mosh,grep -n root /etc/passwd,1,2780.639163
default,mosh,grep -n root /etc/passwd,2,3738.543661
default,mosh,grep -n root /etc/passwd,3,2556.297979
default,mosh,grep -n root /etc/passwd,4,2625.923830
default,mosh,grep -n root /etc/passwd,5,2719.211158
default,mosh,grep -n root /etc/passwd,6,2503.973262
default,mosh,grep -n root /etc/passwd,7,2909.405109
default,mosh,grep -n root /etc/passwd,8,2540.563456
default,mosh,grep -n root /etc/passwd,9,2413.045971
default,mosh,grep -n root /etc/passwd,10,2506.607911
default,mosh,git status,1,2434.633829
default,mosh,git status,2,2302.476080
default,mosh,git status,3,3263.523540
default,mosh,git status,4,2411.719559
default,mosh,git status,5,2486.022208
default,mosh,git status,6,2431.696617
default,mosh,git status,7,2323.532066
default,mosh,git status,8,2221.081291
default,mosh,git status,9,2374.677650
default,mosh,git status,10,2597.646699
