scenario,protocol,command,trial_id,session_setup_ms
high,ssh,ls,1,2918.922819
high,ssh,ls,2,3320.037132
high,ssh,df -h,1,4127.919332
high,ssh,df -h,2,2982.062009
high,ssh,ps aux,1,2802.895963
high,ssh,ps aux,2,3862.761713
high,ssh,grep -n root /etc/passwd,1,4140.461038
high,ssh,grep -n root /etc/passwd,2,2860.047263
high,ssh3,ls,1,828.021557
high,ssh3,ls,2,899.450368
high,ssh3,df -h,1,917.295893
high,ssh3,df -h,2,1536.265698
high,ssh3,ps aux,1,986.111480
high,ssh3,ps aux,2,1080.286515
high,ssh3,grep -n root /etc/passwd,1,1038.297923
high,ssh3,grep -n root /etc/passwd,2,831.522467
high,mosh,ls,1,7249.499122
high,mosh,ls,2,6494.659681
high,mosh,df -h,1,3825.026689
high,mosh,df -h,2,4796.049407
high,mosh,ps aux,1,3591.261314
high,mosh,ps aux,2,3582.886526
high,mosh,grep -n root /etc/passwd,1,5183.120149
high,mosh,grep -n root /etc/passwd,2,5879.423495
