scenario,protocol,workload,round_id,sample_id,command_id,command,latency_ms,received_pct,residual_bytes,status,warmup,error_type,error_message
low,ssh3,command_loop,1,1,4,grep -n root /etc/passwd,50.545863,55.88,0,ok,1,,
low,ssh3,command_loop,1,2,4,grep -n root /etc/passwd,50.532437,100.00,0,ok,1,,
low,ssh3,command_loop,1,3,4,grep -n root /etc/passwd,50.494289,100.00,0,ok,1,,
low,ssh3,command_loop,1,4,4,grep -n root /etc/passwd,50.556085,100.00,0,ok,0,,
low,ssh3,command_loop,1,5,4,grep -n root /etc/passwd,50.527011,100.00,0,ok,0,,
low,ssh3,command_loop,2,1,4,grep -n root /etc/passwd,50.515141,55.88,0,ok,1,,
low,ssh3,command_loop,2,2,4,grep -n root /etc/passwd,50.505363,100.00,0,ok,1,,
low,ssh3,command_loop,2,3,4,grep -n root /etc/passwd,50.519474,100.00,0,ok,1,,
low,ssh3,command_loop,2,4,4,grep -n root /etc/passwd,50.506677,100.00,0,ok,0,,
low,ssh3,command_loop,2,5,4,grep -n root /etc/passwd,50.496752,100.00,0,ok,0,,
low,ssh3,command_loop,1,1,2,df -h,50.504696,5.05,0,ok,1,,
low,ssh3,command_loop,1,2,2,df -h,50.508048,100.00,0,ok,1,,
low,ssh3,command_loop,1,3,2,df -h,50.517196,100.00,0,ok,1,,
low,ssh3,command_loop,1,4,2,df -h,50.488363,100.00,0,ok,0,,
low,ssh3,command_loop,1,5,2,df -h,50.503714,100.00,0,ok,0,,
low,ssh3,command_loop,2,1,2,df -h,50.499659,5.05,0,ok,1,,
low,ssh3,command_loop,2,2,2,df -h,50.550048,100.00,0,ok,1,,
low,ssh3,command_loop,2,3,2,df -h,50.469548,100.00,0,ok,1,,
low,ssh3,command_loop,2,4,2,df -h,50.502715,100.00,0,ok,0,,
low,ssh3,command_loop,2,5,2,df -h,50.503622,100.00,0,ok,0,,
low,ssh,command_loop,1,1,3,ps aux,50.434122,0.09,0,ok,1,,
low,ssh,command_loop,1,2,3,ps aux,59.123474,100.00,0,ok,1,,
low,ssh,command_loop,1,3,3,ps aux,52.874884,100.00,0,ok,1,,
low,ssh,command_loop,1,4,3,ps aux,56.386344,100.00,0,ok,0,,
low,ssh,command_loop,1,5,3,ps aux,52.890976,100.00,0,ok,0,,
low,ssh,command_loop,2,1,3,ps aux,50.422178,0.09,0,ok,1,,
low,ssh,command_loop,2,2,3,ps aux,66.280447,100.00,17,ok,1,,
low,ssh,command_loop,2,3,3,ps aux,52.834439,100.00,0,ok,1,,
low,ssh,command_loop,2,4,3,ps aux,52.854718,100.00,0,ok,0,,
low,ssh,command_loop,2,5,3,ps aux,52.881328,100.00,0,ok,0,,
low,mosh,command_loop,1,1,1,ls,50.505084,7.76,0,ok,1,,
low,mosh,command_loop,1,2,1,ls,50.487732,100.00,0,ok,1,,
low,mosh,command_loop,1,3,1,ls,50.489362,100.00,0,ok,1,,
low,mosh,command_loop,1,4,1,ls,50.500009,100.00,0,ok,0,,
low,mosh,command_loop,1,5,1,ls,50.512084,100.00,0,ok,0,,
low,mosh,command_loop,2,1,1,ls,50.772137,7.76,0,ok,1,,
low,mosh,command_loop,2,2,1,ls,50.720953,100.00,0,ok,1,,
low,mosh,command_loop,2,3,1,ls,50.750359,100.00,0,ok,1,,
low,mosh,command_loop,2,4,1,ls,50.795748,100.00,0,ok,0,,
low,mosh,command_loop,2,5,1,ls,50.737953,100.00,0,ok,0,,
low,mosh,command_loop,1,1,2,df -h,50.509417,5.05,0,ok,1,,
low,mosh,command_loop,1,2,2,df -h,50.486250,100.00,0,ok,1,,
low,mosh,command_loop,1,3,2,df -h,50.507916,100.00,0,ok,1,,
low,mosh,command_loop,1,4,2,df -h,50.535250,100.00,0,ok,0,,
low,mosh,command_loop,1,5,2,df -h,50.492972,100.00,0,ok,0,,
low,mosh,command_loop,2,1,2,df -h,50.489361,5.05,0,ok,1,,
low,mosh,command_loop,2,2,2,df -h,50.481120,100.00,0,ok,1,,
low,mosh,command_loop,2,3,2,df -h,50.502805,100.00,0,ok,1,,
low,mosh,command_loop,2,4,2,df -h,50.524954,100.00,0,ok,0,,
low,mosh,command_loop,2,5,2,df -h,50.482121,100.00,0,ok,0,,
low,ssh3,command_loop,1,1,3,ps aux,50.491472,0.09,0,ok,1,,
low,ssh3,command_loop,1,2,3,ps aux,52.858290,99.33,0,ok,1,,
low,ssh3,command_loop,1,3,3,ps aux,52.847883,99.39,0,ok,1,,
low,ssh3,command_loop,1,4,3,ps aux,52.876809,99.39,0,ok,0,,
low,ssh3,command_loop,1,5,3,ps aux,52.859087,99.35,0,ok,0,,
low,ssh3,command_loop,2,1,3,ps aux,50.614971,0.09,0,ok,1,,
low,ssh3,command_loop,2,2,3,ps aux,54.738666,99.25,0,ok,1,,
low,ssh3,command_loop,2,3,3,ps aux,54.535446,99.25,0,ok,1,,
low,ssh3,command_loop,2,4,3,ps aux,54.676500,99.34,0,ok,0,,
low,ssh3,command_loop,2,5,3,ps aux,54.471390,99.50,0,ok,0,,
low,mosh,command_loop,1,1,4,grep -n root /etc/passwd,50.519045,55.88,0,ok,1,,
low,mosh,command_loop,1,2,4,grep -n root /etc/passwd,50.489509,100.00,0,ok,1,,
low,mosh,command_loop,1,3,4,grep -n root /etc/passwd,50.488157,100.00,0,ok,1,,
low,mosh,command_loop,1,4,4,grep -n root /etc/passwd,50.508730,100.00,0,ok,0,,
low,mosh,command_loop,1,5,4,grep -n root /etc/passwd,50.503175,100.00,0,ok,0,,
low,mosh,command_loop,2,1,4,grep -n root /etc/passwd,50.595933,55.88,0,ok,1,,
low,mosh,command_loop,2,2,4,grep -n root /etc/passwd,50.506619,100.00,0,ok,1,,
low,mosh,command_loop,2,3,4,grep -n root /etc/passwd,50.497341,100.00,0,ok,1,,
low,mosh,command_loop,2,4,4,grep -n root /etc/passwd,50.507118,100.00,0,ok,0,,
low,mosh,command_loop,2,5,4,grep -n root /etc/passwd,50.495341,100.00,0,ok,0,,
low,ssh,command_loop,1,1,4,grep -n root /etc/passwd,50.477267,55.88,0,ok,1,,
low,ssh,command_loop,1,2,4,grep -n root /etc/passwd,50.491712,100.00,0,ok,1,,
low,ssh,command_loop,1,3,4,grep -n root /etc/passwd,50.476286,100.00,0,ok,1,,
low,ssh,command_loop,1,4,4,grep -n root /etc/passwd,50.483137,100.00,0,ok,0,,
low,ssh,command_loop,1,5,4,grep -n root /etc/passwd,50.453675,100.00,0,ok,0,,
low,ssh,command_loop,2,1,4,grep -n root /etc/passwd,50.425712,55.88,0,ok,1,,
low,ssh,command_loop,2,2,4,grep -n root /etc/passwd,50.420138,100.00,0,ok,1,,
low,ssh,command_loop,2,3,4,grep -n root /etc/passwd,50.426527,100.00,0,ok,1,,
low,ssh,command_loop,2,4,4,grep -n root /etc/passwd,50.429638,100.00,0,ok,0,,
low,ssh,command_loop,2,5,4,grep -n root /etc/passwd,50.435749,100.00,0,ok,0,,
low,ssh3,command_loop,1,1,1,ls,50.501378,7.76,0,ok,1,,
low,ssh3,command_loop,1,2,1,ls,50.508970,100.00,0,ok,1,,
low,ssh3,command_loop,1,3,1,ls,50.536377,100.00,0,ok,1,,
low,ssh3,command_loop,1,4,1,ls,50.501563,100.00,0,ok,0,,
low,ssh3,command_loop,1,5,1,ls,50.496303,100.00,0,ok,0,,
low,ssh3,command_loop,2,1,1,ls,50.502656,7.76,0,ok,1,,
low,ssh3,command_loop,2,2,1,ls,50.524303,100.00,0,ok,1,,
low,ssh3,command_loop,2,3,1,ls,50.468897,100.00,0,ok,1,,
low,ssh3,command_loop,2,4,1,ls,50.469896,100.00,0,ok,0,,
low,ssh3,command_loop,2,5,1,ls,50.482729,100.00,0,ok,0,,
low,ssh,command_loop,1,1,1,ls,50.430989,7.76,0,ok,1,,
low,ssh,command_loop,1,2,1,ls,50.434155,100.00,0,ok,1,,
low,ssh,command_loop,1,3,1,ls,50.445952,100.00,0,ok,1,,
low,ssh,command_loop,1,4,1,ls,50.418896,100.00,0,ok,0,,
low,ssh,command_loop,1,5,1,ls,50.470007,100.00,0,ok,0,,
low,ssh,command_loop,2,1,1,ls,50.696635,7.76,0,ok,1,,
low,ssh,command_loop,2,2,1,ls,50.719154,100.00,0,ok,1,,
low,ssh,command_loop,2,3,1,ls,50.710191,100.00,0,ok,1,,
low,ssh,command_loop,2,4,1,ls,50.743246,100.00,0,ok,0,,
low,ssh,command_loop,2,5,1,ls,50.709265,100.00,0,ok,0,,
low,ssh,command_loop,1,1,2,df -h,50.425896,5.05,0,ok,1,,
low,ssh,command_loop,1,2,2,df -h,50.422489,100.00,0,ok,1,,
low,ssh,command_loop,1,3,2,df -h,50.441803,100.00,0,ok,1,,
low,ssh,command_loop,1,4,2,df -h,50.446692,100.00,0,ok,0,,
low,ssh,command_loop,1,5,2,df -h,50.479414,100.00,0,ok,0,,
low,ssh,command_loop,2,1,2,df -h,50.421136,5.05,0,ok,1,,
low,ssh,command_loop,2,2,2,df -h,50.452673,100.00,0,ok,1,,
low,ssh,command_loop,2,3,2,df -h,50.461507,100.00,0,ok,1,,
low,ssh,command_loop,2,4,2,df -h,50.456413,100.00,0,ok,0,,
low,ssh,command_loop,2,5,2,df -h,50.469377,100.00,0,ok,0,,
low,mosh,command_loop,1,1,3,ps aux,50.514339,0.09,0,ok,1,,
low,mosh,command_loop,1,2,3,ps aux,65.960331,26.28,0,ok,1,,
low,mosh,command_loop,1,3,3,ps aux,50.611876,0.00,9133,ok,1,,
low,mosh,command_loop,1,4,3,ps aux,50.667579,4.29,5773,ok,0,,
low,mosh,command_loop,1,5,3,ps aux,50.982725,11.59,4681,ok,0,,
low,mosh,command_loop,2,1,3,ps aux,50.490598,0.09,0,ok,1,,
low,mosh,command_loop,2,2,3,ps aux,71.066724,31.21,0,ok,1,,
low,mosh,command_loop,2,3,3,ps aux,50.542987,0.00,2901,ok,1,,
low,mosh,command_loop,2,4,3,ps aux,50.502469,4.53,4689,ok,0,,
low,mosh,command_loop,2,5,3,ps aux,50.564338,2.32,4993,ok,0,,
