scenario,protocol,workload,round_id,sample_id,command_id,command,latency_ms,received_pct,residual_bytes,status,warmup,error_type,error_message
medium,ssh3,command_loop,1,1,4,grep -n root /etc/passwd,366.721425,55.88,136,ok,1,,
medium,ssh3,command_loop,1,2,4,grep -n root /etc/passwd,155.411501,100.00,0,ok,1,,
medium,ssh3,command_loop,1,3,4,grep -n root /etc/passwd,162.054364,100.00,0,ok,1,,
medium,ssh3,command_loop,1,4,4,grep -n root /etc/passwd,163.019598,100.00,0,ok,0,,
medium,ssh3,command_loop,1,5,4,grep -n root /etc/passwd,165.343453,100.00,0,ok,0,,
medium,ssh3,command_loop,2,1,4,grep -n root /etc/passwd,102.400705,55.88,0,ok,1,,
medium,ssh3,command_loop,2,2,4,grep -n root /etc/passwd,50.490385,100.00,0,ok,1,,
medium,ssh3,command_loop,2,3,4,grep -n root /etc/passwd,98.117086,100.00,0,ok,1,,
medium,ssh3,command_loop,2,4,4,grep -n root /etc/passwd,57.732097,100.00,0,ok,0,,
medium,ssh3,command_loop,2,5,4,grep -n root /etc/passwd,89.754623,100.00,0,ok,0,,
medium,ssh3,command_loop,1,1,2,df -h,111.837624,5.05,0,ok,1,,
medium,ssh3,command_loop,1,2,2,df -h,50.874698,100.00,0,ok,1,,
medium,ssh3,command_loop,1,3,2,df -h,251.421580,100.00,415,ok,1,,
medium,ssh3,command_loop,1,4,2,df -h,420.153582,100.00,0,ok,0,,
medium,ssh3,command_loop,1,5,2,df -h,267.180825,100.00,0,ok,0,,
medium,ssh3,command_loop,2,1,2,df -h,99.959979,5.05,0,ok,1,,
medium,ssh3,command_loop,2,2,2,df -h,50.518959,100.00,0,ok,1,,
medium,ssh3,command_loop,2,3,2,df -h,100.437606,100.00,0,ok,1,,
medium,ssh3,command_loop,2,4,2,df -h,50.497848,100.00,0,ok,0,,
medium,ssh3,command_loop,2,5,2,df -h,106.785786,100.00,0,ok,0,,
medium,ssh,command_loop,1,1,3,ps aux,98.229268,0.09,0,ok,1,,
medium,ssh,command_loop,1,2,3,ps aux,181.040566,100.00,14888,ok,1,,
medium,ssh,command_loop,1,3,3,ps aux,50.894066,27.65,0,ok,1,,
medium,ssh,command_loop,1,4,3,ps aux,214.976098,100.00,20315,ok,0,,
medium,ssh,command_loop,1,5,3,ps aux,195.047768,100.00,0,ok,0,,
medium,ssh,command_loop,2,1,3,ps aux,113.991958,0.09,0,ok,1,,
medium,ssh,command_loop,2,2,3,ps aux,158.955638,100.00,0,ok,1,,
medium,ssh,command_loop,2,3,3,ps aux,56.973322,100.00,0,ok,1,,
medium,ssh,command_loop,2,4,3,ps aux,202.164182,100.00,20449,ok,0,,
medium,ssh,command_loop,2,5,3,ps aux,313.690174,100.00,0,ok,0,,
medium,mosh,command_loop,1,1,1,ls,110.513239,7.76,0,ok,1,,
medium,mosh,command_loop,1,2,1,ls,52.891682,100.00,0,ok,1,,
medium,mosh,command_loop,1,3,1,ls,105.263497,100.00,0,ok,1,,
medium,mosh,command_loop,1,4,1,ls,90.147117,100.00,0,ok,0,,
medium,mosh,command_loop,1,5,1,ls,69.180739,100.00,0,ok,0,,
medium,mosh,command_loop,2,1,1,ls,113.302719,7.76,0,ok,1,,
medium,mosh,command_loop,2,2,1,ls,50.474828,100.00,0,ok,1,,
medium,mosh,command_loop,2,3,1,ls,95.209471,100.00,0,ok,1,,
medium,mosh,command_loop,2,4,1,ls,107.426148,100.00,0,ok,0,,
medium,mosh,command_loop,2,5,1,ls,50.474679,100.00,0,ok,0,,
medium,mosh,command_loop,1,1,2,df -h,104.893479,5.05,0,ok,1,,
medium,mosh,command_loop,1,2,2,df -h,113.254089,100.00,0,ok,1,,
medium,mosh,command_loop,1,3,2,df -h,50.808047,100.00,0,ok,1,,
medium,mosh,command_loop,1,4,2,df -h,110.132536,100.00,0,ok,0,,
medium,mosh,command_loop,1,5,2,df -h,95.831650,100.00,0,ok,0,,
medium,mosh,command_loop,2,1,2,df -h,110.157776,5.05,0,ok,1,,
medium,mosh,command_loop,2,2,2,df -h,539.768785,100.00,0,ok,1,,
medium,mosh,command_loop,2,3,2,df -h,50.252031,100.00,0,ok,1,,
medium,mosh,command_loop,2,4,2,df -h,145.601832,100.00,0,ok,0,,
medium,mosh,command_loop,2,5,2,df -h,50.500289,100.00,0,ok,0,,
medium,ssh3,command_loop,1,1,3,ps aux,105.906730,0.09,0,ok,1,,
medium,ssh3,command_loop,1,2,3,ps aux,191.761890,99.37,0,ok,1,,
medium,ssh3,command_loop,1,3,3,ps aux,112.757276,99.39,0,ok,1,,
medium,ssh3,command_loop,1,4,3,ps aux,461.495532,99.41,6190,ok,0,,
medium,ssh3,command_loop,1,5,3,ps aux,380.082322,69.31,4685,ok,0,,
medium,ssh3,command_loop,2,1,3,ps aux,98.372446,0.09,0,ok,1,,
medium,ssh3,command_loop,2,2,3,ps aux,79.683166,99.47,0,ok,1,,
medium,ssh3,command_loop,2,3,3,ps aux,115.648719,99.41,0,ok,1,,
medium,ssh3,command_loop,2,4,3,ps aux,254.692316,99.46,0,ok,0,,
medium,ssh3,command_loop,2,5,3,ps aux,186.582665,99.46,17,ok,0,,
medium,mosh,command_loop,1,1,4,grep -n root /etc/passwd,114.496429,55.88,0,ok,1,,
medium,mosh,command_loop,1,2,4,grep -n root /etc/passwd,50.468603,100.00,0,ok,1,,
medium,mosh,command_loop,1,3,4,grep -n root /etc/passwd,102.964821,100.00,0,ok,1,,
medium,mosh,command_loop,1,4,4,grep -n root /etc/passwd,50.475380,100.00,0,ok,0,,
medium,mosh,command_loop,1,5,4,grep -n root /etc/passwd,105.378565,100.00,0,ok,0,,
medium,mosh,command_loop,2,1,4,grep -n root /etc/passwd,119.699504,55.88,0,ok,1,,
medium,mosh,command_loop,2,2,4,grep -n root /etc/passwd,50.617805,100.00,0,ok,1,,
medium,mosh,command_loop,2,3,4,grep -n root /etc/passwd,101.428664,100.00,0,ok,1,,
medium,mosh,command_loop,2,4,4,grep -n root /etc/passwd,50.466066,100.00,0,ok,0,,
medium,mosh,command_loop,2,5,4,grep -n root /etc/passwd,101.756458,100.00,0,ok,0,,
medium,ssh,command_loop,1,1,4,grep -n root /etc/passwd,99.250512,55.88,0,ok,1,,
medium,ssh,command_loop,1,2,4,grep -n root /etc/passwd,52.029036,100.00,0,ok,1,,
medium,ssh,command_loop,1,3,4,grep -n root /etc/passwd,81.250726,100.00,0,ok,1,,
medium,ssh,command_loop,1,4,4,grep -n root /etc/passwd,68.169963,100.00,0,ok,0,,
medium,ssh,command_loop,1,5,4,grep -n root /etc/passwd,81.938221,100.00,0,ok,0,,
medium,ssh,command_loop,2,1,4,grep -n root /etc/passwd,108.730483,55.88,0,ok,1,,
medium,ssh,command_loop,2,2,4,grep -n root /etc/passwd,50.444139,100.00,0,ok,1,,
medium,ssh,command_loop,2,3,4,grep -n root /etc/passwd,98.453628,100.00,0,ok,1,,
medium,ssh,command_loop,2,4,4,grep -n root /etc/passwd,53.945504,100.00,0,ok,0,,
medium,ssh,command_loop,2,5,4,grep -n root /etc/passwd,86.922854,100.00,0,ok,0,,
medium,ssh3,command_loop,1,1,1,ls,107.516307,7.76,0,ok,1,,
