scenario,protocol,workload,round_id,sample_id,command_id,command,latency_ms,received_pct,status,warmup,error_type,error_message
default,mosh,command_loop,1,1,2,df -h,51.584633,2.68,ok,1,,
default,mosh,command_loop,1,2,2,df -h,50.772795,100.00,ok,1,,
default,mosh,command_loop,1,3,2,df -h,54.589566,100.00,ok,1,,
default,mosh,command_loop,1,4,2,df -h,50.440644,0.56,ok,0,,
default,mosh,command_loop,1,5,2,df -h,50.352872,100.00,ok,0,,
default,mosh,command_loop,1,6,2,df -h,50.528354,1.98,ok,0,,
default,mosh,command_loop,1,7,2,df -h,52.561196,2.68,ok,0,,
default,mosh,command_loop,1,8,2,df -h,50.474525,100.00,ok,0,,
default,mosh,command_loop,1,9,2,df -h,52.581871,100.00,ok,0,,
default,mosh,command_loop,1,10,2,df -h,53.499330,0.56,ok,0,,
default,mosh,command_loop,1,11,2,df -h,50.379186,100.00,ok,0,,
default,mosh,command_loop,1,12,2,df -h,50.552582,1.98,ok,0,,
default,mosh,command_loop,1,13,2,df -h,53.222350,2.68,ok,0,,
default,mosh,command_loop,1,14,2,df -h,50.328438,100.00,ok,0,,
default,mosh,command_loop,1,15,2,df -h,50.420627,100.00,ok,0,,
default,mosh,command_loop,1,16,2,df -h,52.284513,0.56,ok,0,,
default,mosh,command_loop,1,17,2,df -h,50.324679,100.00,ok,0,,
default,mosh,command_loop,1,18,2,df -h,50.414609,1.98,ok,0,,
default,mosh,command_loop,1,19,2,df -h,52.313772,2.68,ok,0,,
default,mosh,command_loop,1,20,2,df -h,51.170052,100.00,ok,0,,
default,mosh,command_loop,1,21,2,df -h,53.976147,100.00,ok,0,,
default,mosh,command_loop,1,22,2,df -h,51.676226,0.56,ok,0,,
default,mosh,command_loop,1,23,2,df -h,50.264823,100.00,ok,0,,
default,mosh,command_loop,1,24,2,df -h,53.738442,2.68,ok,0,,
default,mosh,command_loop,1,25,2,df -h,52.628808,100.00,ok,0,,
default,mosh,command_loop,1,26,2,df -h,50.530929,100.00,ok,0,,
default,mosh,command_loop,1,27,2,df -h,52.467658,0.56,ok,0,,
default,mosh,command_loop,1,28,2,df -h,50.393384,100.00,ok,0,,
default,mosh,command_loop,1,29,2,df -h,50.679063,1.98,ok,0,,
default,mosh,command_loop,1,30,2,df -h,52.128833,2.68,ok,0,,
default,mosh,command_loop,1,31,2,df -h,51.000749,100.00,ok,0,,
default,mosh,command_loop,1,32,2,df -h,53.808653,100.00,ok,0,,
default,mosh,command_loop,1,33,2,df -h,52.509043,0.56,ok,0,,
default,mosh,command_loop,1,34,2,df -h,50.261502,100.00,ok,0,,
default,mosh,command_loop,1,35,2,df -h,50.506869,1.98,ok,0,,
default,mosh,command_loop,1,36,2,df -h,52.706622,2.68,ok,0,,
default,mosh,command_loop,1,37,2,df -h,50.516782,100.00,ok,0,,
default,mosh,command_loop,1,38,2,df -h,50.672633,100.00,ok,0,,
default,mosh,command_loop,1,39,2,df -h,56.916970,0.56,ok,0,,
default,mosh,command_loop,1,40,2,df -h,50.239379,100.00,ok,0,,
default,mosh,command_loop,1,41,2,df -h,52.647944,2.68,ok,0,,
default,mosh,command_loop,1,42,2,df -h,55.682460,100.00,ok,0,,
default,mosh,command_loop,1,43,2,df -h,50.464419,100.00,ok,0,,
default,mosh,command_loop,1,44,2,df -h,50.706924,0.56,ok,0,,
default,mosh,command_loop,1,45,2,df -h,50.412818,100.00,ok,0,,
default,mosh,command_loop,1,46,2,df -h,50.521916,1.98,ok,0,,
default,mosh,command_loop,1,47,2,df -h,50.776825,2.68,ok,0,,
default,mosh,command_loop,1,48,2,df -h,52.564734,100.00,ok,0,,
default,mosh,command_loop,1,49,2,df -h,50.466844,100.00,ok,0,,
default,mosh,command_loop,1,50,2,df -h,53.840890,0.56,ok,0,,
default,mosh,command_loop,2,1,2,df -h,54.387689,2.68,ok,1,,
