scenario,protocol,workload,round_id,sample_id,command_id,command,latency_ms,received_pct,residual_bytes,status,warmup,error_type,error_message
low,ssh3,command_loop,1,1,4,grep -n root /etc/passwd,50.562763,55.88,0,ok,1,,
low,ssh3,command_loop,1,2,4,grep -n root /etc/passwd,50.533500,100.00,0,ok,1,,
low,ssh3,command_loop,1,3,4,grep -n root /etc/passwd,50.543594,100.00,0,ok,1,,
low,ssh3,command_loop,1,4,4,grep -n root /etc/passwd,50.534129,100.00,0,ok,0,,
low,ssh3,command_loop,1,5,4,grep -n root /etc/passwd,50.556040,100.00,0,ok,0,,
low,ssh3,command_loop,1,6,4,grep -n root /etc/passwd,50.543982,100.00,0,ok,0,,
low,ssh3,command_loop,1,7,4,grep -n root /etc/passwd,50.511792,100.00,0,ok,0,,
low,ssh3,command_loop,1,8,4,grep -n root /etc/passwd,50.535889,100.00,0,ok,0,,
low,ssh3,command_loop,1,9,4,grep -n root /etc/passwd,50.530684,100.00,0,ok,0,,
low,ssh3,command_loop,1,10,4,grep -n root /etc/passwd,50.517275,100.00,0,ok,0,,
low,ssh3,command_loop,1,11,4,grep -n root /etc/passwd,50.509644,100.00,0,ok,0,,
low,ssh3,command_loop,1,12,4,grep -n root /etc/passwd,50.509032,100.00,0,ok,0,,
low,ssh3,command_loop,1,13,4,grep -n root /etc/passwd,50.495122,100.00,0,ok,0,,
low,ssh3,command_loop,1,14,4,grep -n root /etc/passwd,50.511903,100.00,0,ok,0,,
low,ssh3,command_loop,1,15,4,grep -n root /etc/passwd,50.498716,100.00,0,ok,0,,
low,ssh3,command_loop,1,16,4,grep -n root /etc/passwd,50.530496,100.00,0,ok,0,,
low,ssh3,command_loop,1,17,4,grep -n root /etc/passwd,50.570170,100.00,0,ok,0,,
low,ssh3,command_loop,1,18,4,grep -n root /etc/passwd,50.520606,100.00,0,ok,0,,
low,ssh3,command_loop,1,19,4,grep -n root /etc/passwd,50.498639,100.00,0,ok,0,,
low,ssh3,command_loop,1,20,4,grep -n root /etc/passwd,50.500473,100.00,0,ok,0,,
low,ssh3,command_loop,1,21,4,grep -n root /etc/passwd,50.495139,100.00,0,ok,0,,
low,ssh3,command_loop,1,22,4,grep -n root /etc/passwd,50.505418,100.00,0,ok,0,,
low,ssh3,command_loop,1,23,4,grep -n root /etc/passwd,50.503492,100.00,0,ok,0,,
low,ssh3,command_loop,1,24,4,grep -n root /etc/passwd,50.508400,100.00,0,ok,0,,
low,ssh3,command_loop,1,25,4,grep -n root /etc/passwd,50.508770,100.00,0,ok,0,,
low,ssh3,command_loop,1,26,4,grep -n root /etc/passwd,50.506567,100.00,0,ok,0,,
low,ssh3,command_loop,1,27,4,grep -n root /etc/passwd,50.516254,100.00,0,ok,0,,
