scenario,protocol,command,trial_id,session_setup_ms
low,ssh,ls,1,843.172255
low,ssh,ls,2,829.174569
low,ssh,ls,3,851.917553
low,ssh,ls,4,824.478298
low,ssh,ls,5,787.613949
low,ssh,ls,6,846.609536
low,ssh,ls,7,749.206057
low,ssh,ls,8,840.898727
low,ssh,ls,9,741.178325
low,ssh,ls,10,812.424626
low,ssh,df -h,1,810.249277
low,ssh,df -h,2,801.578086
low,ssh,df -h,3,800.253613
low,ssh,df -h,4,848.826283
low,ssh,df -h,5,812.491194
low,ssh,df -h,6,856.432269
low,ssh,df -h,7,852.013140
low,ssh,df -h,8,850.692594
low,ssh,df -h,9,865.950656
low,ssh,df -h,10,810.157673
low,ssh,ps aux,1,808.089316
low,ssh,ps aux,2,787.400446
low,ssh,ps aux,3,810.903245
low,ssh,ps aux,4,806.271872
low,ssh,ps aux,5,846.175511
low,ssh,ps aux,6,808.083884
low,ssh,ps aux,7,811.527643
low,ssh,ps aux,8,807.480653
low,ssh,ps aux,9,789.919896
low,ssh,ps aux,10,827.127030
low,ssh,grep -n root /etc/passwd,1,744.607711
low,ssh,grep -n root /etc/passwd,2,731.436722
low,ssh,grep -n root /etc/passwd,3,837.124035
low,ssh,grep -n root /etc/passwd,4,859.619490
low,ssh,grep -n root /etc/passwd,5,858.194788
low,ssh,grep -n root /etc/passwd,6,818.967143
low,ssh,grep -n root /etc/passwd,7,809.970280
low,ssh,grep -n root /etc/passwd,8,833.364092
low,ssh,grep -n root /etc/passwd,9,869.524078
low,ssh,grep -n root /etc/passwd,10,789.702204
low,ssh3,ls,1,389.404474
low,ssh3,ls,2,430.395580
low,ssh3,ls,3,392.629743
low,ssh3,ls,4,408.695619
low,ssh3,ls,5,405.559456
low,ssh3,ls,6,420.773067
low,ssh3,ls,7,407.367006
low,ssh3,ls,8,444.213486
low,ssh3,ls,9,425.009571
low,ssh3,ls,10,385.168420
low,ssh3,df -h,1,412.844532
low,ssh3,df -h,2,410.387496
low,ssh3,df -h,3,403.484026
low,ssh3,df -h,4,438.220834
low,ssh3,df -h,5,385.151322
low,ssh3,df -h,6,387.813510
low,ssh3,df -h,7,385.634708
low,ssh3,df -h,8,411.600224
low,ssh3,df -h,9,351.955039
low,ssh3,df -h,10,404.698445
low,ssh3,ps aux,1,424.180826
low,ssh3,ps aux,2,346.826546
low,ssh3,ps aux,3,328.513213
low,ssh3,ps aux,4,324.994377
low,ssh3,ps aux,5,338.993526
low,ssh3,ps aux,6,329.641357
low,ssh3,ps aux,7,319.716083
low,ssh3,ps aux,8,310.888691
low,ssh3,ps aux,9,354.643422
low,ssh3,ps aux,10,352.161006
low,ssh3,grep -n root /etc/passwd,1,281.902870
low,ssh3,grep -n root /etc/passwd,2,389.686257
low,ssh3,grep -n root /etc/passwd,3,365.574998
low,ssh3,grep -n root /etc/passwd,4,383.361704
low,ssh3,grep -n root /etc/passwd,5,412.157175
low,ssh3,grep -n root /etc/passwd,6,398.423729
low,ssh3,grep -n root /etc/passwd,7,384.049090
low,ssh3,grep -n root /etc/passwd,8,374.191908
low,ssh3,grep -n root /etc/passwd,9,391.152382
low,ssh3,grep -n root /etc/passwd,10,455.432701
low,mosh,ls,1,1143.866873
low,mosh,ls,2,1123.865797
low,mosh,ls,3,1097.995777
low,mosh,ls,4,1102.494062
low,mosh,ls,5,1116.236349
low,mosh,ls,6,1107.408861
low,mosh,ls,7,1110.898409
low,mosh,ls,8,1108.104505
low,mosh,ls,9,1140.002881
low,mosh,ls,10,1155.159049
low,mosh,df -h,1,1119.784681
low,mosh,df -h,2,1184.649346
low,mosh,df -h,3,1102.314673
low,mosh,df -h,4,1202.530794
low,mosh,df -h,5,1099.227178
low,mosh,df -h,6,1190.998718
low,mosh,df -h,7,1092.854544
low,mosh,df -h,8,1108.791965
low,mosh,df -h,9,1110.310390
low,mosh,df -h,10,1192.041758
low,mosh,ps aux,1,1186.772404
low,mosh,ps aux,2,1161.713022
low,mosh,ps aux,3,1202.459936
low,mosh,ps aux,4,1128.255834
low,mosh,ps aux,5,1164.696630
low,mosh,ps aux,6,1145.198980
low,mosh,ps aux,7,1203.742091
low,mosh,ps aux,8,1165.478867
low,mosh,ps aux,9,1210.403435
low,mosh,ps aux,10,1155.251112
low,mosh,grep -n root /etc/passwd,1,1183.991781
low,mosh,grep -n root /etc/passwd,2,1152.693234
low,mosh,grep -n root /etc/passwd,3,1102.096673
low,mosh,grep -n root /etc/passwd,4,1087.184715
low,mosh,grep -n root /etc/passwd,5,1103.386746
low,mosh,grep -n root /etc/passwd,6,1111.746771
low,mosh,grep -n root /etc/passwd,7,1162.447818
low,mosh,grep -n root /etc/passwd,8,1093.484749
low,mosh,grep -n root /etc/passwd,9,1089.130631
low,mosh,grep -n root /etc/passwd,10,1091.085267
