scenario,protocol,workload,round_id,sample_id,command_id,command,latency_ms,output_bytes,throughput_kib_s,received_pct,status,error_type,error_message
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,1,1,find /etc /var/log -type f 2>/dev/null,613.369071,28772,45.808727,100.00,ok,,
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,2,1,find /etc /var/log -type f 2>/dev/null,465.254914,28772,60.391960,100.00,ok,,
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,3,1,find /etc /var/log -type f 2>/dev/null,422.245510,28772,66.543410,100.00,ok,,
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,4,1,find /etc /var/log -type f 2>/dev/null,241.300318,28772,116.442682,100.00,ok,,
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,5,1,find /etc /var/log -type f 2>/dev/null,512.042026,28772,54.873731,100.00,ok,,
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,6,1,find /etc /var/log -type f 2>/dev/null,523.202658,28772,53.703199,100.00,ok,,
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,7,1,find /etc /var/log -type f 2>/dev/null,397.465253,28772,70.692107,100.00,ok,,
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,8,1,find /etc /var/log -type f 2>/dev/null,506.287444,28772,55.497438,100.00,ok,,
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,9,1,find /etc /var/log -type f 2>/dev/null,698.003768,28772,40.254305,100.00,ok,,
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,10,1,find /etc /var/log -type f 2>/dev/null,711.604439,28772,39.484937,100.00,ok,,
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,11,1,find /etc /var/log -type f 2>/dev/null,844.143477,28772,33.285404,100.00,ok,,
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,12,1,find /etc /var/log -type f 2>/dev/null,648.928320,28772,43.298551,100.00,ok,,
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,13,1,find /etc /var/log -type f 2>/dev/null,585.738547,28772,47.969621,100.00,ok,,
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,14,1,find /etc /var/log -type f 2>/dev/null,781.063062,28772,35.973608,100.00,ok,,
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,15,1,find /etc /var/log -type f 2>/dev/null,634.129884,28772,44.308992,100.00,ok,,
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,16,1,find /etc /var/log -type f 2>/dev/null,631.627546,28772,44.484533,100.00,ok,,
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,17,1,find /etc /var/log -type f 2>/dev/null,847.213895,28772,33.164773,100.00,ok,,
