scenario,protocol,workload,round_id,sample_id,command_id,command,latency_ms,output_bytes,throughput_kib_s,received_pct,status,error_type,error_message
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,1,1,find /etc /var/log -type f 2>/dev/null,53.846291,28772,521.812287,100.00,ok,,
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,2,1,find /etc /var/log -type f 2>/dev/null,50.861260,28772,552.437282,100.00,ok,,
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,3,1,find /etc /var/log -type f 2>/dev/null,42.680305,28772,658.328385,100.00,ok,,
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,4,1,find /etc /var/log -type f 2>/dev/null,47.380274,28772,593.024351,100.00,ok,,
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,5,1,find /etc /var/log -type f 2>/dev/null,40.891275,28772,687.130843,100.00,ok,,
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,6,1,find /etc /var/log -type f 2>/dev/null,41.159550,28772,682.652173,100.00,ok,,
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,7,1,find /etc /var/log -type f 2>/dev/null,45.950035,28772,611.482804,100.00,ok,,
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,8,1,find /etc /var/log -type f 2>/dev/null,45.737816,28772,614.320025,100.00,ok,,
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,9,1,find /etc /var/log -type f 2>/dev/null,42.241108,28772,665.173277,100.00,ok,,
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,10,1,find /etc /var/log -type f 2>/dev/null,44.703590,28772,628.532434,100.00,ok,,
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,11,1,find /etc /var/log -type f 2>/dev/null,54.998496,28772,510.880448,100.00,ok,,
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,12,1,find /etc /var/log -type f 2>/dev/null,51.724562,28772,543.216901,100.00,ok,,
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,13,1,find /etc /var/log -type f 2>/dev/null,49.775351,28772,564.489364,100.00,ok,,
