scenario,protocol,workload,round_id,sample_id,command_id,command,latency_ms,output_bytes,throughput_kib_s,received_pct,status,error_type,error_message
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,1,1,find /etc /var/log -type f 2>/dev/null,833.460883,28772,33.712028,100.00,ok,,
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,2,1,find /etc /var/log -type f 2>/dev/null,411.527811,28772,68.276446,100.00,ok,,
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,3,1,find /etc /var/log -type f 2>/dev/null,408.742554,28772,68.741696,100.00,ok,,
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,4,1,find /etc /var/log -type f 2>/dev/null,307.943072,28772,91.243021,100.00,ok,,
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,5,1,find /etc /var/log -type f 2>/dev/null,339.824368,28772,82.682876,100.00,ok,,
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,6,1,find /etc /var/log -type f 2>/dev/null,463.158184,28772,60.665356,100.00,ok,,
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,7,1,find /etc /var/log -type f 2>/dev/null,508.747122,28772,55.229121,100.00,ok,,
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,8,1,find /etc /var/log -type f 2>/dev/null,510.706076,28772,55.017274,100.00,ok,,
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,9,1,find /etc /var/log -type f 2>/dev/null,401.518582,28772,69.978471,100.00,ok,,
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,10,1,find /etc /var/log -type f 2>/dev/null,462.993502,28772,60.686934,100.00,ok,,
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,11,1,find /etc /var/log -type f 2>/dev/null,820.081631,28772,34.262024,100.00,ok,,
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,12,1,find /etc /var/log -type f 2>/dev/null,631.121602,28772,44.520194,100.00,ok,,
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,13,1,find /etc /var/log -type f 2>/dev/null,518.525840,28772,54.187572,100.00,ok,,
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,14,1,find /etc /var/log -type f 2>/dev/null,503.899711,28772,55.760414,100.00,ok,,
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,15,1,find /etc /var/log -type f 2>/dev/null,833.703165,28772,33.702231,100.00,ok,,
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,16,1,find /etc /var/log -type f 2>/dev/null,394.127465,28772,71.290785,100.00,ok,,
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,17,1,find /etc /var/log -type f 2>/dev/null,392.441785,28772,71.597005,100.00,ok,,
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,18,1,find /etc /var/log -type f 2>/dev/null,305.248186,28772,92.048561,100.00,ok,,
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,19,1,find /etc /var/log -type f 2>/dev/null,411.944143,28772,68.207442,100.00,ok,,
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,20,1,find /etc /var/log -type f 2>/dev/null,294.790629,28772,95.313940,100.00,ok,,
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,21,1,find /etc /var/log -type f 2>/dev/null,343.096974,28772,81.894212,100.00,ok,,
