scenario,protocol,command,trial_id,session_setup_ms
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,1,2047.744520
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,2,1637.112678
unspecified,ssh,find /etc /var/log -type f 2>/dev/null,3,1759.294463
unspecified,ssh,"cid=$(docker ps -q | head -n 1); [ -n ""$cid"" ] && docker logs ""$cid"" 2>/dev/null || true",1,1804.160377
unspecified,ssh,"cid=$(docker ps -q | head -n 1); [ -n ""$cid"" ] && docker logs ""$cid"" 2>/dev/null || true",2,1738.377617
unspecified,ssh,"cid=$(docker ps -q | head -n 1); [ -n ""$cid"" ] && docker logs ""$cid"" 2>/dev/null || true",3,2053.851382
unspecified,ssh,git log --oneline -500 2>/dev/null,1,1721.687944
unspecified,ssh,git log --oneline -500 2>/dev/null,2,2274.643611
unspecified,ssh,git log --oneline -500 2>/dev/null,3,1753.440993
unspecified,ssh3,find /etc /var/log -type f 2>/dev/null,1,562.842194
unspecified,ssh3,find /etc /var/log -type f 2>/dev/null,2,971.058461
unspecified,ssh3,find /etc /var/log -type f 2>/dev/null,3,583.712398
unspecified,ssh3,"cid=$(docker ps -q | head -n 1); [ -n ""$cid"" ] && docker logs ""$cid"" 2>/dev/null || true",1,546.315963
unspecified,ssh3,"cid=$(docker ps -q | head -n 1); [ -n ""$cid"" ] && docker logs ""$cid"" 2>/dev/null || true",2,586.691525
unspecified,ssh3,"cid=$(docker ps -q | head -n 1); [ -n ""$cid"" ] && docker logs ""$cid"" 2>/dev/null || true",3,591.413180
unspecified,ssh3,git log --oneline -500 2>/dev/null,1,593.163085
unspecified,ssh3,git log --oneline -500 2>/dev/null,2,608.820405
unspecified,ssh3,git log --oneline -500 2>/dev/null,3,673.828575
unspecified,mosh,find /etc /var/log -type f 2>/dev/null,1,2239.733996
unspecified,mosh,find /etc /var/log -type f 2>/dev/null,2,2251.845791
unspecified,mosh,find /etc /var/log -type f 2>/dev/null,3,2166.864072
unspecified,mosh,"cid=$(docker ps -q | head -n 1); [ -n ""$cid"" ] && docker logs ""$cid"" 2>/dev/null || true",1,2196.477557
unspecified,mosh,"cid=$(docker ps -q | head -n 1); [ -n ""$cid"" ] && docker logs ""$cid"" 2>/dev/null || true",2,2695.122807
unspecified,mosh,"cid=$(docker ps -q | head -n 1); [ -n ""$cid"" ] && docker logs ""$cid"" 2>/dev/null || true",3,2218.396248
unspecified,mosh,git log --oneline -500 2>/dev/null,1,2541.662205
unspecified,mosh,git log --oneline -500 2>/dev/null,2,2184.377609
unspecified,mosh,git log --oneline -500 2>/dev/null,3,2225.585775
