[ ssh/interactive_shell ] trial  1/10 opening session...
[ ssh/interactive_shell ] trial  1/10 session_setup=251.5 ms
[ ssh/interactive_shell ] trial  1 measure   1/100: 2.02 ms
[ ssh/interactive_shell ] trial  1 measure   2/100: 21.26 ms
[ ssh/interactive_shell ] trial  1 measure   3/100: 20.61 ms
[ ssh/interactive_shell ] trial  1 measure   4/100: 18.04 ms
[ ssh/interactive_shell ] trial  1 measure   5/100: 19.37 ms
[ ssh/interactive_shell ] trial  1 measure   6/100: 19.41 ms
[ ssh/interactive_shell ] trial  1 measure   7/100: 19.86 ms
[ ssh/interactive_shell ] trial  1 measure   8/100: 19.90 ms
[ ssh/interactive_shell ] trial  1 measure   9/100: 19.48 ms
[ ssh/interactive_shell ] trial  1 measure  10/100: 20.08 ms
[ ssh/interactive_shell ] trial  1 measure  11/100: 19.22 ms
[ ssh/interactive_shell ] trial  1 measure  12/100: 20.27 ms
[ ssh/interactive_shell ] trial  1 measure  13/100: 20.80 ms
[ ssh/interactive_shell ] trial  1 measure  14/100: 18.86 ms
[ ssh/interactive_shell ] trial  1 measure  15/100: 19.82 ms
[ ssh/interactive_shell ] trial  1 measure  16/100: 20.53 ms
[ ssh/interactive_shell ] trial  1 measure  17/100: 19.20 ms
[ ssh/interactive_shell ] trial  1 measure  18/100: 19.43 ms
[ ssh/interactive_shell ] trial  1 measure  19/100: 18.89 ms
[ ssh/interactive_shell ] trial  1 measure  20/100: 20.31 ms
[ ssh/interactive_shell ] trial  1 measure  21/100: 19.25 ms
[ ssh/interactive_shell ] trial  1 measure  22/100: 20.36 ms
[ ssh/interactive_shell ] trial  1 measure  23/100: 20.35 ms
[ ssh/interactive_shell ] trial  1 measure  24/100: 19.16 ms
[ ssh/interactive_shell ] trial  1 measure  25/100: 19.56 ms
[ ssh/interactive_shell ] trial  1 measure  26/100: 20.76 ms
[ ssh/interactive_shell ] trial  1 measure  27/100: 18.99 ms
[ ssh/interactive_shell ] trial  1 measure  28/100: 19.53 ms
[ ssh/interactive_shell ] trial  1 measure  29/100: 19.04 ms
[ ssh/interactive_shell ] trial  1 measure  30/100: 19.38 ms
[ ssh/interactive_shell ] trial  1 measure  31/100: 20.21 ms
[ ssh/interactive_shell ] trial  1 measure  32/100: 19.49 ms
[ ssh/interactive_shell ] trial  1 measure  33/100: 20.72 ms
[ ssh/interactive_shell ] trial  1 measure  34/100: 17.98 ms
[ ssh/interactive_shell ] trial  1 measure  35/100: 20.92 ms
[ ssh/interactive_shell ] trial  1 measure  36/100: 19.05 ms
[ ssh/interactive_shell ] trial  1 measure  37/100: 19.81 ms
[ ssh/interactive_shell ] trial  1 measure  38/100: 21.32 ms
[ ssh/interactive_shell ] trial  1 measure  39/100: 18.96 ms
[ ssh/interactive_shell ] trial  1 measure  40/100: 19.99 ms
[ ssh/interactive_shell ] trial  1 measure  41/100: 18.35 ms
[ ssh/interactive_shell ] trial  1 measure  42/100: 20.24 ms
[ ssh/interactive_shell ] trial  1 measure  43/100: 18.75 ms
[ ssh/interactive_shell ] trial  1 measure  44/100: 21.13 ms
[ ssh/interactive_shell ] trial  1 measure  45/100: 18.42 ms
[ ssh/interactive_shell ] trial  1 measure  46/100: 20.25 ms
[ ssh/interactive_shell ] trial  1 measure  47/100: 19.49 ms
[ ssh/interactive_shell ] trial  1 measure  48/100: 20.44 ms
[ ssh/interactive_shell ] trial  1 measure  49/100: 19.65 ms
[ ssh/interactive_shell ] trial  1 measure  50/100: 20.46 ms
[ ssh/interactive_shell ] trial  1 measure  51/100: 20.16 ms
[ ssh/interactive_shell ] trial  1 measure  52/100: 20.64 ms
[ ssh/interactive_shell ] trial  1 measure  53/100: 19.56 ms
[ ssh/interactive_shell ] trial  1 measure  54/100: 19.11 ms
[ ssh/interactive_shell ] trial  1 measure  55/100: 19.06 ms
[ ssh/interactive_shell ] trial  1 measure  56/100: 20.38 ms
[ ssh/interactive_shell ] trial  1 measure  57/100: 20.42 ms
[ ssh/interactive_shell ] trial  1 measure  58/100: 21.18 ms
[ ssh/interactive_shell ] trial  1 measure  59/100: 20.47 ms
[ ssh/interactive_shell ] trial  1 measure  60/100: 20.10 ms
[ ssh/interactive_shell ] trial  1 measure  61/100: 20.16 ms
[ ssh/interactive_shell ] trial  1 measure  62/100: 19.62 ms
[ ssh/interactive_shell ] trial  1 measure  63/100: 19.34 ms
[ ssh/interactive_shell ] trial  1 measure  64/100: 19.30 ms
[ ssh/interactive_shell ] trial  1 measure  65/100: 19.45 ms
[ ssh/interactive_shell ] trial  1 measure  66/100: 18.45 ms
[ ssh/interactive_shell ] trial  1 measure  67/100: 20.66 ms
[ ssh/interactive_shell ] trial  1 measure  68/100: 20.14 ms
[ ssh/interactive_shell ] trial  1 measure  69/100: 21.11 ms
[ ssh/interactive_shell ] trial  1 measure  70/100: 19.29 ms
[ ssh/interactive_shell ] trial  1 measure  71/100: 20.13 ms
[ ssh/interactive_shell ] trial  1 measure  72/100: 20.03 ms
[ ssh/interactive_shell ] trial  1 measure  73/100: 19.81 ms
[ ssh/interactive_shell ] trial  1 measure  74/100: 21.01 ms
[ ssh/interactive_shell ] trial  1 measure  75/100: 20.46 ms
[ ssh/interactive_shell ] trial  1 measure  76/100: 19.99 ms
[ ssh/interactive_shell ] trial  1 measure  77/100: 18.87 ms
[ ssh/interactive_shell ] trial  1 measure  78/100: 20.68 ms
[ ssh/interactive_shell ] trial  1 measure  79/100: 21.09 ms
[ ssh/interactive_shell ] trial  1 measure  80/100: 20.36 ms
[ ssh/interactive_shell ] trial  1 measure  81/100: 20.27 ms
[ ssh/interactive_shell ] trial  1 measure  82/100: 19.00 ms
[ ssh/interactive_shell ] trial  1 measure  83/100: 19.48 ms
[ ssh/interactive_shell ] trial  1 measure  84/100: 20.03 ms
[ ssh/interactive_shell ] trial  1 measure  85/100: 19.76 ms
[ ssh/interactive_shell ] trial  1 measure  86/100: 18.61 ms
[ ssh/interactive_shell ] trial  1 measure  87/100: 20.10 ms
[ ssh/interactive_shell ] trial  1 measure  88/100: 20.30 ms
[ ssh/interactive_shell ] trial  1 measure  89/100: 20.31 ms
[ ssh/interactive_shell ] trial  1 measure  90/100: 22.04 ms
[ ssh/interactive_shell ] trial  1 measure  91/100: 18.17 ms
[ ssh/interactive_shell ] trial  1 measure  92/100: 20.23 ms
[ ssh/interactive_shell ] trial  1 measure  93/100: 23.30 ms
[ ssh/interactive_shell ] trial  1 measure  94/100: 17.02 ms
[ ssh/interactive_shell ] trial  1 measure  95/100: 19.70 ms
[ ssh/interactive_shell ] trial  1 measure  96/100: 19.36 ms
[ ssh/interactive_shell ] trial  1 measure  97/100: 26.02 ms
[ ssh/interactive_shell ] trial  1 measure  98/100: 14.26 ms
[ ssh/interactive_shell ] trial  1 measure  99/100: 19.09 ms
[ ssh/interactive_shell ] trial  1 measure 100/100: 19.80 ms
[ ssh/interactive_shell ] trial  2/10 opening session...
[ ssh/interactive_shell ] trial  2/10 session_setup=261.6 ms
[ ssh/interactive_shell ] trial  2 measure   1/100: 3.54 ms
[ ssh/interactive_shell ] trial  2 measure   2/100: 19.93 ms
[ ssh/interactive_shell ] trial  2 measure   3/100: 19.18 ms
[ ssh/interactive_shell ] trial  2 measure   4/100: 20.82 ms
[ ssh/interactive_shell ] trial  2 measure   5/100: 20.64 ms
[ ssh/interactive_shell ] trial  2 measure   6/100: 19.89 ms
[ ssh/interactive_shell ] trial  2 measure   7/100: 20.04 ms
[ ssh/interactive_shell ] trial  2 measure   8/100: 20.03 ms
[ ssh/interactive_shell ] trial  2 measure   9/100: 19.68 ms
[ ssh/interactive_shell ] trial  2 measure  10/100: 20.86 ms
[ ssh/interactive_shell ] trial  2 measure  11/100: 19.61 ms
[ ssh/interactive_shell ] trial  2 measure  12/100: 20.65 ms
[ ssh/interactive_shell ] trial  2 measure  13/100: 18.29 ms
[ ssh/interactive_shell ] trial  2 measure  14/100: 20.96 ms
[ ssh/interactive_shell ] trial  2 measure  15/100: 20.67 ms
[ ssh/interactive_shell ] trial  2 measure  16/100: 18.91 ms
