protocol,workload,round_id,sample_id,latency_ms,status,error_type,error_message
ssh,interactive_shell,1,1,2.018534,ok,,
ssh,interactive_shell,1,2,21.256841,ok,,
ssh,interactive_shell,1,3,20.605443,ok,,
ssh,interactive_shell,1,4,18.040230,ok,,
ssh,interactive_shell,1,5,19.373970,ok,,
ssh,interactive_shell,1,6,19.407831,ok,,
ssh,interactive_shell,1,7,19.855140,ok,,
ssh,interactive_shell,1,8,19.899813,ok,,
ssh,interactive_shell,1,9,19.483688,ok,,
ssh,interactive_shell,1,10,20.079773,ok,,
ssh,interactive_shell,1,11,19.219896,ok,,
ssh,interactive_shell,1,12,20.266676,ok,,
ssh,interactive_shell,1,13,20.799205,ok,,
ssh,interactive_shell,1,14,18.858648,ok,,
ssh,interactive_shell,1,15,19.822413,ok,,
ssh,interactive_shell,1,16,20.534347,ok,,
ssh,interactive_shell,1,17,19.199561,ok,,
ssh,interactive_shell,1,18,19.428357,ok,,
ssh,interactive_shell,1,19,18.894811,ok,,
ssh,interactive_shell,1,20,20.314147,ok,,
ssh,interactive_shell,1,21,19.248674,ok,,
ssh,interactive_shell,1,22,20.357007,ok,,
ssh,interactive_shell,1,23,20.349413,ok,,
ssh,interactive_shell,1,24,19.156246,ok,,
ssh,interactive_shell,1,25,19.555382,ok,,
ssh,interactive_shell,1,26,20.761022,ok,,
ssh,interactive_shell,1,27,18.992256,ok,,
ssh,interactive_shell,1,28,19.527231,ok,,
ssh,interactive_shell,1,29,19.042091,ok,,
ssh,interactive_shell,1,30,19.376822,ok,,
ssh,interactive_shell,1,31,20.213146,ok,,
ssh,interactive_shell,1,32,19.494392,ok,,
ssh,interactive_shell,1,33,20.715481,ok,,
ssh,interactive_shell,1,34,17.977314,ok,,
ssh,interactive_shell,1,35,20.921035,ok,,
ssh,interactive_shell,1,36,19.045450,ok,,
ssh,interactive_shell,1,37,19.813675,ok,,
ssh,interactive_shell,1,38,21.324601,ok,,
ssh,interactive_shell,1,39,18.959320,ok,,
ssh,interactive_shell,1,40,19.988357,ok,,
ssh,interactive_shell,1,41,18.347143,ok,,
ssh,interactive_shell,1,42,20.237869,ok,,
