[ ssh/interactive_shell ] trial  1/3 opening session...
[ ssh/interactive_shell ] trial  1/3 session_setup=4185.2 ms
[ ssh/interactive_shell ] trial  1 measure   1/100: 485.28 ms
[ ssh/interactive_shell ] trial  1 measure   2/100: 235.80 ms
[ ssh/interactive_shell ] trial  1 measure   3/100: 262.78 ms
[ ssh/interactive_shell ] trial  1 measure   4/100: 244.64 ms
[ ssh/interactive_shell ] trial  1 measure   5/100: 292.74 ms
[ ssh/interactive_shell ] trial  1 measure   6/100: 228.61 ms
[ ssh/interactive_shell ] trial  1 measure   7/100: 256.96 ms
[ ssh/interactive_shell ] trial  1 measure   8/100: 217.24 ms
[ ssh/interactive_shell ] trial  1 measure   9/100: 362.06 ms
[ ssh/interactive_shell ] trial  1 measure  10/100: 308.36 ms
[ ssh/interactive_shell ] trial  1 measure  11/100: 201.83 ms
[ ssh/interactive_shell ] trial  1 measure  12/100: 210.79 ms
[ ssh/interactive_shell ] trial  1 measure  13/100: 193.47 ms
[ ssh/interactive_shell ] trial  1 measure  14/100: 206.70 ms
[ ssh/interactive_shell ] trial  1 measure  15/100: 274.52 ms
[ ssh/interactive_shell ] trial  1 measure  16/100: 288.43 ms
[ ssh/interactive_shell ] trial  1 measure  17/100: 421.96 ms
[ ssh/interactive_shell ] trial  1 measure  18/100: 319.07 ms
[ ssh/interactive_shell ] trial  1 measure  19/100: 509.15 ms
[ ssh/interactive_shell ] trial  1 measure  20/100: 190.82 ms
[ ssh/interactive_shell ] trial  1 measure  21/100: 263.72 ms
[ ssh/interactive_shell ] trial  1 measure  22/100: 211.83 ms
[ ssh/interactive_shell ] trial  1 measure  23/100: 252.92 ms
[ ssh/interactive_shell ] trial  1 measure  24/100: 283.97 ms
[ ssh/interactive_shell ] trial  1 measure  25/100: 279.05 ms
[ ssh/interactive_shell ] trial  1 measure  26/100: 223.53 ms
[ ssh/interactive_shell ] trial  1 measure  27/100: 266.80 ms
[ ssh/interactive_shell ] trial  1 measure  28/100: 283.36 ms
[ ssh/interactive_shell ] trial  1 measure  29/100: 469.47 ms
[ ssh/interactive_shell ] trial  1 measure  30/100: 257.99 ms
[ ssh/interactive_shell ] trial  1 measure  31/100: 183.48 ms
[ ssh/interactive_shell ] trial  1 measure  32/100: 234.58 ms
[ ssh/interactive_shell ] trial  1 measure  33/100: 227.19 ms
[ ssh/interactive_shell ] trial  1 measure  34/100: 197.38 ms
[ ssh/interactive_shell ] trial  1 measure  35/100: 225.11 ms
[ ssh/interactive_shell ] trial  1 measure  36/100: 285.03 ms
[ ssh/interactive_shell ] trial  1 measure  37/100: 270.17 ms
[ ssh/interactive_shell ] trial  1 measure  38/100: 256.62 ms
[ ssh/interactive_shell ] trial  1 measure  39/100: 413.23 ms
[ ssh/interactive_shell ] trial  1 measure  40/100: 230.03 ms
[ ssh/interactive_shell ] trial  1 measure  41/100: 430.81 ms
[ ssh/interactive_shell ] trial  1 measure  42/100: 284.60 ms
[ ssh/interactive_shell ] trial  1 measure  43/100: 188.20 ms
[ ssh/interactive_shell ] trial  1 measure  44/100: 201.12 ms
[ ssh/interactive_shell ] trial  1 measure  45/100: 282.49 ms
[ ssh/interactive_shell ] trial  1 measure  46/100: 241.45 ms
[ ssh/interactive_shell ] trial  1 measure  47/100: 162.79 ms
[ ssh/interactive_shell ] trial  1 measure  48/100: 205.79 ms
[ ssh/interactive_shell ] trial  1 measure  49/100: 213.64 ms
[ ssh/interactive_shell ] trial  1 measure  50/100: 209.48 ms
[ ssh/interactive_shell ] trial  1 measure  51/100: 643.35 ms
[ ssh/interactive_shell ] trial  1 measure  52/100: 257.71 ms
[ ssh/interactive_shell ] trial  1 measure  53/100: 271.39 ms
[ ssh/interactive_shell ] trial  1 measure  54/100: 330.26 ms
[ ssh/interactive_shell ] trial  1 measure  55/100: 312.77 ms
[ ssh/interactive_shell ] trial  1 measure  56/100: 343.97 ms
[ ssh/interactive_shell ] trial  1 measure  57/100: 242.42 ms
[ ssh/interactive_shell ] trial  1 measure  58/100: 221.48 ms
