protocol,workload,round_id,sample_id,latency_ms,status,error_type,error_message
ssh,interactive_shell,1,1,485.281028,ok,,
ssh,interactive_shell,1,2,235.804881,ok,,
ssh,interactive_shell,1,3,262.776747,ok,,
ssh,interactive_shell,1,4,244.635318,ok,,
ssh,interactive_shell,1,5,292.744246,ok,,
ssh,interactive_shell,1,6,228.606843,ok,,
ssh,interactive_shell,1,7,256.960535,ok,,
ssh,interactive_shell,1,8,217.241103,ok,,
ssh,interactive_shell,1,9,362.064437,ok,,
ssh,interactive_shell,1,10,308.364446,ok,,
ssh,interactive_shell,1,11,201.832643,ok,,
ssh,interactive_shell,1,12,210.788468,ok,,
ssh,interactive_shell,1,13,193.467221,ok,,
ssh,interactive_shell,1,14,206.704359,ok,,
ssh,interactive_shell,1,15,274.523984,ok,,
ssh,interactive_shell,1,16,288.434359,ok,,
ssh,interactive_shell,1,17,421.958471,ok,,
ssh,interactive_shell,1,18,319.068947,ok,,
ssh,interactive_shell,1,19,509.154629,ok,,
ssh,interactive_shell,1,20,190.818419,ok,,
ssh,interactive_shell,1,21,263.715908,ok,,
ssh,interactive_shell,1,22,211.825666,ok,,
ssh,interactive_shell,1,23,252.920443,ok,,
ssh,interactive_shell,1,24,283.972325,ok,,
ssh,interactive_shell,1,25,279.045294,ok,,
ssh,interactive_shell,1,26,223.529367,ok,,
ssh,interactive_shell,1,27,266.802984,ok,,
ssh,interactive_shell,1,28,283.358513,ok,,
ssh,interactive_shell,1,29,469.470103,ok,,
ssh,interactive_shell,1,30,257.986584,ok,,
ssh,interactive_shell,1,31,183.475344,ok,,
ssh,interactive_shell,1,32,234.584071,ok,,
ssh,interactive_shell,1,33,227.193311,ok,,
ssh,interactive_shell,1,34,197.375256,ok,,
ssh,interactive_shell,1,35,225.110451,ok,,
ssh,interactive_shell,1,36,285.027430,ok,,
ssh,interactive_shell,1,37,270.170874,ok,,
ssh,interactive_shell,1,38,256.620905,ok,,
ssh,interactive_shell,1,39,413.225661,ok,,
ssh,interactive_shell,1,40,230.030667,ok,,
ssh,interactive_shell,1,41,430.806832,ok,,
ssh,interactive_shell,1,42,284.598210,ok,,
ssh,interactive_shell,1,43,188.201079,ok,,
ssh,interactive_shell,1,44,201.123422,ok,,
ssh,interactive_shell,1,45,282.487015,ok,,
ssh,interactive_shell,1,46,241.454980,ok,,
ssh,interactive_shell,1,47,162.789169,ok,,
ssh,interactive_shell,1,48,205.792935,ok,,
ssh,interactive_shell,1,49,213.644785,ok,,
ssh,interactive_shell,1,50,209.475769,ok,,
ssh,interactive_shell,1,51,643.353121,ok,,
ssh,interactive_shell,1,52,257.711435,ok,,
ssh,interactive_shell,1,53,271.393071,ok,,
ssh,interactive_shell,1,54,330.258832,ok,,
ssh,interactive_shell,1,55,312.765457,ok,,
ssh,interactive_shell,1,56,343.974523,ok,,
ssh,interactive_shell,1,57,242.417456,ok,,
ssh,interactive_shell,1,58,221.484875,ok,,
ssh,interactive_shell,1,59,252.831922,ok,,
ssh,interactive_shell,1,60,460.464366,ok,,
ssh,interactive_shell,1,61,349.551680,ok,,
ssh,interactive_shell,1,62,353.107310,ok,,
ssh,interactive_shell,1,63,202.052379,ok,,
ssh,interactive_shell,1,64,169.694560,ok,,
ssh,interactive_shell,1,65,297.253848,ok,,
ssh,interactive_shell,1,66,204.396478,ok,,
ssh,interactive_shell,1,67,244.079725,ok,,
ssh,interactive_shell,1,68,198.301527,ok,,
ssh,interactive_shell,1,69,332.686356,ok,,
ssh,interactive_shell,1,70,441.886125,ok,,
ssh,interactive_shell,1,71,242.486992,ok,,
ssh,interactive_shell,1,72,525.742168,ok,,
ssh,interactive_shell,1,73,373.263133,ok,,
ssh,interactive_shell,1,74,216.281196,ok,,
ssh,interactive_shell,1,75,212.110532,ok,,
ssh,interactive_shell,1,76,237.918144,ok,,
ssh,interactive_shell,1,77,238.989305,ok,,
ssh,interactive_shell,1,78,252.888958,ok,,
ssh,interactive_shell,1,79,272.524452,ok,,
ssh,interactive_shell,1,80,287.258081,ok,,
ssh,interactive_shell,1,81,269.754725,ok,,
ssh,interactive_shell,1,82,208.530587,ok,,
ssh,interactive_shell,1,83,292.008836,ok,,
ssh,interactive_shell,1,84,244.518925,ok,,
ssh,interactive_shell,1,85,441.342033,ok,,
ssh,interactive_shell,1,86,224.340137,ok,,
ssh,interactive_shell,1,87,244.649702,ok,,
ssh,interactive_shell,1,88,292.411629,ok,,
ssh,interactive_shell,1,89,366.668869,ok,,
ssh,interactive_shell,1,90,320.874931,ok,,
ssh,interactive_shell,1,91,351.937387,ok,,
ssh,interactive_shell,1,92,300.761846,ok,,
ssh,interactive_shell,1,93,250.109600,ok,,
ssh,interactive_shell,1,94,242.927709,ok,,
ssh,interactive_shell,1,95,185.127870,ok,,
ssh,interactive_shell,1,96,517.240244,ok,,
ssh,interactive_shell,1,97,562.721978,ok,,
ssh,interactive_shell,1,98,250.680541,ok,,
ssh,interactive_shell,1,99,311.270404,ok,,
ssh,interactive_shell,1,100,461.243061,ok,,
ssh,interactive_shell,2,1,199.344370,ok,,
ssh,interactive_shell,2,2,211.632271,ok,,
ssh,interactive_shell,2,3,216.835022,ok,,
ssh,interactive_shell,2,4,240.105535,ok,,
ssh,interactive_shell,2,5,253.088988,ok,,
ssh,interactive_shell,2,6,276.590184,ok,,
ssh,interactive_shell,2,7,247.358146,ok,,
ssh,interactive_shell,2,8,250.751666,ok,,
ssh,interactive_shell,2,9,314.494698,ok,,
ssh,interactive_shell,2,10,276.284445,ok,,
ssh,interactive_shell,2,11,213.453687,ok,,
ssh,interactive_shell,2,12,263.027326,ok,,
ssh,interactive_shell,2,13,733.860627,ok,,
ssh,interactive_shell,2,14,256.752321,ok,,
ssh,interactive_shell,2,15,296.056957,ok,,
ssh,interactive_shell,2,16,166.242591,ok,,
ssh,interactive_shell,2,17,483.246886,ok,,
ssh,interactive_shell,2,18,245.881949,ok,,
ssh,interactive_shell,2,19,214.870327,ok,,
ssh,interactive_shell,2,20,256.947301,ok,,
ssh,interactive_shell,2,21,193.506934,ok,,
ssh,interactive_shell,2,22,207.267643,ok,,
ssh,interactive_shell,2,23,226.794600,ok,,
ssh,interactive_shell,2,24,283.644907,ok,,
ssh,interactive_shell,2,25,207.103940,ok,,
ssh,interactive_shell,2,26,207.144162,ok,,
ssh,interactive_shell,2,27,186.186211,ok,,
ssh,interactive_shell,2,28,251.694197,ok,,
ssh,interactive_shell,2,29,250.601073,ok,,
ssh,interactive_shell,2,30,260.322246,ok,,
ssh,interactive_shell,2,31,249.898984,ok,,
ssh,interactive_shell,2,32,207.824733,ok,,
ssh,interactive_shell,2,33,508.782218,ok,,
ssh,interactive_shell,2,34,278.420229,ok,,
ssh,interactive_shell,2,35,234.625487,ok,,
ssh,interactive_shell,2,36,265.024000,ok,,
ssh,interactive_shell,2,37,198.115744,ok,,
ssh,interactive_shell,2,38,273.624993,ok,,
ssh,interactive_shell,2,39,254.947828,ok,,
ssh,interactive_shell,2,40,413.505660,ok,,
