protocol,workload,trial_id,session_setup_ms
ssh,interactive_shell,1,4185.192330
ssh,interactive_shell,2,4399.268274
ssh,interactive_shell,3,3703.131189
ssh,vim,1,4778.044848
ssh,vim,2,3944.310929
ssh,vim,3,4909.677996
ssh,nano,1,6198.247619
ssh,nano,2,4379.239757
ssh,nano,3,4143.124757
ssh3,interactive_shell,1,1844.266678
ssh3,interactive_shell,2,1753.811557
ssh3,interactive_shell,3,1840.605056
ssh3,vim,1,1662.568344
ssh3,vim,2,2196.145601
ssh3,vim,3,1726.203559
ssh3,nano,1,1861.598305
ssh3,nano,2,2788.121451
ssh3,nano,3,1816.560168
mosh,interactive_shell,1,4638.735890
mosh,interactive_shell,2,5243.382889
mosh,interactive_shell,3,4889.457638
mosh,vim,1,6539.984770
mosh,vim,2,5766.713433
mosh,vim,3,5803.865586
mosh,nano,1,6348.007001
mosh,nano,2,5433.890619
mosh,nano,3,4888.715902
