protocol,workload,trial_id,session_setup_ms
ssh,interactive_shell,1,1790.877182
ssh,interactive_shell,2,2358.760397
ssh,interactive_shell,3,2185.176900
ssh,vim,1,1774.584018
ssh,vim,2,1847.922464
ssh,vim,3,2135.552505
ssh,nano,1,1870.955883
ssh,nano,2,2037.454069
ssh,nano,3,2009.277924
ssh3,interactive_shell,1,1318.186859
ssh3,interactive_shell,2,1541.332151
ssh3,interactive_shell,3,986.356776
ssh3,vim,1,1551.725738
ssh3,vim,2,1206.970320
ssh3,vim,3,1101.021641
ssh3,nano,1,1384.518762
ssh3,nano,2,1390.447684
ssh3,nano,3,1474.328236
mosh,interactive_shell,1,2931.286631
mosh,interactive_shell,2,2284.487676
mosh,interactive_shell,3,3099.508633
mosh,vim,1,2415.288459
mosh,vim,2,2959.366588
mosh,vim,3,2941.791203
mosh,nano,1,3068.722543
mosh,nano,2,2714.565343
mosh,nano,3,2796.469750
