[ ssh/interactive_shell ] trial  1/3 opening session...
[ ssh/interactive_shell ] trial  1/3 session_setup=1745.3 ms
[ ssh/interactive_shell ] trial  1 measure   1/100: 31.98 ms
[ ssh/interactive_shell ] trial  1 measure   2/100: 59.18 ms
[ ssh/interactive_shell ] trial  1 measure   3/100: 74.01 ms
[ ssh/interactive_shell ] trial  1 measure   4/100: 30.21 ms
[ ssh/interactive_shell ] trial  1 measure   5/100: 107.36 ms
[ ssh/interactive_shell ] trial  1 measure   6/100: 29.72 ms
[ ssh/interactive_shell ] trial  1 measure   7/100: 34.37 ms
[ ssh/interactive_shell ] trial  1 measure   8/100: 152.59 ms
[ ssh/interactive_shell ] trial  1 measure   9/100: 59.67 ms
[ ssh/interactive_shell ] trial  1 measure  10/100: 38.86 ms
[ ssh/interactive_shell ] trial  1 measure  11/100: 113.51 ms
[ ssh/interactive_shell ] trial  1 measure  12/100: 27.67 ms
[ ssh/interactive_shell ] trial  1 measure  13/100: 64.19 ms
[ ssh/interactive_shell ] trial  1 measure  14/100: 138.41 ms
[ ssh/interactive_shell ] trial  1 measure  15/100: 26.42 ms
[ ssh/interactive_shell ] trial  1 measure  16/100: 70.75 ms
[ ssh/interactive_shell ] trial  1 measure  17/100: 24.57 ms
[ ssh/interactive_shell ] trial  1 measure  18/100: 25.30 ms
[ ssh/interactive_shell ] trial  1 measure  19/100: 37.00 ms
[ ssh/interactive_shell ] trial  1 measure  20/100: 24.70 ms
[ ssh/interactive_shell ] trial  1 measure  21/100: 42.75 ms
[ ssh/interactive_shell ] trial  1 measure  22/100: 23.12 ms
[ ssh/interactive_shell ] trial  1 measure  23/100: 49.50 ms
[ ssh/interactive_shell ] trial  1 measure  24/100: 29.19 ms
[ ssh/interactive_shell ] trial  1 measure  25/100: 58.67 ms
[ ssh/interactive_shell ] trial  1 measure  26/100: 36.37 ms
[ ssh/interactive_shell ] trial  1 measure  27/100: 69.58 ms
[ ssh/interactive_shell ] trial  1 measure  28/100: 40.13 ms
[ ssh/interactive_shell ] trial  1 measure  29/100: 87.06 ms
[ ssh/interactive_shell ] trial  1 measure  30/100: 55.77 ms
[ ssh/interactive_shell ] trial  1 measure  31/100: 28.90 ms
[ ssh/interactive_shell ] trial  1 measure  32/100: 42.30 ms
[ ssh/interactive_shell ] trial  1 measure  33/100: 122.89 ms
[ ssh/interactive_shell ] trial  1 measure  34/100: 46.18 ms
[ ssh/interactive_shell ] trial  1 measure  35/100: 55.01 ms
[ ssh/interactive_shell ] trial  1 measure  36/100: 84.62 ms
[ ssh/interactive_shell ] trial  1 measure  37/100: 57.65 ms
[ ssh/interactive_shell ] trial  1 measure  38/100: 29.13 ms
[ ssh/interactive_shell ] trial  1 measure  39/100: 36.37 ms
[ ssh/interactive_shell ] trial  1 measure  40/100: 58.29 ms
[ ssh/interactive_shell ] trial  1 measure  41/100: 37.07 ms
[ ssh/interactive_shell ] trial  1 measure  42/100: 34.36 ms
[ ssh/interactive_shell ] trial  1 measure  43/100: 99.11 ms
[ ssh/interactive_shell ] trial  1 measure  44/100: 43.97 ms
[ ssh/interactive_shell ] trial  1 measure  45/100: 48.73 ms
[ ssh/interactive_shell ] trial  1 measure  46/100: 73.00 ms
[ ssh/interactive_shell ] trial  1 measure  47/100: 51.58 ms
[ ssh/interactive_shell ] trial  1 measure  48/100: 54.45 ms
[ ssh/interactive_shell ] trial  1 measure  49/100: 57.44 ms
[ ssh/interactive_shell ] trial  1 measure  50/100: 38.11 ms
[ ssh/interactive_shell ] trial  1 measure  51/100: 76.68 ms
[ ssh/interactive_shell ] trial  1 measure  52/100: 109.45 ms
[ ssh/interactive_shell ] trial  1 measure  53/100: 30.39 ms
[ ssh/interactive_shell ] trial  1 measure  54/100: 27.51 ms
[ ssh/interactive_shell ] trial  1 measure  55/100: 49.36 ms
[ ssh/interactive_shell ] trial  1 measure  56/100: 38.84 ms
[ ssh/interactive_shell ] trial  1 measure  57/100: 51.74 ms
[ ssh/interactive_shell ] trial  1 measure  58/100: 22.11 ms
[ ssh/interactive_shell ] trial  1 measure  59/100: 37.16 ms
[ ssh/interactive_shell ] trial  1 measure  60/100: 22.29 ms
[ ssh/interactive_shell ] trial  1 measure  61/100: 92.28 ms
[ ssh/interactive_shell ] trial  1 measure  62/100: 28.25 ms
[ ssh/interactive_shell ] trial  1 measure  63/100: 38.20 ms
[ ssh/interactive_shell ] trial  1 measure  64/100: 34.38 ms
[ ssh/interactive_shell ] trial  1 measure  65/100: 89.45 ms
[ ssh/interactive_shell ] trial  1 measure  66/100: 26.48 ms
[ ssh/interactive_shell ] trial  1 measure  67/100: 61.20 ms
[ ssh/interactive_shell ] trial  1 measure  68/100: 43.26 ms
[ ssh/interactive_shell ] trial  1 measure  69/100: 23.32 ms
[ ssh/interactive_shell ] trial  1 measure  70/100: 48.39 ms
[ ssh/interactive_shell ] trial  1 measure  71/100: 85.61 ms
[ ssh/interactive_shell ] trial  1 measure  72/100: 31.23 ms
[ ssh/interactive_shell ] trial  1 measure  73/100: 57.08 ms
[ ssh/interactive_shell ] trial  1 measure  74/100: 93.05 ms
[ ssh/interactive_shell ] trial  1 measure  75/100: 26.62 ms
[ ssh/interactive_shell ] trial  1 measure  76/100: 22.90 ms
[ ssh/interactive_shell ] trial  1 measure  77/100: 51.33 ms
[ ssh/interactive_shell ] trial  1 measure  78/100: 91.74 ms
[ ssh/interactive_shell ] trial  1 measure  79/100: 31.87 ms
[ ssh/interactive_shell ] trial  1 measure  80/100: 35.12 ms
[ ssh/interactive_shell ] trial  1 measure  81/100: 59.49 ms
[ ssh/interactive_shell ] trial  1 measure  82/100: 31.80 ms
[ ssh/interactive_shell ] trial  1 measure  83/100: 55.21 ms
[ ssh/interactive_shell ] trial  1 measure  84/100: 30.86 ms
[ ssh/interactive_shell ] trial  1 measure  85/100: 26.98 ms
[ ssh/interactive_shell ] trial  1 measure  86/100: 33.61 ms
[ ssh/interactive_shell ] trial  1 measure  87/100: 34.08 ms
[ ssh/interactive_shell ] trial  1 measure  88/100: 27.18 ms
[ ssh/interactive_shell ] trial  1 measure  89/100: 50.49 ms
[ ssh/interactive_shell ] trial  1 measure  90/100: 24.40 ms
[ ssh/interactive_shell ] trial  1 measure  91/100: 43.39 ms
[ ssh/interactive_shell ] trial  1 measure  92/100: 40.84 ms
[ ssh/interactive_shell ] trial  1 measure  93/100: 26.83 ms
[ ssh/interactive_shell ] trial  1 measure  94/100: 35.62 ms
[ ssh/interactive_shell ] trial  1 measure  95/100: 31.93 ms
[ ssh/interactive_shell ] trial  1 measure  96/100: 34.22 ms
[ ssh/interactive_shell ] trial  1 measure  97/100: 122.18 ms
[ ssh/interactive_shell ] trial  1 measure  98/100: 61.90 ms
[ ssh/interactive_shell ] trial  1 measure  99/100: 61.63 ms
[ ssh/interactive_shell ] trial  1 measure 100/100: 66.00 ms
[ ssh/interactive_shell ] trial  2/3 opening session...
[ ssh/interactive_shell ] trial  2/3 session_setup=1709.5 ms
[ ssh/interactive_shell ] trial  2 measure   1/100: 26.42 ms
[ ssh/interactive_shell ] trial  2 measure   2/100: 22.22 ms
[ ssh/interactive_shell ] trial  2 measure   3/100: 25.44 ms
[ ssh/interactive_shell ] trial  2 measure   4/100: 29.50 ms
[ ssh/interactive_shell ] trial  2 measure   5/100: 36.37 ms
[ ssh/interactive_shell ] trial  2 measure   6/100: 27.37 ms
[ ssh/interactive_shell ] trial  2 measure   7/100: 42.59 ms
[ ssh/interactive_shell ] trial  2 measure   8/100: 35.32 ms
[ ssh/interactive_shell ] trial  2 measure   9/100: 64.72 ms
[ ssh/interactive_shell ] trial  2 measure  10/100: 151.20 ms
[ ssh/interactive_shell ] trial  2 measure  11/100: 31.34 ms
[ ssh/interactive_shell ] trial  2 measure  12/100: 25.88 ms
[ ssh/interactive_shell ] trial  2 measure  13/100: 35.75 ms
[ ssh/interactive_shell ] trial  2 measure  14/100: 29.52 ms
[ ssh/interactive_shell ] trial  2 measure  15/100: 38.78 ms
[ ssh/interactive_shell ] trial  2 measure  16/100: 38.92 ms
[ ssh/interactive_shell ] trial  2 measure  17/100: 31.70 ms
[ ssh/interactive_shell ] trial  2 measure  18/100: 34.84 ms
[ ssh/interactive_shell ] trial  2 measure  19/100: 70.75 ms
[ ssh/interactive_shell ] trial  2 measure  20/100: 25.02 ms
[ ssh/interactive_shell ] trial  2 measure  21/100: 64.89 ms
[ ssh/interactive_shell ] trial  2 measure  22/100: 26.69 ms
[ ssh/interactive_shell ] trial  2 measure  23/100: 30.82 ms
[ ssh/interactive_shell ] trial  2 measure  24/100: 52.22 ms
[ ssh/interactive_shell ] trial  2 measure  25/100: 40.65 ms
[ ssh/interactive_shell ] trial  2 measure  26/100: 98.50 ms
[ ssh/interactive_shell ] trial  2 measure  27/100: 136.33 ms
[ ssh/interactive_shell ] trial  2 measure  28/100: 59.41 ms
[ ssh/interactive_shell ] trial  2 measure  29/100: 121.51 ms
[ ssh/interactive_shell ] trial  2 measure  30/100: 49.26 ms
[ ssh/interactive_shell ] trial  2 measure  31/100: 45.71 ms
[ ssh/interactive_shell ] trial  2 measure  32/100: 40.28 ms
[ ssh/interactive_shell ] trial  2 measure  33/100: 57.08 ms
[ ssh/interactive_shell ] trial  2 measure  34/100: 28.37 ms
[ ssh/interactive_shell ] trial  2 measure  35/100: 22.73 ms
[ ssh/interactive_shell ] trial  2 measure  36/100: 30.23 ms
[ ssh/interactive_shell ] trial  2 measure  37/100: 24.36 ms
[ ssh/interactive_shell ] trial  2 measure  38/100: 64.20 ms
[ ssh/interactive_shell ] trial  2 measure  39/100: 30.70 ms
[ ssh/interactive_shell ] trial  2 measure  40/100: 36.28 ms
[ ssh/interactive_shell ] trial  2 measure  41/100: 68.86 ms
[ ssh/interactive_shell ] trial  2 measure  42/100: 52.00 ms
[ ssh/interactive_shell ] trial  2 measure  43/100: 53.38 ms
[ ssh/interactive_shell ] trial  2 measure  44/100: 32.43 ms
[ ssh/interactive_shell ] trial  2 measure  45/100: 54.46 ms
[ ssh/interactive_shell ] trial  2 measure  46/100: 34.25 ms
[ ssh/interactive_shell ] trial  2 measure  47/100: 35.14 ms
[ ssh/interactive_shell ] trial  2 measure  48/100: 65.33 ms
[ ssh/interactive_shell ] trial  2 measure  49/100: 42.19 ms
[ ssh/interactive_shell ] trial  2 measure  50/100: 39.20 ms
[ ssh/interactive_shell ] trial  2 measure  51/100: 33.09 ms
[ ssh/interactive_shell ] trial  2 measure  52/100: 39.27 ms
[ ssh/interactive_shell ] trial  2 measure  53/100: 132.89 ms
[ ssh/interactive_shell ] trial  2 measure  54/100: 79.06 ms
[ ssh/interactive_shell ] trial  2 measure  55/100: 45.71 ms
[ ssh/interactive_shell ] trial  2 measure  56/100: 47.82 ms
[ ssh/interactive_shell ] trial  2 measure  57/100: 31.94 ms
[ ssh/interactive_shell ] trial  2 measure  58/100: 32.11 ms
[ ssh/interactive_shell ] trial  2 measure  59/100: 58.94 ms
[ ssh/interactive_shell ] trial  2 measure  60/100: 41.79 ms
[ ssh/interactive_shell ] trial  2 measure  61/100: 49.53 ms
[ ssh/interactive_shell ] trial  2 measure  62/100: 79.34 ms
[ ssh/interactive_shell ] trial  2 measure  63/100: 69.21 ms
[ ssh/interactive_shell ] trial  2 measure  64/100: 31.96 ms
[ ssh/interactive_shell ] trial  2 measure  65/100: 58.10 ms
[ ssh/interactive_shell ] trial  2 measure  66/100: 46.59 ms
[ ssh/interactive_shell ] trial  2 measure  67/100: 53.05 ms
[ ssh/interactive_shell ] trial  2 measure  68/100: 101.94 ms
[ ssh/interactive_shell ] trial  2 measure  69/100: 38.33 ms
[ ssh/interactive_shell ] trial  2 measure  70/100: 56.66 ms
[ ssh/interactive_shell ] trial  2 measure  71/100: 60.79 ms
[ ssh/interactive_shell ] trial  2 measure  72/100: 84.53 ms
[ ssh/interactive_shell ] trial  2 measure  73/100: 29.64 ms
[ ssh/interactive_shell ] trial  2 measure  74/100: 44.97 ms
[ ssh/interactive_shell ] trial  2 measure  75/100: 62.19 ms
[ ssh/interactive_shell ] trial  2 measure  76/100: 40.44 ms
[ ssh/interactive_shell ] trial  2 measure  77/100: 32.70 ms
[ ssh/interactive_shell ] trial  2 measure  78/100: 23.02 ms
[ ssh/interactive_shell ] trial  2 measure  79/100: 34.55 ms
[ ssh/interactive_shell ] trial  2 measure  80/100: 39.00 ms
[ ssh/interactive_shell ] trial  2 measure  81/100: 32.62 ms
[ ssh/interactive_shell ] trial  2 measure  82/100: 36.06 ms
[ ssh/interactive_shell ] trial  2 measure  83/100: 107.30 ms
[ ssh/interactive_shell ] trial  2 measure  84/100: 50.60 ms
[ ssh/interactive_shell ] trial  2 measure  85/100: 77.88 ms
[ ssh/interactive_shell ] trial  2 measure  86/100: 36.90 ms
[ ssh/interactive_shell ] trial  2 measure  87/100: 25.54 ms
[ ssh/interactive_shell ] trial  2 measure  88/100: 30.10 ms
[ ssh/interactive_shell ] trial  2 measure  89/100: 64.57 ms
[ ssh/interactive_shell ] trial  2 measure  90/100: 25.69 ms
[ ssh/interactive_shell ] trial  2 measure  91/100: 41.09 ms
[ ssh/interactive_shell ] trial  2 measure  92/100: 46.54 ms
[ ssh/interactive_shell ] trial  2 measure  93/100: 49.18 ms
[ ssh/interactive_shell ] trial  2 measure  94/100: 33.96 ms
[ ssh/interactive_shell ] trial  2 measure  95/100: 68.38 ms
[ ssh/interactive_shell ] trial  2 measure  96/100: 42.89 ms
[ ssh/interactive_shell ] trial  2 measure  97/100: 86.96 ms
[ ssh/interactive_shell ] trial  2 measure  98/100: 29.31 ms
[ ssh/interactive_shell ] trial  2 measure  99/100: 57.60 ms
[ ssh/interactive_shell ] trial  2 measure 100/100: 32.03 ms
[ ssh/interactive_shell ] trial  3/3 opening session...
[ ssh/interactive_shell ] trial  3/3 session_setup=1727.8 ms
[ ssh/interactive_shell ] trial  3 measure   1/100: 62.42 ms
[ ssh/interactive_shell ] trial  3 measure   2/100: 91.73 ms
[ ssh/interactive_shell ] trial  3 measure   3/100: 58.65 ms
[ ssh/interactive_shell ] trial  3 measure   4/100: 81.44 ms
[ ssh/interactive_shell ] trial  3 measure   5/100: 73.08 ms
[ ssh/interactive_shell ] trial  3 measure   6/100: 44.55 ms
[ ssh/interactive_shell ] trial  3 measure   7/100: 53.78 ms
[ ssh/interactive_shell ] trial  3 measure   8/100: 29.45 ms
[ ssh/interactive_shell ] trial  3 measure   9/100: 30.21 ms
[ ssh/interactive_shell ] trial  3 measure  10/100: 52.39 ms
[ ssh/interactive_shell ] trial  3 measure  11/100: 74.87 ms
[ ssh/interactive_shell ] trial  3 measure  12/100: 91.06 ms
[ ssh/interactive_shell ] trial  3 measure  13/100: 93.68 ms
[ ssh/interactive_shell ] trial  3 measure  14/100: 45.73 ms
[ ssh/interactive_shell ] trial  3 measure  15/100: 44.49 ms
[ ssh/interactive_shell ] trial  3 measure  16/100: 35.97 ms
[ ssh/interactive_shell ] trial  3 measure  17/100: 26.08 ms
[ ssh/interactive_shell ] trial  3 measure  18/100: 45.03 ms
[ ssh/interactive_shell ] trial  3 measure  19/100: 98.41 ms
[ ssh/interactive_shell ] trial  3 measure  20/100: 29.52 ms
[ ssh/interactive_shell ] trial  3 measure  21/100: 60.60 ms
[ ssh/interactive_shell ] trial  3 measure  22/100: 45.06 ms
[ ssh/interactive_shell ] trial  3 measure  23/100: 29.31 ms
[ ssh/interactive_shell ] trial  3 measure  24/100: 32.41 ms
[ ssh/interactive_shell ] trial  3 measure  25/100: 73.65 ms
[ ssh/interactive_shell ] trial  3 measure  26/100: 37.80 ms
[ ssh/interactive_shell ] trial  3 measure  27/100: 36.20 ms
[ ssh/interactive_shell ] trial  3 measure  28/100: 75.97 ms
[ ssh/interactive_shell ] trial  3 measure  29/100: 29.13 ms
[ ssh/interactive_shell ] trial  3 measure  30/100: 60.46 ms
[ ssh/interactive_shell ] trial  3 measure  31/100: 31.19 ms
[ ssh/interactive_shell ] trial  3 measure  32/100: 56.54 ms
[ ssh/interactive_shell ] trial  3 measure  33/100: 37.08 ms
[ ssh/interactive_shell ] trial  3 measure  34/100: 76.09 ms
[ ssh/interactive_shell ] trial  3 measure  35/100: 38.71 ms
[ ssh/interactive_shell ] trial  3 measure  36/100: 43.11 ms
[ ssh/interactive_shell ] trial  3 measure  37/100: 27.60 ms
[ ssh/interactive_shell ] trial  3 measure  38/100: 55.53 ms
[ ssh/interactive_shell ] trial  3 measure  39/100: 50.12 ms
[ ssh/interactive_shell ] trial  3 measure  40/100: 57.96 ms
[ ssh/interactive_shell ] trial  3 measure  41/100: 52.06 ms
[ ssh/interactive_shell ] trial  3 measure  42/100: 59.45 ms
[ ssh/interactive_shell ] trial  3 measure  43/100: 75.21 ms
[ ssh/interactive_shell ] trial  3 measure  44/100: 49.06 ms
[ ssh/interactive_shell ] trial  3 measure  45/100: 30.12 ms
[ ssh/interactive_shell ] trial  3 measure  46/100: 30.34 ms
[ ssh/interactive_shell ] trial  3 measure  47/100: 35.40 ms
[ ssh/interactive_shell ] trial  3 measure  48/100: 35.48 ms
[ ssh/interactive_shell ] trial  3 measure  49/100: 32.11 ms
[ ssh/interactive_shell ] trial  3 measure  50/100: 30.42 ms
[ ssh/interactive_shell ] trial  3 measure  51/100: 31.68 ms
[ ssh/interactive_shell ] trial  3 measure  52/100: 44.83 ms
[ ssh/interactive_shell ] trial  3 measure  53/100: 76.77 ms
[ ssh/interactive_shell ] trial  3 measure  54/100: 26.30 ms
[ ssh/interactive_shell ] trial  3 measure  55/100: 40.60 ms
[ ssh/interactive_shell ] trial  3 measure  56/100: 30.63 ms
[ ssh/interactive_shell ] trial  3 measure  57/100: 58.56 ms
[ ssh/interactive_shell ] trial  3 measure  58/100: 52.48 ms
