protocol,workload,trial_id,session_setup_ms
ssh,interactive_shell,1,2817.409919
ssh,interactive_shell,2,2748.980184
ssh,interactive_shell,3,2841.069321
ssh,vim,1,2665.038190
ssh,vim,2,2840.237553
ssh,vim,3,2651.038293
ssh,nano,1,2867.936851
ssh,nano,2,2729.383364
ssh,nano,3,3063.366183
ssh3,interactive_shell,1,1612.759898
ssh3,interactive_shell,2,1864.731449
ssh3,interactive_shell,3,2102.641446
ssh3,vim,1,1315.795510
ssh3,vim,2,1472.479321
ssh3,vim,3,1871.550402
ssh3,nano,1,1515.566749
ssh3,nano,2,1758.891912
ssh3,nano,3,1754.129301
mosh,interactive_shell,1,3769.572740
mosh,interactive_shell,2,3327.772498
mosh,interactive_shell,3,3110.452731
mosh,vim,1,3711.153656
mosh,vim,2,3609.706527
mosh,vim,3,3791.448430
mosh,nano,1,3601.747877
mosh,nano,2,3691.529382
mosh,nano,3,3454.851153
