protocol,workload,round_id,sample_id,latency_ms,status,error_type,error_message
ssh,interactive_shell,1,1,18.301847,ok,,
ssh,interactive_shell,1,2,20.247977,ok,,
ssh,interactive_shell,1,3,19.846392,ok,,
ssh,interactive_shell,1,4,19.135331,ok,,
ssh,interactive_shell,1,5,20.621547,ok,,
ssh,interactive_shell,1,6,25.507649,ok,,
ssh,interactive_shell,1,7,14.424231,ok,,
ssh,interactive_shell,1,8,19.781434,ok,,
ssh,interactive_shell,1,9,21.269918,ok,,
ssh,interactive_shell,1,10,20.647062,ok,,
ssh,interactive_shell,1,11,20.647188,ok,,
ssh,interactive_shell,1,12,21.020282,ok,,
ssh,interactive_shell,1,13,19.895994,ok,,
ssh,interactive_shell,1,14,20.207119,ok,,
ssh,interactive_shell,1,15,19.998356,ok,,
ssh,interactive_shell,1,16,19.021389,ok,,
ssh,interactive_shell,1,17,20.194213,ok,,
ssh,interactive_shell,1,18,20.201028,ok,,
ssh,interactive_shell,1,19,19.908489,ok,,
ssh,interactive_shell,1,20,20.804235,ok,,
ssh,interactive_shell,1,21,19.199329,ok,,
ssh,interactive_shell,1,22,20.695197,ok,,
ssh,interactive_shell,1,23,20.218201,ok,,
ssh,interactive_shell,1,24,19.043126,ok,,
ssh,interactive_shell,1,25,20.208279,ok,,
ssh,interactive_shell,1,26,20.495976,ok,,
ssh,interactive_shell,1,27,20.965600,ok,,
ssh,interactive_shell,1,28,19.834107,ok,,
ssh,interactive_shell,1,29,20.867088,ok,,
ssh,interactive_shell,1,30,20.920400,ok,,
ssh,interactive_shell,1,31,20.682307,ok,,
ssh,interactive_shell,1,32,20.001782,ok,,
ssh,interactive_shell,1,33,22.651577,ok,,
ssh,interactive_shell,1,34,16.980392,ok,,
ssh,interactive_shell,1,35,19.518128,ok,,
ssh,interactive_shell,1,36,20.956066,ok,,
ssh,interactive_shell,1,37,21.169551,ok,,
ssh,interactive_shell,1,38,20.031521,ok,,
ssh,interactive_shell,1,39,19.037701,ok,,
ssh,interactive_shell,1,40,19.405091,ok,,
ssh,interactive_shell,1,41,20.284112,ok,,
ssh,interactive_shell,1,42,20.445946,ok,,
ssh,interactive_shell,1,43,20.352773,ok,,
ssh,interactive_shell,1,44,21.290941,ok,,
ssh,interactive_shell,1,45,21.049564,ok,,
ssh,interactive_shell,1,46,19.941732,ok,,
ssh,interactive_shell,1,47,21.357502,ok,,
ssh,interactive_shell,1,48,19.355879,ok,,
ssh,interactive_shell,1,49,20.926719,ok,,
ssh,interactive_shell,1,50,21.660018,ok,,
ssh,interactive_shell,1,51,17.686610,ok,,
ssh,interactive_shell,1,52,21.647562,ok,,
ssh,interactive_shell,1,53,20.041309,ok,,
ssh,interactive_shell,1,54,20.507791,ok,,
ssh,interactive_shell,1,55,19.741683,ok,,
ssh,interactive_shell,1,56,21.035583,ok,,
ssh,interactive_shell,1,57,19.667731,ok,,
ssh,interactive_shell,1,58,20.515121,ok,,
ssh,interactive_shell,1,59,20.826477,ok,,
ssh,interactive_shell,1,60,20.623288,ok,,
ssh,interactive_shell,1,61,20.696419,ok,,
ssh,interactive_shell,1,62,20.509453,ok,,
ssh,interactive_shell,1,63,19.768198,ok,,
ssh,interactive_shell,1,64,20.892417,ok,,
ssh,interactive_shell,1,65,21.041704,ok,,
ssh,interactive_shell,1,66,20.405431,ok,,
ssh,interactive_shell,1,67,19.918418,ok,,
ssh,interactive_shell,1,68,21.148891,ok,,
ssh,interactive_shell,1,69,20.766510,ok,,
ssh,interactive_shell,1,70,23.028452,ok,,
ssh,interactive_shell,1,71,18.576557,ok,,
ssh,interactive_shell,1,72,20.111942,ok,,
ssh,interactive_shell,1,73,19.822372,ok,,
ssh,interactive_shell,1,74,19.609459,ok,,
ssh,interactive_shell,1,75,21.459177,ok,,
ssh,interactive_shell,1,76,19.885877,ok,,
ssh,interactive_shell,1,77,20.268027,ok,,
ssh,interactive_shell,1,78,20.169714,ok,,
ssh,interactive_shell,1,79,18.534976,ok,,
ssh,interactive_shell,1,80,20.527404,ok,,
ssh,interactive_shell,1,81,19.067821,ok,,
ssh,interactive_shell,1,82,20.836940,ok,,
ssh,interactive_shell,1,83,19.237860,ok,,
