protocol,workload,trial_id,session_setup_ms
ssh,interactive_shell,1,320.262622
ssh,interactive_shell,2,243.287069
ssh,interactive_shell,3,239.688099
ssh,interactive_shell,4,250.914747
ssh,interactive_shell,5,287.301432
ssh,interactive_shell,6,248.640460
ssh,interactive_shell,7,261.198754
ssh,interactive_shell,8,253.581402
ssh,interactive_shell,9,237.940761
ssh,interactive_shell,10,244.262504
ssh,vim,1,263.983331
ssh,vim,2,254.345308
ssh,vim,3,273.689767
ssh,vim,4,262.167813
ssh,vim,5,261.606739
ssh,vim,6,270.388555
ssh,vim,7,318.834637
ssh,vim,8,251.833923
ssh,vim,9,265.840914
ssh,vim,10,240.812806
ssh,nano,1,251.294630
ssh,nano,2,238.963558
ssh,nano,3,265.506997
ssh,nano,4,251.687496
ssh,nano,5,257.334786
ssh,nano,6,288.981861
ssh,nano,7,263.838466
ssh,nano,8,258.429674
ssh,nano,9,250.782248
ssh,nano,10,249.003058
ssh3,interactive_shell,1,89.359267
ssh3,interactive_shell,2,71.406606
ssh3,interactive_shell,3,87.810356
ssh3,interactive_shell,4,87.911291
ssh3,interactive_shell,5,61.373255
ssh3,interactive_shell,6,60.173898
ssh3,interactive_shell,7,69.675974
ssh3,interactive_shell,8,80.010748
ssh3,interactive_shell,9,69.588214
ssh3,interactive_shell,10,62.820919
ssh3,vim,1,60.796843
ssh3,vim,2,76.502233
ssh3,vim,3,63.160351
ssh3,vim,4,72.469035
ssh3,vim,5,64.343637
ssh3,vim,6,68.573040
ssh3,vim,7,59.130777
ssh3,vim,8,66.474584
ssh3,vim,9,67.280708
ssh3,vim,10,62.301966
ssh3,nano,1,59.071831
ssh3,nano,2,78.186912
ssh3,nano,3,78.852904
ssh3,nano,4,71.188771
ssh3,nano,5,63.190955
ssh3,nano,6,73.576439
ssh3,nano,7,84.009237
ssh3,nano,8,77.297119
ssh3,nano,9,63.103098
ssh3,nano,10,63.565587
mosh,interactive_shell,1,399.651024
mosh,interactive_shell,2,348.257575
mosh,interactive_shell,3,400.368977
mosh,interactive_shell,4,336.681813
mosh,interactive_shell,5,371.316163
mosh,interactive_shell,6,359.058244
mosh,interactive_shell,7,389.770831
mosh,interactive_shell,8,347.299129
mosh,interactive_shell,9,406.152696
mosh,interactive_shell,10,371.843547
mosh,vim,1,357.649071
mosh,vim,2,327.285306
mosh,vim,3,390.794670
mosh,vim,4,358.999398
mosh,vim,5,370.862189
mosh,vim,6,400.520411
mosh,vim,7,399.490631
mosh,vim,8,340.362340
mosh,vim,9,382.566828
mosh,vim,10,347.812694
mosh,nano,1,401.342026
mosh,nano,2,335.131216
mosh,nano,3,363.616536
mosh,nano,4,342.878758
mosh,nano,5,422.627341
mosh,nano,6,357.074374
mosh,nano,7,389.421777
mosh,nano,8,411.987423
mosh,nano,9,388.188744
mosh,nano,10,350.471704
