protocol,workload,trial_id,session_setup_ms
ssh,interactive_shell,1,1798.217513
ssh,interactive_shell,2,1965.231310
ssh,interactive_shell,3,1743.211067
ssh,vim,1,1950.215181
ssh,vim,2,1701.802714
ssh,vim,3,2060.295454
ssh,nano,1,1818.539253
ssh,nano,2,1892.562977
ssh,nano,3,1608.163196
ssh3,interactive_shell,1,1188.032142
ssh3,interactive_shell,2,1035.918110
ssh3,interactive_shell,3,1002.881654
ssh3,vim,1,1383.954019
ssh3,vim,2,1150.199278
ssh3,vim,3,1196.270697
ssh3,nano,1,1353.976547
ssh3,nano,2,933.034593
ssh3,nano,3,1169.704553
mosh,interactive_shell,1,2551.592787
mosh,interactive_shell,2,2302.139262
mosh,interactive_shell,3,2333.601166
mosh,vim,1,2791.817915
mosh,vim,2,2457.547852
mosh,vim,3,3112.557747
mosh,nano,1,2579.508322
mosh,nano,2,2637.718232
mosh,nano,3,2991.866697
