protocol,workload,trial_id,session_setup_ms
ssh,interactive_shell,1,2775.498228
ssh,interactive_shell,2,2417.849551
ssh,interactive_shell,3,2508.654063
ssh,vim,1,2497.348565
ssh,vim,2,2414.331089
ssh,vim,3,2562.091449
ssh,nano,1,2826.969303
ssh,nano,2,2753.940942
ssh,nano,3,2870.199824
ssh3,interactive_shell,1,1781.414368
ssh3,interactive_shell,2,1353.199261
ssh3,interactive_shell,3,1217.484501
ssh3,vim,1,1671.300760
ssh3,vim,2,1570.683493
ssh3,vim,3,1250.991433
ssh3,nano,1,1640.530454
ssh3,nano,2,1360.290055
ssh3,nano,3,1431.635195
mosh,interactive_shell,1,3204.923700
mosh,interactive_shell,2,3556.792290
mosh,interactive_shell,3,3412.679608
mosh,vim,1,3649.643105
mosh,vim,2,3465.517851
mosh,vim,3,3564.554318
mosh,nano,1,3714.499262
mosh,nano,2,3354.292923
mosh,nano,3,4094.901699
