protocol,metric,trial_id,sample_id,is_warmup,token,latency_ms
ssh,session_setup,1,1,False,__W3_SETUP__,2259.838560
ssh,keystroke_latency,1,-1,True,W3TSS001-001E0IFD0Z,168.879302
ssh,keystroke_latency,1,-2,True,W3TSS001-002DPBHSAZ,181.052304
ssh,keystroke_latency,1,-3,True,W3TSS001-003ZZPQK5Z,181.096815
ssh,keystroke_latency,1,-4,True,W3TSS001-0043ZMF8MZ,182.078422
ssh,keystroke_latency,1,-5,True,W3TSS001-005NMMJBQZ,183.443898
ssh,keystroke_latency,1,-6,True,W3TSS001-0069NT3W5Z,183.006519
ssh,keystroke_latency,1,-7,True,W3TSS001-007GCX194Z,177.781639
ssh,keystroke_latency,1,-8,True,W3TSS001-008NQ4FMYZ,182.121682
ssh,keystroke_latency,1,-9,True,W3TSS001-0097XVG0FZ,182.758808
ssh,keystroke_latency,1,-10,True,W3TSS001-010J7YHL1Z,183.596331
ssh,keystroke_latency,1,1,False,W3TSS0010001IBLJH7Z,179.465902
ssh,keystroke_latency,1,2,False,W3TSS0010002LXO6QJZ,183.765634
ssh,keystroke_latency,1,3,False,W3TSS00100030T0PVNZ,177.931948
ssh,keystroke_latency,1,4,False,W3TSS0010004SDBDW2Z,179.994734
ssh,keystroke_latency,1,5,False,W3TSS0010005VNVQJTZ,182.795554
ssh,keystroke_latency,1,6,False,W3TSS0010006YE511MZ,181.537790
ssh,keystroke_latency,1,7,False,W3TSS0010007PQ85JSZ,183.486525
ssh,keystroke_latency,1,8,False,W3TSS0010008SDW4SHZ,183.427374
ssh,keystroke_latency,1,9,False,W3TSS00100091T2TALZ,187.672333
ssh,keystroke_latency,1,10,False,W3TSS0010010EN93IIZ,179.333732
ssh,session_setup,2,1,False,__W3_SETUP__,2227.763528
ssh,keystroke_latency,2,-1,True,W3TSS002-0018DRC11Z,163.661338
ssh,keystroke_latency,2,-2,True,W3TSS002-002X8FSV8Z,177.430888
ssh,keystroke_latency,2,-3,True,W3TSS002-0031YZOYNZ,174.639193
ssh,keystroke_latency,2,-4,True,W3TSS002-004QICATVZ,175.123725
ssh,keystroke_latency,2,-5,True,W3TSS002-005CWI64CZ,173.752403
ssh,keystroke_latency,2,-6,True,W3TSS002-006KRT05UZ,180.345676
ssh,keystroke_latency,2,-7,True,W3TSS002-00723GDPPZ,176.794279
ssh,keystroke_latency,2,-8,True,W3TSS002-0085BXXC0Z,170.832483
ssh,keystroke_latency,2,-9,True,W3TSS002-0095IGQPKZ,179.188742
ssh,keystroke_latency,2,-10,True,W3TSS002-0105C34DXZ,172.778222
ssh,keystroke_latency,2,1,False,W3TSS00200014874FRZ,178.875659
ssh,keystroke_latency,2,2,False,W3TSS002000256FAO7Z,178.891641
ssh,keystroke_latency,2,3,False,W3TSS0020003QP89UZZ,182.864455
ssh,keystroke_latency,2,4,False,W3TSS0020004GHC0CLZ,186.594188
ssh,keystroke_latency,2,5,False,W3TSS0020005VS4F8CZ,185.185203
ssh,keystroke_latency,2,6,False,W3TSS0020006CC5O7UZ,174.933122
