protocol,workload,round_id,sample_id,token,latency_ms
ssh,interactive_shell,0,1,__W3TOK__ssh__interactive_shell__r0__s1__XAJI0Y6D__,50.374621
ssh,interactive_shell,0,2,__W3TOK__ssh__interactive_shell__r0__s2__PBHSAHXT__,473.034789
ssh,interactive_shell,0,3,__W3TOK__ssh__interactive_shell__r0__s3__HV3A3ZMF__,485.894535
ssh,interactive_shell,0,4,__W3TOK__ssh__interactive_shell__r0__s4__8MDD4V30__,379.179435
ssh,interactive_shell,0,5,__W3TOK__ssh__interactive_shell__r0__s5__T9NT3W5U__,412.916161
ssh,interactive_shell,1,1,__W3TOK__ssh__interactive_shell__r1__s1__ZBIKCIDK__,426.154179
ssh,interactive_shell,1,2,__W3TOK__ssh__interactive_shell__r1__s2__WNNHJ7XV__,365.830120
ssh,interactive_shell,1,3,__W3TOK__ssh__interactive_shell__r1__s3__G0FN9XUY__,355.270498
ssh,interactive_shell,1,4,__W3TOK__ssh__interactive_shell__r1__s4__41IBLJH7__,735.839526
ssh,interactive_shell,1,5,__W3TOK__ssh__interactive_shell__r1__s5__5LXO6QJI__,582.038722
ssh,vim,0,1,__W3TOK__ssh__vim__r0__s1__UJV6OH9S__,355.535857
ssh,vim,0,2,__W3TOK__ssh__vim__r0__s2__DBDW2PCN__,358.969041
ssh,vim,0,3,__W3TOK__ssh__vim__r0__s3__9T84AZYT__,530.505679
ssh,vim,0,4,__W3TOK__ssh__vim__r0__s4__JXEPQ85J__,410.827374
ssh,vim,0,5,__W3TOK__ssh__vim__r0__s5__SG65KXVF__,357.996969
ssh,vim,1,1,__W3TOK__ssh__vim__r1__s1__1T2TALA7__,681.047603
ssh,vim,1,2,__W3TOK__ssh__vim__r1__s2__53LC58DR__,824.985402
ssh,vim,1,3,__W3TOK__ssh__vim__r1__s3__C11ERTJ5__,709.872017
ssh,vim,1,4,__W3TOK__ssh__vim__r1__s4__PHT0HL9X__,400.292010
ssh,vim,1,5,__W3TOK__ssh__vim__r1__s5__PSEIMVIH__,459.571061
ssh,nano,0,1,__W3TOK__ssh__nano__r0__s1__CWI64CIY__,53.056329
ssh,nano,0,2,__W3TOK__ssh__nano__r0__s2__HE7UR23G__,769.929465
ssh,nano,0,3,__W3TOK__ssh__nano__r0__s3__DPPQ0Y9D__,380.941394
ssh,nano,0,4,__W3TOK__ssh__nano__r0__s4__OM5IGQPK__,640.728535
ssh,nano,0,5,__W3TOK__ssh__nano__r0__s5__I7P5TB94__,798.608328
ssh,nano,1,1,__W3TOK__ssh__nano__r1__s1__874FRHOC__,441.576887
ssh,nano,1,2,__W3TOK__ssh__nano__r1__s2__N9J2QP89__,375.264352
ssh,nano,1,3,__W3TOK__ssh__nano__r1__s3__UZFK8UT0__,542.767257
ssh,nano,1,4,__W3TOK__ssh__nano__r1__s4__CVS4F8CG__,1207.923373
ssh,nano,1,5,__W3TOK__ssh__nano__r1__s5__VYIE6IVW__,776.847693
ssh3,interactive_shell,0,1,__W3TOK__ssh3__interactive_shell__r0__s1__PVS7HZIO__,50.379758
ssh3,interactive_shell,0,2,__W3TOK__ssh3__interactive_shell__r0__s2__YKL1CQ99__,666.573540
ssh3,interactive_shell,0,3,__W3TOK__ssh3__interactive_shell__r0__s3__CHJ755NF__,359.891424
ssh3,interactive_shell,0,4,__W3TOK__ssh3__interactive_shell__r0__s4__4ZW9XA3K__,390.483686
ssh3,interactive_shell,0,5,__W3TOK__ssh3__interactive_shell__r0__s5__X7EEDTJV__,717.682763
ssh3,interactive_shell,1,1,__W3TOK__ssh3__interactive_shell__r1__s1__ZHWJR64D__,360.059985
ssh3,interactive_shell,1,2,__W3TOK__ssh3__interactive_shell__r1__s2__PJA1WJ0T__,375.882350
ssh3,interactive_shell,1,3,__W3TOK__ssh3__interactive_shell__r1__s3__PAC56T4U__,343.379075
ssh3,interactive_shell,1,4,__W3TOK__ssh3__interactive_shell__r1__s4__FEL6246H__,365.563008
ssh3,interactive_shell,1,5,__W3TOK__ssh3__interactive_shell__r1__s5__ID25OWF7__,334.875684
ssh3,vim,0,1,__W3TOK__ssh3__vim__r0__s1__5935A0L7__,369.036864
ssh3,vim,0,2,__W3TOK__ssh3__vim__r0__s2__253J2D54__,378.017304
ssh3,vim,0,3,__W3TOK__ssh3__vim__r0__s3__I3QK2IAG__,326.477406
ssh3,vim,0,4,__W3TOK__ssh3__vim__r0__s4__L58KXO9T__,335.003250
ssh3,vim,0,5,__W3TOK__ssh3__vim__r0__s5__7E8G8JDP__,348.221620
ssh3,vim,1,1,__W3TOK__ssh3__vim__r1__s1__0LVSNUJZ__,405.221102
ssh3,vim,1,2,__W3TOK__ssh3__vim__r1__s2__A7TZ0YNC__,592.412191
ssh3,vim,1,3,__W3TOK__ssh3__vim__r1__s3__XLL4ZKLO__,321.422363
ssh3,vim,1,4,__W3TOK__ssh3__vim__r1__s4__OKEP7Y6W__,438.977955
ssh3,vim,1,5,__W3TOK__ssh3__vim__r1__s5__KTAKPUXQ__,345.106952
ssh3,nano,0,1,__W3TOK__ssh3__nano__r0__s1__PHR62GDS__,346.888762
ssh3,nano,0,2,__W3TOK__ssh3__nano__r0__s2__WM31YIHA__,429.736857
ssh3,nano,0,3,__W3TOK__ssh3__nano__r0__s3__IR4COWGZ__,337.945611
ssh3,nano,0,4,__W3TOK__ssh3__nano__r0__s4__RIXA11DP__,318.845803
ssh3,nano,0,5,__W3TOK__ssh3__nano__r0__s5__G8SBI4Q2__,360.781946
ssh3,nano,1,1,__W3TOK__ssh3__nano__r1__s1__Y9V86WZS__,453.656763
ssh3,nano,1,2,__W3TOK__ssh3__nano__r1__s2__3T60RJIW__,886.167133
ssh3,nano,1,3,__W3TOK__ssh3__nano__r1__s3__1SWJCKJL__,949.768810
ssh3,nano,1,4,__W3TOK__ssh3__nano__r1__s4__TEIYZCOT__,961.462895
ssh3,nano,1,5,__W3TOK__ssh3__nano__r1__s5__OHP6VZ41__,398.307263
mosh,interactive_shell,0,1,__W3TOK__mosh__interactive_shell__r0__s1__NAM148P0__,50.412503
mosh,interactive_shell,0,2,__W3TOK__mosh__interactive_shell__r0__s2__TVHHPBMY__,1887.715456
mosh,interactive_shell,0,3,__W3TOK__mosh__interactive_shell__r0__s3__OFQEWAOU__,635.995878
mosh,interactive_shell,0,4,__W3TOK__mosh__interactive_shell__r0__s4__AXEQBNHL__,772.975787
mosh,interactive_shell,0,5,__W3TOK__mosh__interactive_shell__r0__s5__1N13JCAT__,532.146648
mosh,interactive_shell,1,1,__W3TOK__mosh__interactive_shell__r1__s1__9MX2X18H__,546.705922
mosh,interactive_shell,1,2,__W3TOK__mosh__interactive_shell__r1__s2__AFEYUHZ1__,516.003164
