protocol,workload,round_id,sample_id,command_id,command,latency_ms,output_bytes,throughput_kib_s,status,error_type,error_message
ssh,find /,1,1,1,find /,527.367209,32610,60.386203,ok,,
ssh,find /,1,2,1,find /,339.866348,32610,93.700666,ok,,
ssh,find /,1,3,1,find /,296.981397,32610,107.231306,ok,,
ssh,find /,1,4,1,find /,354.203436,32610,89.907945,ok,,
ssh,find /,1,5,1,find /,320.097353,32625,99.533318,ok,,
ssh,find /,1,6,1,find /,402.242519,32610,79.170405,ok,,
ssh,find /,1,7,1,find /,388.426039,32610,81.986530,ok,,
ssh,find /,1,8,1,find /,454.440018,32610,70.076802,ok,,
ssh,find /,1,9,1,find /,445.884464,32610,71.421423,ok,,
ssh,find /,1,10,1,find /,371.291951,32610,85.769980,ok,,
ssh,find /,1,11,1,find /,273.706907,32610,116.349651,ok,,
ssh,find /,1,12,1,find /,455.901915,32625,69.884224,ok,,
ssh,find /,1,13,1,find /,281.920796,32610,112.959752,ok,,
ssh,find /,1,14,1,find /,397.040999,32610,80.207594,ok,,
ssh,find /,1,15,1,find /,604.728500,32610,52.661158,ok,,
ssh,find /,1,16,1,find /,429.797518,32610,74.094665,ok,,
ssh,find /,1,17,1,find /,403.743324,32610,78.876111,ok,,
ssh,find /,1,18,1,find /,675.314338,32610,47.156859,ok,,
ssh,find /,1,19,1,find /,603.582342,32610,52.761158,ok,,
ssh,find /,1,20,1,find /,510.025383,32610,62.439447,ok,,
ssh,find /,1,21,1,find /,463.299773,32610,68.736712,ok,,
ssh,find /,1,22,1,find /,394.425980,32610,80.739365,ok,,
ssh,find /,1,23,1,find /,369.170651,32610,86.262825,ok,,
ssh,find /,1,24,1,find /,325.346836,32610,97.882320,ok,,
ssh,find /,1,25,1,find /,513.355286,32610,62.034431,ok,,
ssh,find /,1,26,1,find /,426.559966,32610,74.657037,ok,,
ssh,find /,1,27,1,find /,443.359204,32610,71.828222,ok,,
ssh,find /,1,28,1,find /,562.461065,32610,56.618502,ok,,
ssh,find /,1,29,1,find /,522.519836,32610,60.946400,ok,,
