protocol,command,trial_id,session_setup_ms
ssh,find /,1,1817.756867
ssh,find /,2,2258.765125
ssh,find /,3,1860.912045
ssh,git status,1,1835.050868
ssh,git status,2,1862.601047
ssh,git status,3,2214.744978
ssh,docker logs $(docker ps -q | head -n 1),1,1881.493496
ssh,docker logs $(docker ps -q | head -n 1),2,1804.683821
ssh,docker logs $(docker ps -q | head -n 1),3,1921.953007
ssh3,find /,1,1478.717350
ssh3,find /,2,1183.992433
ssh3,find /,3,1221.981021
ssh3,git status,1,1292.887853
ssh3,git status,2,1672.036594
ssh3,git status,3,1395.282667
ssh3,docker logs $(docker ps -q | head -n 1),1,1468.689687
ssh3,docker logs $(docker ps -q | head -n 1),2,1488.167351
ssh3,docker logs $(docker ps -q | head -n 1),3,1183.560277
mosh,find /,1,2629.182642
mosh,find /,2,2365.330966
mosh,find /,3,2970.019734
mosh,git status,1,2836.164916
mosh,git status,2,3448.139753
mosh,git status,3,2919.265528
mosh,docker logs $(docker ps -q | head -n 1),1,2963.951606
mosh,docker logs $(docker ps -q | head -n 1),2,2842.650604
mosh,docker logs $(docker ps -q | head -n 1),3,2769.961189
