scenario,protocol,workload,round_id,sample_id,command_id,command,latency_ms,output_bytes,throughput_kib_s,received_pct,status,error_type,error_message
default,ssh3,find /etc /var/log -type f 2>/dev/null,1,1,1,find /etc /var/log -type f 2>/dev/null,10.022429,23836,2322.525183,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,1,2,1,find /etc /var/log -type f 2>/dev/null,12.973269,23836,1794.254305,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,1,3,1,find /etc /var/log -type f 2>/dev/null,10.823390,23836,2150.651852,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,1,4,1,find /etc /var/log -type f 2>/dev/null,10.610885,23836,2193.723120,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,1,5,1,find /etc /var/log -type f 2>/dev/null,12.832501,23836,1813.936640,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,1,6,1,find /etc /var/log -type f 2>/dev/null,13.876376,23836,1677.480039,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,1,7,1,find /etc /var/log -type f 2>/dev/null,11.571184,23836,2011.664818,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,1,8,1,find /etc /var/log -type f 2>/dev/null,12.834303,23836,1813.681955,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,1,9,1,find /etc /var/log -type f 2>/dev/null,12.980905,23836,1793.198837,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,1,10,1,find /etc /var/log -type f 2>/dev/null,11.828736,23836,1967.864001,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,1,11,1,find /etc /var/log -type f 2>/dev/null,12.405735,23836,1876.337335,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,1,12,1,find /etc /var/log -type f 2>/dev/null,11.883544,23836,1958.788031,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,1,13,1,find /etc /var/log -type f 2>/dev/null,14.332203,23851,1625.150871,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,1,14,1,find /etc /var/log -type f 2>/dev/null,18.115245,23836,1284.958815,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,1,15,1,find /etc /var/log -type f 2>/dev/null,11.480754,23836,2027.510018,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,1,16,1,find /etc /var/log -type f 2>/dev/null,13.404219,23836,1736.568445,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,1,17,1,find /etc /var/log -type f 2>/dev/null,13.743919,23836,1693.646750,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,1,18,1,find /etc /var/log -type f 2>/dev/null,12.048173,23851,1933.238524,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,1,19,1,find /etc /var/log -type f 2>/dev/null,14.436526,23836,1612.392327,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,1,20,1,find /etc /var/log -type f 2>/dev/null,11.338812,23851,2054.182765,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,1,21,1,find /etc /var/log -type f 2>/dev/null,13.914888,23836,1672.837306,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,1,22,1,find /etc /var/log -type f 2>/dev/null,14.707582,23836,1582.676456,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,1,23,1,find /etc /var/log -type f 2>/dev/null,11.139682,23836,2089.587813,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,1,24,1,find /etc /var/log -type f 2>/dev/null,13.615674,23836,1709.599080,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,1,25,1,find /etc /var/log -type f 2>/dev/null,23.075425,23851,1009.385187,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,1,26,1,find /etc /var/log -type f 2>/dev/null,33.647609,23836,691.797856,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,1,27,1,find /etc /var/log -type f 2>/dev/null,23.961370,23836,971.452957,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,1,28,1,find /etc /var/log -type f 2>/dev/null,25.424977,23836,915.530573,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,1,29,1,find /etc /var/log -type f 2>/dev/null,22.395665,23836,1039.368277,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,1,30,1,find /etc /var/log -type f 2>/dev/null,12.733556,23836,1828.031679,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,1,31,1,find /etc /var/log -type f 2>/dev/null,14.665202,23836,1587.250128,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,1,32,1,find /etc /var/log -type f 2>/dev/null,17.593822,23851,1323.873357,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,1,33,1,find /etc /var/log -type f 2>/dev/null,11.916656,23851,1954.574521,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,1,34,1,find /etc /var/log -type f 2>/dev/null,11.809239,23836,1971.112935,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,1,35,1,find /etc /var/log -type f 2>/dev/null,17.064076,23836,1364.113929,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,1,36,1,find /etc /var/log -type f 2>/dev/null,15.908007,23836,1463.247015,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,1,37,1,find /etc /var/log -type f 2>/dev/null,15.126405,23836,1538.854986,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,1,38,1,find /etc /var/log -type f 2>/dev/null,16.801930,23836,1385.397020,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,1,39,1,find /etc /var/log -type f 2>/dev/null,13.280615,23836,1752.730860,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,1,40,1,find /etc /var/log -type f 2>/dev/null,10.943869,23836,2126.975730,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,1,41,1,find /etc /var/log -type f 2>/dev/null,12.271959,23836,1896.791193,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,1,42,1,find /etc /var/log -type f 2>/dev/null,11.762319,23836,1978.975723,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,1,43,1,find /etc /var/log -type f 2>/dev/null,13.814367,23836,1685.009798,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,1,44,1,find /etc /var/log -type f 2>/dev/null,13.376941,23836,1740.109622,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,1,45,1,find /etc /var/log -type f 2>/dev/null,12.465842,23836,1867.290132,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,1,46,1,find /etc /var/log -type f 2>/dev/null,14.358922,23836,1621.106637,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,1,47,1,find /etc /var/log -type f 2>/dev/null,11.038807,23836,2108.682917,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,1,48,1,find /etc /var/log -type f 2>/dev/null,15.118466,23836,1539.663068,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,1,49,1,find /etc /var/log -type f 2>/dev/null,18.603011,23851,1252.054960,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,1,50,1,find /etc /var/log -type f 2>/dev/null,11.001159,23836,2115.899220,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,2,1,1,find /etc /var/log -type f 2>/dev/null,14.448105,23836,1611.100124,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,2,2,1,find /etc /var/log -type f 2>/dev/null,14.232234,23836,1635.536891,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,2,3,1,find /etc /var/log -type f 2>/dev/null,13.103581,23836,1776.410872,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,2,4,1,find /etc /var/log -type f 2>/dev/null,10.777903,23836,2159.728451,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,2,5,1,find /etc /var/log -type f 2>/dev/null,17.057235,23836,1364.661022,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,2,6,1,find /etc /var/log -type f 2>/dev/null,14.389907,23836,1617.615996,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,2,7,1,find /etc /var/log -type f 2>/dev/null,14.997789,23836,1552.051689,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,2,8,1,find /etc /var/log -type f 2>/dev/null,12.404689,23836,1876.495553,100.00,ok,,
default,ssh3,find /etc /var/log -type f 2>/dev/null,2,9,1,find /etc /var/log -type f 2>/dev/null,18.079825,23836,1287.476165,100.00,ok,,
