protocol,command,trial_id,session_setup_ms
ssh,find /,1,4314.315288
ssh,find /,2,3604.654537
ssh,find /,3,3875.231045
ssh,git status,1,4171.056089
ssh,git status,2,3944.048541
ssh,git status,3,4157.300292
ssh,docker logs $(docker ps -q | head -n 1),1,5027.170287
ssh,docker logs $(docker ps -q | head -n 1),2,4891.493989
ssh,docker logs $(docker ps -q | head -n 1),3,4109.331596
ssh3,find /,1,1891.351152
ssh3,find /,2,1753.963707
ssh3,find /,3,1634.887797
ssh3,git status,1,1812.617918
ssh3,git status,2,1987.752212
ssh3,git status,3,1954.545507
ssh3,docker logs $(docker ps -q | head -n 1),1,1827.497689
ssh3,docker logs $(docker ps -q | head -n 1),2,1874.047692
ssh3,docker logs $(docker ps -q | head -n 1),3,1801.646727
mosh,find /,1,5221.641393
mosh,find /,2,5273.985177
mosh,find /,3,7756.236578
mosh,git status,1,8157.878717
mosh,git status,2,6122.156084
mosh,git status,3,5070.843844
mosh,docker logs $(docker ps -q | head -n 1),1,4990.057915
mosh,docker logs $(docker ps -q | head -n 1),2,5071.232850
mosh,docker logs $(docker ps -q | head -n 1),3,4861.031661
