scenario,protocol,workload,round_id,sample_id,command_id,command,latency_ms,output_bytes,throughput_kib_s,received_pct,status,error_type,error_message
unspecified,ssh,find /,1,1,1,find /,10560.432819,16086844,1487.610296,100.00,ok,,
unspecified,ssh,find /,1,2,1,find /,13254.131028,16086844,1185.276391,100.00,ok,,
unspecified,ssh,find /,1,3,1,find /,14478.549324,16076411,1084.336543,100.00,ok,,
unspecified,ssh,find /,1,4,1,find /,18682.674938,16076411,840.330422,100.00,ok,,
unspecified,ssh,find /,1,5,1,find /,12523.855071,16076411,1253.577275,100.00,ok,,
unspecified,ssh,find /,1,6,1,find /,13685.885472,16097277,1148.628425,100.00,ok,,
unspecified,ssh,find /,1,7,1,find /,13345.434616,16097277,1177.930695,100.00,ok,,
unspecified,ssh,find /,1,8,1,find /,14464.800889,16086978,1086.080588,100.00,ok,,
unspecified,ssh,find /,1,9,1,find /,11021.540347,16097277,1426.297648,100.00,ok,,
unspecified,ssh,find /,1,10,1,find /,10333.014252,16097277,1521.337016,100.00,ok,,
unspecified,ssh,find /,1,11,1,find /,11061.219770,16097277,1421.181153,100.00,ok,,
unspecified,ssh,find /,1,12,1,find /,15072.466334,16118143,1044.313099,100.00,ok,,
unspecified,ssh,find /,1,13,1,find /,16098.601710,16118143,977.747901,100.00,ok,,
unspecified,ssh,find /,1,14,1,find /,10486.617547,16118143,1500.996289,100.00,ok,,
unspecified,ssh,find /,1,15,1,find /,14677.092301,16118143,1072.444984,100.00,ok,,
unspecified,ssh,find /,1,16,1,find /,12830.703613,16107710,1225.979963,100.00,ok,,
unspecified,ssh,find /,1,17,1,find /,9228.994767,16107710,1704.431083,100.00,ok,,
unspecified,ssh,find /,1,18,1,find /,15715.804684,16107710,1000.915057,100.00,ok,,
unspecified,ssh,find /,1,19,1,find /,11871.034106,16107710,1325.089744,100.00,ok,,
unspecified,ssh,find /,1,20,1,find /,13475.137680,16107710,1167.348781,100.00,ok,,
unspecified,ssh,find /,1,21,1,find /,19059.584673,16123616,826.131263,100.00,ok,,
unspecified,ssh,find /,1,22,1,find /,16101.796928,16118143,977.553878,100.00,ok,,
unspecified,ssh,find /,1,23,1,find /,13214.210167,16118143,1191.170250,100.00,ok,,
unspecified,ssh,find /,1,24,1,find /,13902.278672,16086844,1130.016810,100.00,ok,,
unspecified,ssh,find /,1,25,1,find /,16813.320644,16107710,935.578752,100.00,ok,,
unspecified,ssh,find /,1,26,1,find /,10851.575636,16107710,1449.576179,100.00,ok,,
unspecified,ssh,find /,1,27,1,find /,14810.915386,16107710,1062.067073,100.00,ok,,
unspecified,ssh,find /,1,28,1,find /,12078.239808,16097277,1301.513906,100.00,ok,,
unspecified,ssh,find /,1,29,1,find /,11308.477506,16097277,1390.107294,100.00,ok,,
unspecified,ssh,find /,1,30,1,find /,14607.817981,16086911,1075.442893,100.00,ok,,
unspecified,ssh,find /,2,1,1,find /,9190.180524,16076478,1708.310898,100.00,ok,,
unspecified,ssh,find /,2,2,1,find /,13426.709836,16076411,1169.282744,100.00,ok,,
unspecified,ssh,find /,2,3,1,find /,11832.985979,16076411,1326.767406,100.00,ok,,
unspecified,ssh,find /,2,4,1,find /,15786.785228,16065978,993.833223,100.00,ok,,
unspecified,ssh,find /,2,5,1,find /,15482.989607,16076411,1013.991517,100.00,ok,,
unspecified,ssh,find /,2,6,1,find /,14144.979578,16086844,1110.627874,100.00,ok,,
unspecified,ssh,find /,2,7,1,find /,15420.737607,16086844,1018.745601,100.00,ok,,
unspecified,ssh,find /,2,8,1,find /,7060.213649,16086844,2225.118017,100.00,ok,,
unspecified,ssh,find /,2,9,1,find /,6874.884759,16086844,2285.101372,100.00,ok,,
unspecified,ssh,find /,2,10,1,find /,13747.794385,16086844,1142.714835,100.00,ok,,
unspecified,ssh,find /,2,11,1,find /,19873.819349,16086844,790.477578,100.00,ok,,
unspecified,ssh,find /,2,12,1,find /,15554.493868,16086844,1009.985200,100.00,ok,,
unspecified,ssh,find /,2,13,1,find /,14113.570907,16086844,1113.099491,100.00,ok,,
unspecified,ssh,find /,2,14,1,find /,14787.083547,16076411,1061.711734,100.00,ok,,
