scenario,protocol,command,trial_id,session_setup_ms
unspecified,ssh,find /,1,1895.844409
unspecified,ssh,find /,2,1971.526482
unspecified,ssh,find /,3,2003.788275
unspecified,ssh,find /,4,2010.012105
unspecified,ssh,find /,5,1920.742382
unspecified,ssh,find /,6,2054.849814
unspecified,ssh,find /,7,2040.464489
unspecified,ssh,find /,8,2289.801023
unspecified,ssh,find /,9,2190.916481
unspecified,ssh,find /,10,2190.477919
unspecified,ssh,"cid=$(docker ps -q | head -n 1); [ -n ""$cid"" ] && docker logs ""$cid"" 2>/dev/null || true",1,2091.444980
unspecified,ssh,"cid=$(docker ps -q | head -n 1); [ -n ""$cid"" ] && docker logs ""$cid"" 2>/dev/null || true",2,1941.187961
unspecified,ssh,"cid=$(docker ps -q | head -n 1); [ -n ""$cid"" ] && docker logs ""$cid"" 2>/dev/null || true",3,1920.436163
unspecified,ssh,"cid=$(docker ps -q | head -n 1); [ -n ""$cid"" ] && docker logs ""$cid"" 2>/dev/null || true",4,2013.006510
unspecified,ssh,"cid=$(docker ps -q | head -n 1); [ -n ""$cid"" ] && docker logs ""$cid"" 2>/dev/null || true",5,2030.122419
unspecified,ssh,"cid=$(docker ps -q | head -n 1); [ -n ""$cid"" ] && docker logs ""$cid"" 2>/dev/null || true",6,2001.741713
unspecified,ssh,"cid=$(docker ps -q | head -n 1); [ -n ""$cid"" ] && docker logs ""$cid"" 2>/dev/null || true",7,1582.031785
unspecified,ssh,"cid=$(docker ps -q | head -n 1); [ -n ""$cid"" ] && docker logs ""$cid"" 2>/dev/null || true",8,1511.730041
unspecified,ssh,"cid=$(docker ps -q | head -n 1); [ -n ""$cid"" ] && docker logs ""$cid"" 2>/dev/null || true",9,1492.657061
unspecified,ssh,"cid=$(docker ps -q | head -n 1); [ -n ""$cid"" ] && docker logs ""$cid"" 2>/dev/null || true",10,1561.460121
unspecified,ssh,ps aux,1,1513.110461
unspecified,ssh,ps aux,2,1590.704265
unspecified,ssh,ps aux,3,1522.837861
unspecified,ssh,ps aux,4,1611.267135
unspecified,ssh,ps aux,5,1562.742963
unspecified,ssh,ps aux,6,1590.238511
unspecified,ssh,ps aux,7,1513.002234
unspecified,ssh,ps aux,8,1572.211358
unspecified,ssh,ps aux,9,1541.120749
unspecified,ssh,ps aux,10,1506.519675
unspecified,ssh3,find /,1,912.573318
unspecified,ssh3,find /,2,482.739718
unspecified,ssh3,find /,3,536.855939
unspecified,ssh3,find /,4,521.203508
unspecified,ssh3,find /,5,492.747240
unspecified,ssh3,find /,6,551.871880
unspecified,ssh3,find /,7,514.785958
unspecified,ssh3,find /,8,552.538893
unspecified,ssh3,find /,9,491.185012
unspecified,ssh3,find /,10,561.225901
unspecified,ssh3,"cid=$(docker ps -q | head -n 1); [ -n ""$cid"" ] && docker logs ""$cid"" 2>/dev/null || true",1,482.817053
unspecified,ssh3,"cid=$(docker ps -q | head -n 1); [ -n ""$cid"" ] && docker logs ""$cid"" 2>/dev/null || true",2,486.665600
unspecified,ssh3,"cid=$(docker ps -q | head -n 1); [ -n ""$cid"" ] && docker logs ""$cid"" 2>/dev/null || true",3,535.929271
unspecified,ssh3,"cid=$(docker ps -q | head -n 1); [ -n ""$cid"" ] && docker logs ""$cid"" 2>/dev/null || true",4,555.442318
